onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.015	1.805	no_response	n/a	1.0	n/a	z	TR
5.82	1.805	no_response	n/a	1.0	n/a	n	BL
7.625	2.023	2-back	0.0	1.0	0.567	g	BL
9.648	2.023	2-back	0.0	1.0	0.8	p	TR
11.671	2.023	2-back	1.0	0.0	0.535	g	TL
13.694	2.022	2-back	0.0	1.0	1.003	s	TL
15.716	2.023	2-back	0.0	1.0	0.651	f	BL
17.739	2.023	2-back	1.0	1.0	0.553	s	TR
19.762	2.022	2-back	1.0	1.0	0.775	f	TR
21.784	2.023	2-back	0.0	1.0	0.616	c	TL
23.807	2.023	2-back	0.0	1.0	0.483	x	BR
25.83	2.023	2-back	1.0	1.0	0.683	c	BL
27.853	2.022	2-back	0.0	1.0	0.504	l	TL
29.875	2.023	2-back	0.0	1.0	0.404	v	TL
31.898	2.023	2-back	0.0	1.0	0.579	p	TR
33.921	2.022	2-back	1.0	1.0	0.626	v	BR
35.943	2.023	2-back	0.0	1.0	0.703	c	TL
37.966	2.023	2-back	0.0	1.0	0.54	s	TL
39.989	2.023	2-back	0.0	1.0	0.481	t	BL
42.012	2.022	2-back	0.0	1.0	0.471	x	BR
44.034	2.023	2-back	1.0	1.0	0.706	t	TL
46.057	2.023	2-back	0.0	1.0	0.535	r	BL
48.08	2.022	2-back	0.0	1.0	0.478	n	BR
50.102	2.023	2-back	1.0	1.0	0.542	r	BR
52.125	2.023	2-back	0.0	1.0	0.691	l	TR
54.148	2.023	2-back	0.0	1.0	0.458	v	BL
56.171	2.022	2-back	1.0	1.0	0.43	l	BR
58.193	2.023	2-back	1.0	1.0	0.8	v	TR
60.216	2.023	2-back	0.0	1.0	0.488	s	BL
62.239	2.022	2-back	0.0	1.0	0.539	t	BR
64.261	2.023	2-back	0.0	1.0	0.457	c	BR
66.284	2.023	2-back	1.0	1.0	0.65	t	TR
68.307	2.022	2-back	0.0	1.0	0.526	n	TL
70.329	2.023	2-back	0.0	1.0	0.636	l	BR
72.352	2.023	2-back	1.0	1.0	0.554	n	TR
74.375	2.023	2-back	0.0	1.0	0.433	p	TL
76.398	2.022	2-back	0.0	1.0	0.533	x	BL
78.42	2.023	2-back	1.0	1.0	0.363	p	TR
80.443	2.023	2-back	0.0	1.0	0.498	f	BR
82.466	2.022	2-back	0.0	1.0	0.569	z	TL
84.488	2.023	2-back	1.0	1.0	0.609	f	TR
86.511	2.023	2-back	0.0	1.0	0.585	r	BL
88.534	2.023	2-back	0.0	0.0	0.827	x	BR
90.557	2.022	2-back	1.0	0.0	0.492	r	TR
92.579	2.023	2-back	0.0	1.0	0.534	g	BL
94.602	2.023	2-back	0.0	1.0	0.549	z	BL
96.625	2.022	2-back	1.0	0.0	0.884	g	TL
98.647	6.039	2-back	1.0	0.0	0.772	z	BR
104.686	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.708	2.023	baseline	1.0	1.0	0.319	redcross.bmp	n/a
108.731	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
110.754	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
112.777	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.799	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.822	2.023	baseline	1.0	1.0	0.468	redcross.bmp	n/a
118.845	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.867	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.89	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.913	2.023	baseline	1.0	1.0	0.388	redcross.bmp	n/a
126.936	2.022	baseline	1.0	1.0	0.51	redcross.bmp	n/a
128.958	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
130.981	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
133.004	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
135.026	2.023	baseline	1.0	1.0	0.305	redcross.bmp	n/a
137.049	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
139.072	2.022	baseline	1.0	1.0	0.351	redcross.bmp	n/a
141.094	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
143.117	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
145.14	2.023	baseline	1.0	1.0	0.3	redcross.bmp	n/a
147.163	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
149.185	2.023	baseline	1.0	1.0	0.349	redcross.bmp	n/a
151.208	6.031	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
157.239	1.806	no_response	n/a	1.0	n/a	l	TR
159.045	2.022	1-back	1.0	1.0	0.587	l	BL
161.067	2.023	1-back	0.0	1.0	0.465	s	TR
163.09	2.023	1-back	0.0	1.0	0.535	z	BL
165.113	2.022	1-back	0.0	1.0	0.413	t	TL
167.135	2.023	1-back	0.0	1.0	0.478	x	BR
169.158	2.023	1-back	1.0	1.0	0.476	x	TL
171.181	2.022	1-back	0.0	1.0	0.499	n	BL
173.203	2.023	1-back	0.0	1.0	0.509	s	TR
175.226	2.023	1-back	0.0	1.0	0.391	l	BR
177.249	2.023	1-back	1.0	1.0	0.536	l	TL
179.272	2.022	1-back	0.0	1.0	0.401	g	BR
181.294	2.023	1-back	1.0	1.0	0.569	g	TR
183.317	2.023	1-back	0.0	1.0	0.415	r	TL
185.34	2.022	1-back	1.0	1.0	0.562	r	TR
187.362	2.023	1-back	0.0	1.0	0.428	x	BL
189.385	2.023	1-back	0.0	1.0	0.403	p	TR
191.408	2.023	1-back	1.0	1.0	0.453	p	TL
193.431	2.022	1-back	0.0	1.0	0.469	c	TR
195.453	2.023	1-back	0.0	1.0	0.456	r	BL
197.476	2.023	1-back	0.0	1.0	0.544	f	TR
199.499	2.022	1-back	1.0	1.0	0.587	f	BR
201.521	2.023	1-back	1.0	1.0	0.588	f	BL
203.544	2.023	1-back	0.0	1.0	0.481	c	TL
205.567	2.023	1-back	0.0	1.0	0.479	z	BL
207.59	2.022	1-back	1.0	1.0	0.529	z	BR
209.612	2.023	1-back	0.0	1.0	0.467	v	BL
