onset	duration	trial_type	correct
0.0209	20	3	0
19.9997	2	1	1
27.0008	2	1	1
33.0007	2	1	1
38.0007	2	1	1
42.0107	2	1	1
48.0106	2	1	0
61.0105	2	1	1
65.0105	2	1	0
70.0109	2	2	1
77.0105	2	2	1
83.0104	2	2	1
87.0104	2	2	1
94.0104	2	2	0
98.0103	2	2	1
110.0103	2	2	1
115.0102	2	2	0
120.0102	2	2	0
125.0101	2	2	1
131.0101	2	2	1
138.0101	2	2	0
149.01	2	2	1
153.01	2	2	1
160.0099	2	2	1
166.0099	2	2	1
170.0098	20	3	0
190.0097	2	1	1
197.0096	2	1	1
202.0096	2	1	1
212.0095	2	1	1
219.0095	2	1	1
223.0094	2	1	0
229.0094	2	1	1
234.0094	2	1	1
240.0094	2	2	1
247.0093	2	2	0
251.0093	2	2	1
258.0092	2	2	1
268.0092	2	2	1
273.0091	2	2	1
279.0091	2	2	1
284.0091	2	2	0
290.009	2	1	0
297.0089	2	1	1
303.0089	2	1	1
309.0089	2	1	1
320.0088	2	1	0
324.0087	2	1	1
329.0087	2	1	1
336.0087	2	1	0
340.0086	20	3	0
