onset	duration	trial_type	correct
0.0232	20	3	0
20.003	2	1	0
24.003	2	1	1
29.003	2	1	1
36.0029	2	1	1
40.0029	2	1	0
45.0028	2	1	1
51.0028	2	1	1
63.0027	2	1	1
70.0027	2	1	1
76.0026	2	1	0
82.0026	2	1	1
89.0026	2	1	1
93.0025	2	1	1
103.0025	2	1	1
108.0024	2	1	1
115.0024	2	1	1
120.0028	2	2	0
126.0024	2	2	0
133.0023	2	2	0
137.0023	2	2	1
141.0022	2	2	1
146.0022	2	2	1
158.0021	2	2	0
165.0021	2	2	1
170.002	20	3	0
190.0019	2	2	0
194.0019	2	2	1
200.0019	2	2	0
207.0018	2	2	1
213.0018	2	2	1
220.0017	2	2	1
225.0017	2	2	1
235.0016	2	2	1
240.0015	2	1	1
246.0015	2	1	1
257.0014	2	1	1
264.0014	2	1	1
270.0013	2	1	1
277.0013	2	1	1
281.0013	2	1	0
285.0012	2	1	0
290.0012	2	2	0
295.0012	2	2	0
302.0012	2	2	1
306.0012	2	2	0
312.0011	2	2	0
317.0011	2	2	1
323.001	2	2	1
333.0009	2	2	1
340.0008	20	3	0
