onset	duration	trial_type	correct
0.0259	20	3	0
20.0057	2	1	1
24.0057	2	1	1
29.0057	2	1	1
36.0056	2	1	1
40.0056	2	1	1
45.0055	2	1	1
51.0055	2	1	1
63.0054	2	1	1
70.0054	2	1	1
76.0053	2	1	1
82.0053	2	1	1
89.0052	2	1	1
93.0052	2	1	1
103.0052	2	1	1
108.0051	2	1	1
115.0051	2	1	1
120.0055	2	2	1
126.0051	2	2	1
133.005	2	2	1
137.005	2	2	1
141.005	2	2	1
146.0049	2	2	1
158.0048	2	2	1
165.0048	2	2	1
170.0047	20	3	0
190.0046	2	2	1
194.0046	2	2	1
200.0046	2	2	1
207.0045	2	2	1
213.0045	2	2	1
220.0044	2	2	1
225.0044	2	2	1
235.0043	2	2	1
240.0042	2	1	1
246.0042	2	1	1
257.0041	2	1	1
264.0041	2	1	1
270.004	2	1	1
277.004	2	1	1
281.004	2	1	0
285.0039	2	1	1
290.0039	2	2	1
295.0039	2	2	1
302.0039	2	2	1
306.0038	2	2	1
312.0038	2	2	1
317.0038	2	2	1
323.0037	2	2	1
333.0037	2	2	1
340.0036	20	3	0
