onset	duration	stimulus	product	pleasantness
19.349	2	warning_star	n/a	n/a
21.36	7.522	taste_and_swallow_fm_neu	fm_neu	6
28.882	22.5	judge_fm_neu	fm_neu	6
51.382	4.204	rate_fm_neu	fm_neu	6
58.467	29.14	rinse	n/a	n/a
87.65	2	warning_star	n/a	n/a
89.661	7.522	taste_and_swallow_fc_ole	fc_ole	5
97.183	22.5	judge_fc_ole	fc_ole	5
119.683	2.495	rate_fc_ole	fc_ole	5
125.027	29.14	rinse	n/a	n/a
154.176	2	warning_star	n/a	n/a
156.186	7.522	taste_and_swallow_fm_van	fm_van	5
163.708	22.5	judge_fm_van	fm_van	5
186.208	3.282	rate_fm_van	fm_van	5
192.323	29.14	rinse	n/a	n/a
221.472	2	warning_star	n/a	n/a
223.482	7.522	taste_and_swallow_fc_peg	fc_peg	2
231.004	22.5	judge_fc_peg	fc_peg	2
253.504	1.607	rate_fc_peg	fc_peg	2
257.96	25	rinse	n/a	n/a
302.119	2	warning_star	n/a	n/a
304.13	7.522	taste_and_swallow_fc_cap	fc_cap	1
311.652	22.5	judge_fc_cap	fc_cap	1
334.152	3.852	rate_fc_cap	fc_cap	1
340.853	29.14	rinse	n/a	n/a
370.018	2	warning_star	n/a	n/a
372.029	7.522	taste_and_swallow_fm_apr	fm_apr	2
379.551	22.5	judge_fm_apr	fm_apr	2
402.051	2.361	rate_fm_apr	fm_apr	2
407.261	29.14	rinse	n/a	n/a
436.426	2	warning_star	n/a	n/a
438.437	7.522	taste_and_swallow_fc_peg	fc_peg	1
445.959	22.5	judge_fc_peg	fc_peg	1
468.459	2.813	rate_fc_peg	fc_peg	1
474.121	29.14	rinse	n/a	n/a
503.253	2	warning_star	n/a	n/a
505.264	7.522	taste_and_swallow_fm_neu	fm_neu	4
512.786	22.5	judge_fm_neu	fm_neu	4
535.286	3.249	rate_fm_neu	fm_neu	4
541.384	25	rinse	n/a	n/a
585.509	2	warning_star	n/a	n/a
587.52	7.522	taste_and_swallow_fc_cap	fc_cap	2
595.042	22.5	judge_fc_cap	fc_cap	2
617.542	2.495	rate_fc_cap	fc_cap	2
622.886	29.14	rinse	n/a	n/a
652.018	2	warning_star	n/a	n/a
654.028	7.522	taste_and_swallow_fc_ole	fc_ole	5
661.55	22.5	judge_fc_ole	fc_ole	5
684.05	1.758	rate_fc_ole	fc_ole	5
688.673	29.14	rinse	n/a	n/a
717.873	2	warning_star	n/a	n/a
719.883	7.522	taste_and_swallow_fm_apr	fm_apr	4
727.406	22.5	judge_fm_apr	fm_apr	4
749.906	3.416	rate_fm_apr	fm_apr	4
756.154	29.14	rinse	n/a	n/a
785.32	2	warning_star	n/a	n/a
787.33	7.522	taste_and_swallow_fm_van	fm_van	6
794.852	22.5	judge_fm_van	fm_van	6
817.352	2.596	rate_fm_van	fm_van	6
822.797	25	rinse	n/a	n/a
