onset	duration	stimulus	product	pleasantness
19.182	2	warning_star	n/a	n/a
21.192	7.522	taste_and_swallow_fc_ole	fc_ole	4
28.731	22.5	judge_fc_ole	fc_ole	4
51.231	2.126	rate_fc_ole	fc_ole	4
56.206	29.14	rinse	n/a	n/a
85.338	2	warning_star	n/a	n/a
87.349	7.522	taste_and_swallow_fc_peg	fc_peg	1
94.872	22.5	judge_fc_peg	fc_peg	1
117.372	2.527	rate_fc_peg	fc_peg	1
122.764	29.14	rinse	n/a	n/a
151.931	2	warning_star	n/a	n/a
153.941	7.522	taste_and_swallow_fm_apr	fm_apr	3
161.48	22.5	judge_fm_apr	fm_apr	3
183.98	1.959	rate_fm_apr	fm_apr	3
188.771	29.14	rinse	n/a	n/a
217.937	2	warning_star	n/a	n/a
219.947	7.522	taste_and_swallow_fm_neu	fm_neu	6
227.469	22.5	judge_fm_neu	fm_neu	6
249.969	3.55	rate_fm_neu	fm_neu	6
256.385	25	rinse	n/a	n/a
300.561	2	warning_star	n/a	n/a
302.572	7.522	taste_and_swallow_fm_van	fm_van	6
310.094	22.5	judge_fm_van	fm_van	6
332.594	2.377	rate_fm_van	fm_van	6
337.82	29.14	rinse	n/a	n/a
366.969	2	warning_star	n/a	n/a
368.98	7.522	taste_and_swallow_fc_cap	fc_cap	2
376.502	22.5	judge_fc_cap	fc_cap	2
399.002	1.473	rate_fc_cap	fc_cap	2
403.307	29.14	rinse	n/a	n/a
432.439	2	warning_star	n/a	n/a
434.45	7.522	taste_and_swallow_fm_van	fm_van	4
441.972	22.5	judge_fm_van	fm_van	4
464.472	2.176	rate_fm_van	fm_van	4
469.497	29.14	rinse	n/a	n/a
498.646	2	warning_star	n/a	n/a
500.656	7.522	taste_and_swallow_fm_apr	fm_apr	3
508.179	22.5	judge_fm_apr	fm_apr	3
530.679	1.506	rate_fm_apr	fm_apr	3
535.017	25	rinse	n/a	n/a
579.143	2	warning_star	n/a	n/a
581.154	7.522	taste_and_swallow_fc_ole	fc_ole	1
588.676	22.5	judge_fc_ole	fc_ole	1
611.176	1.523	rate_fc_ole	fc_ole	1
615.548	29.14	rinse	n/a	n/a
644.697	2	warning_star	n/a	n/a
646.707	7.522	taste_and_swallow_fc_cap	fc_cap	2
654.229	22.5	judge_fc_cap	fc_cap	2
676.729	2.629	rate_fc_cap	fc_cap	2
682.207	29.14	rinse	n/a	n/a
711.339	2	warning_star	n/a	n/a
713.35	7.522	taste_and_swallow_fm_neu	fm_neu	3
720.872	22.5	judge_fm_neu	fm_neu	3
743.372	1.322	rate_fm_neu	fm_neu	3
747.543	29.14	rinse	n/a	n/a
776.675	2	warning_star	n/a	n/a
778.686	7.522	taste_and_swallow_fc_peg	fc_peg	1
786.208	22.5	judge_fc_peg	fc_peg	1
808.708	1.088	rate_fc_peg	fc_peg	1
812.644	25	rinse	n/a	n/a
