onset	duration	trial+AF8-type
6	14	body
26	14	face
46	14	object
66	14	scene
86	14	words
106	14	scramobject
126	14	face
146	14	words
166	14	scene
186	14	object
206	14	scramobject
226	14	body
246	14	body
266	14	scramobject
286	14	object
306	14	scene
326	14	words
346	14	face
366	14	scramobject
386	14	words
406	14	scene
426	14	object
446	14	face
466	14	body
