onset	duration	trial+AF8-type
6	14	scramobject
26	14	words
46	14	object
66	14	face
86	14	scene
106	14	body
126	14	words
146	14	object
166	14	face
186	14	scene
206	14	body
226	14	scramobject
246	14	scramobject
266	14	body
286	14	scene
306	14	face
326	14	object
346	14	words
366	14	body
386	14	scene
406	14	face
426	14	object
446	14	words
466	14	scramobject
