onset	duration	trial+AF8-type
6	14	face
26	14	scene
46	14	scramobject
66	14	object
86	14	words
106	14	scramobject
126	14	body
146	14	words
166	14	object
186	14	face
206	14	scene
226	14	body
246	14	body
266	14	scene
286	14	face
306	14	object
326	14	words
346	14	body
366	14	scramobject
386	14	words
406	14	object
426	14	scramobject
446	14	scene
466	14	face
