onset	duration	trail_type
0	120	full_circular_checkerboard
120	16	white_fixation
136	32	full_circular_checkerboard
168	16	white_fixation
184	32	full_circular_checkerboard
216	16	white_fixation
232	32	full_circular_checkerboard
264	16	white_fixation
280	32	full_circular_checkerboard
312	16	white_fixation
328	32	full_circular_checkerboard
360	16	white_fixation
376	32	full_circular_checkerboard
408	16	white_fixation
424	32	full_circular_checkerboard
456	16	white_fixation
472	32	full_circular_checkerboard
504	16	white_fixation
520	32	full_circular_checkerboard
552	16	white_fixation
568	32	full_circular_checkerboard
