onset	duration	stim_file	stim_lable	levelOfOcclusion	stim_started	stim_stopped	key_time	key_fix
40.196	4	Aircraft1_10%_2.jpg	0	0.1	40.196	43.948	40.859	0
44.2	4	Aircraft1_10%_39.jpg	0	0.1	44.2	47.954	44.721	0
48.207	4	Aircraft2_10%_26.jpg	1	0.1	48.207	51.962	48.696	1
52.222	4	Aircraft1_10%_15.jpg	0	0.1	52.222	55.973	52.79	0
56.238	4	Aircraft2_10%_16.jpg	1	0.1	56.238	59.985	56.934	1
60.241	4	rest.jpg	n/a	n/a	60.241	63.99	64.241	n/a
64.23	4	rest.jpg	n/a	n/a	64.23	67.978	68.23	n/a
68.211	4	rest.jpg	n/a	n/a	68.211	71.964	72.211	n/a
72.225	4	Aircraft2_90%_14.jpg	1	0.9	72.225	75.979	72.863	1
76.241	4	Aircraft2_90%_5.jpg	1	0.9	76.241	79.99	76.771	1
80.258	4	Aircraft2_90%_15.jpg	1	0.9	80.258	84.005	80.817	1
84.269	4	Aircraft2_90%_19.jpg	1	0.9	84.269	88.022	85.012	1
88.27	4	Aircraft1_90%_31.jpg	0	0.9	88.27	92.019	88.99	0
92.27	4	rest.jpg	n/a	n/a	92.27	96.019	96.27	n/a
96.253	4	rest.jpg	n/a	n/a	96.253	100.005	100.253	n/a
100.243	4	rest.jpg	n/a	n/a	100.243	103.992	104.243	n/a
104.241	4	Aircraft2_70%_4.jpg	1	0.75	104.241	107.991	105.082	1
108.255	4	Aircraft1_70%_43.jpg	0	0.75	108.255	112.002	109.003	0
112.252	4	Aircraft1_70%_9.jpg	0	0.75	112.252	116.006	113.076	0
116.256	4	Aircraft1_70%_11.jpg	0	0.75	116.256	120.008	116.987	0
120.259	4	Aircraft1_70%_50.jpg	0	0.75	120.259	124.008	121.01	0
124.258	4	rest.jpg	n/a	n/a	124.258	128.01	128.258	n/a
128.251	4	rest.jpg	n/a	n/a	128.251	132.005	132.251	n/a
132.243	4	rest.jpg	n/a	n/a	132.243	135.99	136.243	n/a
136.249	4	Aircraft1_10%_36.jpg	0	0.1	136.249	139.995	136.955	0
140.248	4	Aircraft1_10%_35.jpg	0	0.1	140.248	143.996	140.941	0
144.248	4	Aircraft2_10%_3.jpg	1	0.1	144.248	147.997	145.329	1
148.252	4	Aircraft1_10%_5.jpg	0	0.1	148.252	152.001	149.004	0
152.265	4	Aircraft1_10%_48.jpg	0	0.1	152.265	156.02	152.824	0
156.271	4	rest.jpg	n/a	n/a	156.271	160.02	160.271	n/a
160.259	4	rest.jpg	n/a	n/a	160.259	164.009	164.259	n/a
164.261	4	rest.jpg	n/a	n/a	164.261	168.015	168.261	n/a
168.279	4	Aircraft1_90%_3.jpg	0	0.9	168.279	172.026	168.845	0
172.275	4	Aircraft2_90%_28.jpg	1	0.9	172.275	176.028	172.952	1
176.277	4	Aircraft1_90%_24.jpg	0	0.9	176.277	180.027	177.119	0
180.274	4	Aircraft2_90%_39.jpg	1	0.9	180.274	184.027	180.789	1
184.294	4	Aircraft2_90%_8.jpg	1	0.9	184.294	188.043	185.229	1
188.298	4	rest.jpg	n/a	n/a	188.298	192.051	192.298	n/a
192.295	4	rest.jpg	n/a	n/a	192.295	196.047	196.295	n/a
196.281	4	rest.jpg	n/a	n/a	196.281	200.031	200.281	n/a
200.281	4	Aircraft2_70%_18.jpg	1	0.75	200.281	204.028	200.722	1
204.285	4	Aircraft1_70%_29.jpg	0	0.75	204.285	208.032	204.955	0
