onset	duration	value	event	stim_file
43557	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
43641	0	20	cross/white	n/a
44135	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
44243	0	20	cross/white	n/a
44785	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
44918	0	20	cross/white	n/a
45466	0	47	white/happy/standard/7	SHINEd_025_y_m_h_b.jpg
45580	0	20	cross/white	n/a
46086	0	48	white/happy/standard/8	SHINEd_022_y_f_h_b.jpg
46176	0	20	cross/white	n/a
46652	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
46737	0	20	cross/white	n/a
47236	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
47351	0	20	cross/white	n/a
47845	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
47929	0	20	cross/white	n/a
48411	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
48513	0	20	cross/white	n/a
49013	0	35	red/happy/standard/5	SHINEd_025_y_m_h_b.jpg
49115	0	20	cross/white	n/a
49224	0	111	button_press	n/a
49609	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
49693	0	20	cross/white	n/a
50205	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
50332	0	20	cross/white	n/a
50874	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
50994	0	20	cross/white	n/a
51542	0	13	red/angry/standard/3	SHINEd_008_y_m_a_b.jpg
51668	0	20	cross/white	n/a
51723	0	111	button_press	n/a
52174	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
52259	0	20	cross/white	n/a
52728	0	25	white/angry/standard/5	SHINEd_010_y_f_a_a.jpg
52819	0	20	cross/white	n/a
53300	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
53391	0	20	cross/white	n/a
53872	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
53963	0	20	cross/white	n/a
54481	0	23	white/angry/standard/3	SHINEd_010_y_f_a_a.jpg
54607	0	20	cross/white	n/a
55161	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
55282	0	20	cross/white	n/a
55823	0	25	white/angry/standard/5	SHINEd_010_y_f_a_a.jpg
55950	0	20	cross/white	n/a
56468	0	16	red/angry/standard/6	SHINEd_010_y_f_a_a.jpg
56564	0	20	cross/white	n/a
56655	0	111	button_press	n/a
57070	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
57178	0	20	cross/white	n/a
57690	0	32	red/happy/standard/2	SHINEd_037_y_m_h_a.jpg
57799	0	20	cross/white	n/a
57883	0	111	button_press	n/a
58335	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
58461	0	20	cross/white	n/a
58979	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
59075	0	20	cross/white	n/a
59587	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
59708	0	20	cross/white	n/a
60219	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
60316	0	20	cross/white	n/a
60840	0	47	white/happy/standard/7	SHINEd_025_y_m_h_b.jpg
60966	0	20	cross/white	n/a
61484	0	61	white/neutral/deviant/1	SHINEd_008_y_m_n_b.jpg
61574	0	20	cross/white	n/a
62056	0	62	white/neutral/standard/2	SHINEd_008_y_m_n_b.jpg
62152	0	20	cross/white	n/a
