onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
202.422	n/a	101211	seqLearning_start	91	n/a	n/a	8
211.742	n/a	105871	learningBlock_1	31	n/a	n/a	8
211.76	n/a	105880	dot_no1_ON	11	n/a	n/a	8
212.348	n/a	106174	dot_no1_OFF	21	n/a	n/a	8
213.67	n/a	106835	dot_no6_ON	16	n/a	n/a	8
214.258	n/a	107129	dot_no6_OFF	26	n/a	n/a	8
215.578	n/a	107789	dot_no4_ON	14	n/a	n/a	8
216.168	n/a	108084	dot_no4_OFF	24	n/a	n/a	8
217.49	n/a	108745	dot_no2_ON	12	n/a	n/a	8
218.078	n/a	109039	dot_no2_OFF	22	n/a	n/a	8
219.4	n/a	109700	dot_no7_ON	17	n/a	n/a	8
219.988	n/a	109994	dot_no7_OFF	27	n/a	n/a	8
221.31	n/a	110655	dot_no3_ON	13	n/a	n/a	8
221.898	n/a	110949	dot_no3_OFF	23	n/a	n/a	8
223.22	n/a	111610	dot_no8_ON	18	n/a	n/a	8
223.808	n/a	111904	dot_no8_OFF	28	n/a	n/a	8
225.13	n/a	112565	dot_no5_ON	15	n/a	n/a	8
225.718	n/a	112859	dot_no5_OFF	25	n/a	n/a	8
227.04	n/a	113520	dot_no2_ON	12	n/a	n/a	8
227.628	n/a	113814	dot_no2_OFF	22	n/a	n/a	8
228.948	n/a	114474	dot_no7_ON	17	n/a	n/a	8
229.538	n/a	114769	dot_no7_OFF	27	1-6-3-7-4-1-5-7-2-3	1-6-4-2-7-3-8-5-2-7	8
277.542	n/a	138771	learningBlock_2	32	n/a	n/a	8
277.55	n/a	138775	dot_no1_ON	11	n/a	n/a	8
278.14	n/a	139070	dot_no1_OFF	21	n/a	n/a	8
279.46	n/a	139730	dot_no6_ON	16	n/a	n/a	8
280.048	n/a	140024	dot_no6_OFF	26	n/a	n/a	8
281.37	n/a	140685	dot_no4_ON	14	n/a	n/a	8
281.958	n/a	140979	dot_no4_OFF	24	n/a	n/a	8
283.278	n/a	141639	dot_no2_ON	12	n/a	n/a	8
283.868	n/a	141934	dot_no2_OFF	22	n/a	n/a	8
285.19	n/a	142595	dot_no7_ON	17	n/a	n/a	8
285.778	n/a	142889	dot_no7_OFF	27	n/a	n/a	8
287.1	n/a	143550	dot_no3_ON	13	n/a	n/a	8
287.688	n/a	143844	dot_no3_OFF	23	n/a	n/a	8
289.01	n/a	144505	dot_no8_ON	18	n/a	n/a	8
289.598	n/a	144799	dot_no8_OFF	28	n/a	n/a	8
290.92	n/a	145460	dot_no5_ON	15	n/a	n/a	8
291.508	n/a	145754	dot_no5_OFF	25	n/a	n/a	8
292.83	n/a	146415	dot_no2_ON	12	n/a	n/a	8
293.418	n/a	146709	dot_no2_OFF	22	n/a	n/a	8
294.74	n/a	147370	dot_no7_ON	17	n/a	n/a	8
295.328	n/a	147664	dot_no7_OFF	27	1-5-3-7-2-5-1-6-4-1	1-6-4-2-7-3-8-5-2-7	8
338.882	n/a	169441	learningBlock_3	33	n/a	n/a	8
338.89	n/a	169445	dot_no1_ON	11	n/a	n/a	8
339.478	n/a	169739	dot_no1_OFF	21	n/a	n/a	8
340.8	n/a	170400	dot_no6_ON	16	n/a	n/a	8
341.39	n/a	170695	dot_no6_OFF	26	n/a	n/a	8
342.71	n/a	171355	dot_no4_ON	14	n/a	n/a	8
343.298	n/a	171649	dot_no4_OFF	24	n/a	n/a	8
344.62	n/a	172310	dot_no2_ON	12	n/a	n/a	8
345.208	n/a	172604	dot_no2_OFF	22	n/a	n/a	8
346.53	n/a	173265	dot_no7_ON	17	n/a	n/a	8
347.118	n/a	173559	dot_no7_OFF	27	n/a	n/a	8
348.44	n/a	174220	dot_no3_ON	13	n/a	n/a	8
349.028	n/a	174514	dot_no3_OFF	23	n/a	n/a	8
350.35	n/a	175175	dot_no8_ON	18	n/a	n/a	8
350.938	n/a	175469	dot_no8_OFF	28	n/a	n/a	8
352.26	n/a	176130	dot_no5_ON	15	n/a	n/a	8
352.848	n/a	176424	dot_no5_OFF	25	n/a	n/a	8
354.17	n/a	177085	dot_no2_ON	12	n/a	n/a	8
354.758	n/a	177379	dot_no2_OFF	22	n/a	n/a	8
356.08	n/a	178040	dot_no7_ON	17	n/a	n/a	8
356.67	n/a	178335	dot_no7_OFF	27	1-6-4-3-7-8-5-4-2-5	1-6-4-2-7-3-8-5-2-7	8
390.17	n/a	195085	learningBlock_4	34	n/a	n/a	8
390.178	n/a	195089	dot_no1_ON	11	n/a	n/a	8
390.768	n/a	195384	dot_no1_OFF	21	n/a	n/a	8
392.09	n/a	196045	dot_no6_ON	16	n/a	n/a	8
392.678	n/a	196339	dot_no6_OFF	26	n/a	n/a	8
394	n/a	197000	dot_no4_ON	14	n/a	n/a	8
394.588	n/a	197294	dot_no4_OFF	24	n/a	n/a	8
395.91	n/a	197955	dot_no2_ON	12	n/a	n/a	8
396.498	n/a	198249	dot_no2_OFF	22	n/a	n/a	8
397.82	n/a	198910	dot_no7_ON	17	n/a	n/a	8
398.408	n/a	199204	dot_no7_OFF	27	n/a	n/a	8
