onset	duration	trial	value	instruction
4736	8	1	2	task
12692	7	1	3	interval
19616	5	2	1	rest
24726	8	2	2	task
32687	12	2	3	interval
44721	8	3	1	rest
52703	7	3	2	task
59619	5	3	3	interval
64733	8	4	1	rest
72685	7	4	2	task
79622	5	4	3	interval
84722	8	5	1	rest
92687	7	5	2	task
99802	5	5	3	interval
104733	8	6	1	rest
112703	7	6	2	task
119629	5	6	3	interval
124728	8	7	1	rest
132713	7	7	2	task
139622	5	7	3	interval
144737	8	8	1	rest
152697	7	8	2	task
159748	5	8	3	interval
164734	8	9	1	rest
172692	7	9	2	task
179770	5	9	3	interval
184735	8	10	1	rest
192691	7	10	2	task
199641	5	10	3	interval
204737	8	11	1	rest
212692	7	11	2	task
219637	5	11	3	interval
224733	8	12	1	rest
232726	7	12	2	task
239632	5	12	3	interval
244741	8	13	1	rest
252710	7	13	2	task
259639	5	13	3	interval
264737	8	14	1	rest
272694	7	14	2	task
279635	5	14	3	interval
284749	8	15	1	rest
292705	7	15	2	task
299645	5	15	3	interval
304739	8	16	1	rest
312706	7	16	2	task
319648	5	16	3	interval
324756	8	17	1	rest
332748	7	17	2	task
339651	5	17	3	interval
344760	8	18	1	rest
352719	7	18	2	task
359656	5	18	3	interval
364762	8	19	1	rest
372723	7	19	2	task
379670	5	19	3	interval
384766	8	20	1	rest
392737	7	20	2	task
399660	5	20	3	interval
404773	8	21	1	rest
412734	7	21	2	task
419670	5	21	3	interval
424772	8	22	1	rest
432728	7	22	2	task
439670	5	22	3	interval
444772	8	23	1	rest
452754	7	23	2	task
459775	5	23	3	interval
464779	8	24	1	rest
472740	7	24	2	task
479677	5	24	3	interval
484777	8	25	1	rest
492758	7	25	2	task
499670	5	25	3	interval
