onset	duration	trial	value	instruction
5296	6	1	1	rest
11234	1	1	2	ready
12268	6	1	3	task
18187	8	1	4	interval
26281	6	2	1	rest
32242	1	2	2	ready
33278	6	2	3	task
39207	8	2	4	interval
47288	6	3	1	rest
53242	1	3	2	ready
54263	6	3	3	task
60215	8	3	4	interval
68287	6	4	1	rest
74249	1	4	2	ready
75271	6	4	3	task
81211	8	4	4	interval
89284	6	5	1	rest
95249	1	5	2	ready
96274	6	5	3	task
102215	8	5	4	interval
110303	6	6	1	rest
116255	1	6	2	ready
117264	6	6	3	task
123216	8	6	4	interval
131292	6	7	1	rest
137255	1	7	2	ready
138291	6	7	3	task
144220	8	7	4	interval
152295	6	8	1	rest
158261	1	8	2	ready
159272	6	8	3	task
165217	8	8	4	interval
173293	6	9	1	rest
179259	1	9	2	ready
180282	6	9	3	task
186214	8	9	4	interval
194296	6	10	1	rest
200287	1	10	2	ready
201281	6	10	3	task
207216	8	10	4	interval
215297	6	11	1	rest
221264	1	11	2	ready
222290	6	11	3	task
228215	8	11	4	interval
236305	6	12	1	rest
242287	1	12	2	ready
243299	6	12	3	task
249230	8	12	4	interval
257306	6	13	1	rest
263270	1	13	2	ready
264289	6	13	3	task
270223	8	13	4	interval
278306	6	14	1	rest
284269	1	14	2	ready
285279	6	14	3	task
291231	8	14	4	interval
299314	6	15	1	rest
305278	1	15	2	ready
306281	6	15	3	task
312240	8	15	4	interval
320312	6	16	1	rest
326282	1	16	2	ready
327285	6	16	3	task
333241	8	16	4	interval
341318	6	17	1	rest
347279	1	17	2	ready
348304	6	17	3	task
354234	8	17	4	interval
362324	6	18	1	rest
368287	1	18	2	ready
369307	6	18	3	task
375245	8	18	4	interval
383318	6	19	1	rest
389309	1	19	2	ready
390300	6	19	3	task
396242	8	19	4	interval
404320	6	20	1	rest
410302	1	20	2	ready
411331	6	20	3	task
417245	8	20	4	interval
