onset	duration	trial_type	catch_trial	trial_phase	XDAT	stim_dot_position	score	score_txt	latency_to_first_saccade
4.5	1.5	NEUTRAL	NONCATCH	CUE	162	n/a	n/a	n/a	n/a
6.0	1.5	NEUTRAL	NONCATCH	PREP	162	n/a	n/a	n/a	n/a
7.5	1.5	NEUTRAL	NONCATCH	RESPONSE	162	108	1	CORRECT	0.433
13.5	1.5	REWARD	NONCATCH	CUE	185	n/a	n/a	n/a	n/a
15.0	1.5	REWARD	NONCATCH	PREP	185	n/a	n/a	n/a	n/a
16.5	1.5	REWARD	NONCATCH	RESPONSE	185	532	2	ERROR_CORRECTED	0.383
31.5	1.5	REWARD	NONCATCH	CUE	181	n/a	n/a	n/a	n/a
33.0	1.5	REWARD	NONCATCH	PREP	181	n/a	n/a	n/a	n/a
34.5	1.5	REWARD	NONCATCH	RESPONSE	181	7	0	INCORRECT	0.35
37.5	1.5	NEUTRAL	NONCATCH	CUE	165	n/a	n/a	n/a	n/a
39.0	1.5	NEUTRAL	NONCATCH	PREP	165	n/a	n/a	n/a	n/a
40.5	1.5	NEUTRAL	NONCATCH	RESPONSE	165	532	1	CORRECT	0.65
43.5	1.5	REWARD	NONCATCH	CUE	185	n/a	n/a	n/a	n/a
45.0	1.5	REWARD	NONCATCH	PREP	185	n/a	n/a	n/a	n/a
46.5	1.5	REWARD	NONCATCH	RESPONSE	185	532	1	CORRECT	0.45
49.5	1.5	REWARD	NONCATCH	CUE	181	n/a	n/a	n/a	n/a
51.0	1.5	REWARD	NONCATCH	PREP	181	n/a	n/a	n/a	n/a
52.5	1.5	REWARD	NONCATCH	RESPONSE	181	7	2	ERROR_CORRECTED	0.383
55.5	1.5	REWARD	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
63.0	1.5	NEUTRAL	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
64.5	1.5	NEUTRAL	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
67.5	1.5	NEUTRAL	NONCATCH	CUE	164	n/a	n/a	n/a	n/a
69.0	1.5	NEUTRAL	NONCATCH	PREP	164	n/a	n/a	n/a	n/a
70.5	1.5	NEUTRAL	NONCATCH	RESPONSE	164	426	2	ERROR_CORRECTED	0.417
73.5	1.5	NEUTRAL	NONCATCH	CUE	166	n/a	n/a	n/a	n/a
75.0	1.5	NEUTRAL	NONCATCH	PREP	166	n/a	n/a	n/a	n/a
76.5	1.5	NEUTRAL	NONCATCH	RESPONSE	166	633	2	ERROR_CORRECTED	0.483
79.5	1.5	REWARD	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
81.0	1.5	REWARD	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
84.0	1.5	NEUTRAL	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
90.0	1.5	NEUTRAL	NONCATCH	CUE	165	n/a	n/a	n/a	n/a
91.5	1.5	NEUTRAL	NONCATCH	PREP	165	n/a	n/a	n/a	n/a
93.0	1.5	NEUTRAL	NONCATCH	RESPONSE	165	532	2	ERROR_CORRECTED	0.4
96.0	1.5	REWARD	NONCATCH	CUE	182	n/a	n/a	n/a	n/a
97.5	1.5	REWARD	NONCATCH	PREP	182	n/a	n/a	n/a	n/a
99.0	1.5	REWARD	NONCATCH	RESPONSE	182	108	2	ERROR_CORRECTED	0.417
106.5	1.5	REWARD	NONCATCH	CUE	184	n/a	n/a	n/a	n/a
108.0	1.5	REWARD	NONCATCH	PREP	184	n/a	n/a	n/a	n/a
109.5	1.5	REWARD	NONCATCH	RESPONSE	184	426	2	ERROR_CORRECTED	0.45
112.5	1.5	REWARD	NONCATCH	CUE	181	n/a	n/a	n/a	n/a
114.0	1.5	REWARD	NONCATCH	PREP	181	n/a	n/a	n/a	n/a
115.5	1.5	REWARD	NONCATCH	RESPONSE	181	7	1	CORRECT	0.45
118.5	1.5	NEUTRAL	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
120.0	1.5	NEUTRAL	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
123.0	1.5	NEUTRAL	NONCATCH	CUE	162	n/a	n/a	n/a	n/a
124.5	1.5	NEUTRAL	NONCATCH	PREP	162	n/a	n/a	n/a	n/a
126.0	1.5	NEUTRAL	NONCATCH	RESPONSE	162	108	2	ERROR_CORRECTED	0.267
136.5	1.5	NEUTRAL	NONCATCH	CUE	161	n/a	n/a	n/a	n/a
138.0	1.5	NEUTRAL	NONCATCH	PREP	161	n/a	n/a	n/a	n/a
139.5	1.5	NEUTRAL	NONCATCH	RESPONSE	161	7	2	ERROR_CORRECTED	0.433
142.5	1.5	NEUTRAL	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
148.5	1.5	REWARD	NONCATCH	CUE	186	n/a	n/a	n/a	n/a
150.0	1.5	REWARD	NONCATCH	PREP	186	n/a	n/a	n/a	n/a
151.5	1.5	REWARD	NONCATCH	RESPONSE	186	633	2	ERROR_CORRECTED	0.517
154.5	1.5	REWARD	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
157.5	1.5	NEUTRAL	NONCATCH	CUE	166	n/a	n/a	n/a	n/a
159.0	1.5	NEUTRAL	NONCATCH	PREP	166	n/a	n/a	n/a	n/a
160.5	1.5	NEUTRAL	NONCATCH	RESPONSE	166	633	1	CORRECT	0.417
163.5	1.5	REWARD	NONCATCH	CUE	183	n/a	n/a	n/a	n/a
165.0	1.5	REWARD	NONCATCH	PREP	183	n/a	n/a	n/a	n/a
166.5	1.5	REWARD	NONCATCH	RESPONSE	183	214	-1	DROP	-0.001
175.5	1.5	REWARD	NONCATCH	CUE	184	n/a	n/a	n/a	n/a
177.0	1.5	REWARD	NONCATCH	PREP	184	n/a	n/a	n/a	n/a
178.5	1.5	REWARD	NONCATCH	RESPONSE	184	426	2	ERROR_CORRECTED	0.417
186.0	1.5	NEUTRAL	NONCATCH	CUE	163	n/a	n/a	n/a	n/a
187.5	1.5	NEUTRAL	NONCATCH	PREP	163	n/a	n/a	n/a	n/a
189.0	1.5	NEUTRAL	NONCATCH	RESPONSE	163	214	2	ERROR_CORRECTED	0.383
205.5	1.5	NEUTRAL	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
207.0	1.5	NEUTRAL	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
210.0	1.5	REWARD	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
213.0	1.5	NEUTRAL	NONCATCH	CUE	161	n/a	n/a	n/a	n/a
214.5	1.5	NEUTRAL	NONCATCH	PREP	161	n/a	n/a	n/a	n/a
216.0	1.5	NEUTRAL	NONCATCH	RESPONSE	161	7	1	CORRECT	0.4
219.0	1.5	NEUTRAL	NONCATCH	CUE	166	n/a	n/a	n/a	n/a
220.5	1.5	NEUTRAL	NONCATCH	PREP	166	n/a	n/a	n/a	n/a
222.0	1.5	NEUTRAL	NONCATCH	RESPONSE	166	633	1	CORRECT	0.4
225.0	1.5	NEUTRAL	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
228.0	1.5	REWARD	NONCATCH	CUE	186	n/a	n/a	n/a	n/a
229.5	1.5	REWARD	NONCATCH	PREP	186	n/a	n/a	n/a	n/a
231.0	1.5	REWARD	NONCATCH	RESPONSE	186	633	1	CORRECT	0.4
234.0	1.5	REWARD	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
235.5	1.5	REWARD	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
241.5	1.5	REWARD	NONCATCH	CUE	186	n/a	n/a	n/a	n/a
243.0	1.5	REWARD	NONCATCH	PREP	186	n/a	n/a	n/a	n/a
244.5	1.5	REWARD	NONCATCH	RESPONSE	186	633	-1	DROP	-0.001
247.5	1.5	NEUTRAL	NONCATCH	CUE	163	n/a	n/a	n/a	n/a
249.0	1.5	NEUTRAL	NONCATCH	PREP	163	n/a	n/a	n/a	n/a
250.5	1.5	NEUTRAL	NONCATCH	RESPONSE	163	214	2	ERROR_CORRECTED	0.467
256.5	1.5	NEUTRAL	NONCATCH	CUE	161	n/a	n/a	n/a	n/a
258.0	1.5	NEUTRAL	NONCATCH	PREP	161	n/a	n/a	n/a	n/a
259.5	1.5	NEUTRAL	NONCATCH	RESPONSE	161	7	1	CORRECT	0.233
265.5	1.5	REWARD	NONCATCH	CUE	183	n/a	n/a	n/a	n/a
267.0	1.5	REWARD	NONCATCH	PREP	183	n/a	n/a	n/a	n/a
268.5	1.5	REWARD	NONCATCH	RESPONSE	183	214	1	CORRECT	0.483
271.5	1.5	REWARD	NONCATCH	CUE	182	n/a	n/a	n/a	n/a
273.0	1.5	REWARD	NONCATCH	PREP	182	n/a	n/a	n/a	n/a
274.5	1.5	REWARD	NONCATCH	RESPONSE	182	108	1	CORRECT	0.75
277.5	1.5	REWARD	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
279.0	1.5	REWARD	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
282.0	1.5	NEUTRAL	NONCATCH	CUE	164	n/a	n/a	n/a	n/a
283.5	1.5	NEUTRAL	NONCATCH	PREP	164	n/a	n/a	n/a	n/a
285.0	1.5	NEUTRAL	NONCATCH	RESPONSE	164	426	2	ERROR_CORRECTED	0.483
