onset	duration	trial_type	catch_trial	trial_phase	XDAT	stim_dot_position	score	score_txt	latency_to_first_saccade
0.0	1.5	NEUTRAL	NONCATCH	CUE	165	n/a	n/a	n/a	n/a
1.5	1.5	NEUTRAL	NONCATCH	PREP	165	n/a	n/a	n/a	n/a
3.0	1.5	NEUTRAL	NONCATCH	RESPONSE	165	532	1	CORRECT	0.383
6.0	1.5	REWARD	NONCATCH	CUE	181	n/a	n/a	n/a	n/a
7.5	1.5	REWARD	NONCATCH	PREP	181	n/a	n/a	n/a	n/a
9.0	1.5	REWARD	NONCATCH	RESPONSE	181	7	0	INCORRECT	0.35
16.5	1.5	REWARD	NONCATCH	CUE	183	n/a	n/a	n/a	n/a
18.0	1.5	REWARD	NONCATCH	PREP	183	n/a	n/a	n/a	n/a
19.5	1.5	REWARD	NONCATCH	RESPONSE	183	214	-1	DROP	0.85
22.5	1.5	REWARD	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
25.5	1.5	NEUTRAL	NONCATCH	CUE	166	n/a	n/a	n/a	n/a
27.0	1.5	NEUTRAL	NONCATCH	PREP	166	n/a	n/a	n/a	n/a
28.5	1.5	NEUTRAL	NONCATCH	RESPONSE	166	633	2	ERROR_CORRECTED	0.4
31.5	1.5	NEUTRAL	NONCATCH	CUE	163	n/a	n/a	n/a	n/a
33.0	1.5	NEUTRAL	NONCATCH	PREP	163	n/a	n/a	n/a	n/a
34.5	1.5	NEUTRAL	NONCATCH	RESPONSE	163	214	0	INCORRECT	0.417
43.5	1.5	NEUTRAL	NONCATCH	CUE	161	n/a	n/a	n/a	n/a
45.0	1.5	NEUTRAL	NONCATCH	PREP	161	n/a	n/a	n/a	n/a
46.5	1.5	NEUTRAL	NONCATCH	RESPONSE	161	7	0	INCORRECT	0.267
49.5	1.5	NEUTRAL	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
51.0	1.5	NEUTRAL	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
54.0	1.5	REWARD	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
57.0	1.5	NEUTRAL	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
58.5	1.5	NEUTRAL	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
66.0	1.5	NEUTRAL	NONCATCH	CUE	162	n/a	n/a	n/a	n/a
67.5	1.5	NEUTRAL	NONCATCH	PREP	162	n/a	n/a	n/a	n/a
69.0	1.5	NEUTRAL	NONCATCH	RESPONSE	162	108	-1	DROP	-0.001
72.0	1.5	REWARD	NONCATCH	CUE	185	n/a	n/a	n/a	n/a
73.5	1.5	REWARD	NONCATCH	PREP	185	n/a	n/a	n/a	n/a
75.0	1.5	REWARD	NONCATCH	RESPONSE	185	532	2	ERROR_CORRECTED	0.4
78.0	1.5	REWARD	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
79.5	1.5	REWARD	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
90.0	1.5	REWARD	NONCATCH	CUE	184	n/a	n/a	n/a	n/a
91.5	1.5	REWARD	NONCATCH	PREP	184	n/a	n/a	n/a	n/a
93.0	1.5	REWARD	NONCATCH	RESPONSE	184	426	2	ERROR_CORRECTED	0.367
96.0	1.5	NEUTRAL	NONCATCH	CUE	161	n/a	n/a	n/a	n/a
97.5	1.5	NEUTRAL	NONCATCH	PREP	161	n/a	n/a	n/a	n/a
99.0	1.5	NEUTRAL	NONCATCH	RESPONSE	161	7	1	CORRECT	0.45
105.0	1.5	REWARD	NONCATCH	CUE	186	n/a	n/a	n/a	n/a
106.5	1.5	REWARD	NONCATCH	PREP	186	n/a	n/a	n/a	n/a
108.0	1.5	REWARD	NONCATCH	RESPONSE	186	633	1	CORRECT	0.45
114.0	1.5	NEUTRAL	NONCATCH	CUE	162	n/a	n/a	n/a	n/a
115.5	1.5	NEUTRAL	NONCATCH	PREP	162	n/a	n/a	n/a	n/a
117.0	1.5	NEUTRAL	NONCATCH	RESPONSE	162	108	2	ERROR_CORRECTED	0.433
120.0	1.5	NEUTRAL	NONCATCH	CUE	164	n/a	n/a	n/a	n/a
121.5	1.5	NEUTRAL	NONCATCH	PREP	164	n/a	n/a	n/a	n/a
123.0	1.5	NEUTRAL	NONCATCH	RESPONSE	164	426	1	CORRECT	0.5
126.0	1.5	NEUTRAL	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
141.0	1.5	NEUTRAL	NONCATCH	CUE	165	n/a	n/a	n/a	n/a
142.5	1.5	NEUTRAL	NONCATCH	PREP	165	n/a	n/a	n/a	n/a
144.0	1.5	NEUTRAL	NONCATCH	RESPONSE	165	532	2	ERROR_CORRECTED	0.45
147.0	1.5	REWARD	NONCATCH	CUE	186	n/a	n/a	n/a	n/a
148.5	1.5	REWARD	NONCATCH	PREP	186	n/a	n/a	n/a	n/a
150.0	1.5	REWARD	NONCATCH	RESPONSE	186	633	1	CORRECT	0.467
153.0	1.5	REWARD	NONCATCH	CUE	181	n/a	n/a	n/a	n/a
154.5	1.5	REWARD	NONCATCH	PREP	181	n/a	n/a	n/a	n/a
156.0	1.5	REWARD	NONCATCH	RESPONSE	181	7	1	CORRECT	0.45
159.0	1.5	NEUTRAL	NONCATCH	CUE	161	n/a	n/a	n/a	n/a
160.5	1.5	NEUTRAL	NONCATCH	PREP	161	n/a	n/a	n/a	n/a
162.0	1.5	NEUTRAL	NONCATCH	RESPONSE	161	7	1	CORRECT	0.45
165.0	1.5	REWARD	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
166.5	1.5	REWARD	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
172.5	1.5	NEUTRAL	NONCATCH	CUE	166	n/a	n/a	n/a	n/a
