onset	duration	trial_type	catch_trial	trial_phase	XDAT	stim_dot_position	score	score_txt	latency_to_first_saccade
0.0	1.5	NEUTRAL	NONCATCH	CUE	164	n/a	n/a	n/a	n/a
1.5	1.5	NEUTRAL	NONCATCH	PREP	164	n/a	n/a	n/a	n/a
3.0	1.5	NEUTRAL	NONCATCH	RESPONSE	164	426	2	ERROR_CORRECTED	0.35
6.0	1.5	REWARD	NONCATCH	CUE	181	n/a	n/a	n/a	n/a
7.5	1.5	REWARD	NONCATCH	PREP	181	n/a	n/a	n/a	n/a
9.0	1.5	REWARD	NONCATCH	RESPONSE	181	7	1	CORRECT	0.483
12.0	1.5	NEUTRAL	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
13.5	1.5	NEUTRAL	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
16.5	1.5	NEUTRAL	NONCATCH	CUE	166	n/a	n/a	n/a	n/a
18.0	1.5	NEUTRAL	NONCATCH	PREP	166	n/a	n/a	n/a	n/a
19.5	1.5	NEUTRAL	NONCATCH	RESPONSE	166	633	2	ERROR_CORRECTED	0.35
25.5	1.5	NEUTRAL	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
28.5	1.5	REWARD	NONCATCH	CUE	186	n/a	n/a	n/a	n/a
30.0	1.5	REWARD	NONCATCH	PREP	186	n/a	n/a	n/a	n/a
31.5	1.5	REWARD	NONCATCH	RESPONSE	186	633	1	CORRECT	0.433
42.0	1.5	REWARD	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
45.0	1.5	REWARD	NONCATCH	CUE	184	n/a	n/a	n/a	n/a
46.5	1.5	REWARD	NONCATCH	PREP	184	n/a	n/a	n/a	n/a
48.0	1.5	REWARD	NONCATCH	RESPONSE	184	426	1	CORRECT	0.4
51.0	1.5	NEUTRAL	NONCATCH	CUE	162	n/a	n/a	n/a	n/a
52.5	1.5	NEUTRAL	NONCATCH	PREP	162	n/a	n/a	n/a	n/a
54.0	1.5	NEUTRAL	NONCATCH	RESPONSE	162	108	-1	DROP	-0.001
61.5	1.5	REWARD	NONCATCH	CUE	186	n/a	n/a	n/a	n/a
63.0	1.5	REWARD	NONCATCH	PREP	186	n/a	n/a	n/a	n/a
64.5	1.5	REWARD	NONCATCH	RESPONSE	186	633	1	CORRECT	0.433
72.0	1.5	NEUTRAL	NONCATCH	CUE	166	n/a	n/a	n/a	n/a
73.5	1.5	NEUTRAL	NONCATCH	PREP	166	n/a	n/a	n/a	n/a
75.0	1.5	NEUTRAL	NONCATCH	RESPONSE	166	633	1	CORRECT	0.767
78.0	1.5	NEUTRAL	NONCATCH	CUE	161	n/a	n/a	n/a	n/a
79.5	1.5	NEUTRAL	NONCATCH	PREP	161	n/a	n/a	n/a	n/a
81.0	1.5	NEUTRAL	NONCATCH	RESPONSE	161	7	-1	DROP	-0.001
84.0	1.5	REWARD	NONCATCH	CUE	185	n/a	n/a	n/a	n/a
85.5	1.5	REWARD	NONCATCH	PREP	185	n/a	n/a	n/a	n/a
87.0	1.5	REWARD	NONCATCH	RESPONSE	185	532	1	CORRECT	0.367
90.0	1.5	REWARD	NONCATCH	CUE	181	n/a	n/a	n/a	n/a
91.5	1.5	REWARD	NONCATCH	PREP	181	n/a	n/a	n/a	n/a
93.0	1.5	REWARD	NONCATCH	RESPONSE	181	7	1	CORRECT	0.467
96.0	1.5	REWARD	NONCATCH	CUE	185	n/a	n/a	n/a	n/a
97.5	1.5	REWARD	NONCATCH	PREP	185	n/a	n/a	n/a	n/a
99.0	1.5	REWARD	NONCATCH	RESPONSE	185	532	1	CORRECT	0.367
114.0	1.5	NEUTRAL	NONCATCH	CUE	163	n/a	n/a	n/a	n/a
115.5	1.5	NEUTRAL	NONCATCH	PREP	163	n/a	n/a	n/a	n/a
117.0	1.5	NEUTRAL	NONCATCH	RESPONSE	163	214	-1	DROP	-0.001
123.0	1.5	REWARD	NONCATCH	CUE	182	n/a	n/a	n/a	n/a
124.5	1.5	REWARD	NONCATCH	PREP	182	n/a	n/a	n/a	n/a
126.0	1.5	REWARD	NONCATCH	RESPONSE	182	108	1	CORRECT	0.433
129.0	1.5	NEUTRAL	NONCATCH	CUE	161	n/a	n/a	n/a	n/a
130.5	1.5	NEUTRAL	NONCATCH	PREP	161	n/a	n/a	n/a	n/a
132.0	1.5	NEUTRAL	NONCATCH	RESPONSE	161	7	-1	DROP	-0.001
135.0	1.5	NEUTRAL	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
138.0	1.5	NEUTRAL	NONCATCH	CUE	164	n/a	n/a	n/a	n/a
139.5	1.5	NEUTRAL	NONCATCH	PREP	164	n/a	n/a	n/a	n/a
141.0	1.5	NEUTRAL	NONCATCH	RESPONSE	164	426	1	CORRECT	0.4
151.5	1.5	NEUTRAL	NONCATCH	CUE	163	n/a	n/a	n/a	n/a
153.0	1.5	NEUTRAL	NONCATCH	PREP	163	n/a	n/a	n/a	n/a
154.5	1.5	NEUTRAL	NONCATCH	RESPONSE	163	214	0	INCORRECT	0.483
157.5	1.5	REWARD	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
160.5	1.5	REWARD	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
162.0	1.5	REWARD	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
169.5	1.5	REWARD	NONCATCH	CUE	184	n/a	n/a	n/a	n/a
171.0	1.5	REWARD	NONCATCH	PREP	184	n/a	n/a	n/a	n/a
172.5	1.5	REWARD	NONCATCH	RESPONSE	184	426	1	CORRECT	0.433
175.5	1.5	NEUTRAL	NONCATCH	CUE	166	n/a	n/a	n/a	n/a
177.0	1.5	NEUTRAL	NONCATCH	PREP	166	n/a	n/a	n/a	n/a
178.5	1.5	NEUTRAL	NONCATCH	RESPONSE	166	633	1	CORRECT	0.633
181.5	1.5	REWARD	NONCATCH	CUE	182	n/a	n/a	n/a	n/a
183.0	1.5	REWARD	NONCATCH	PREP	182	n/a	n/a	n/a	n/a
184.5	1.5	REWARD	NONCATCH	RESPONSE	182	108	1	CORRECT	0.533
187.5	1.5	NEUTRAL	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
193.5	1.5	NEUTRAL	NONCATCH	CUE	165	n/a	n/a	n/a	n/a
195.0	1.5	NEUTRAL	NONCATCH	PREP	165	n/a	n/a	n/a	n/a
196.5	1.5	NEUTRAL	NONCATCH	RESPONSE	165	532	2	ERROR_CORRECTED	0.4
199.5	1.5	NEUTRAL	NONCATCH	CUE	161	n/a	n/a	n/a	n/a
201.0	1.5	NEUTRAL	NONCATCH	PREP	161	n/a	n/a	n/a	n/a
202.5	1.5	NEUTRAL	NONCATCH	RESPONSE	161	7	2	ERROR_CORRECTED	0.383
205.5	1.5	NEUTRAL	NONCATCH	CUE	165	n/a	n/a	n/a	n/a
207.0	1.5	NEUTRAL	NONCATCH	PREP	165	n/a	n/a	n/a	n/a
208.5	1.5	NEUTRAL	NONCATCH	RESPONSE	165	532	1	CORRECT	0.4
211.5	1.5	REWARD	NONCATCH	CUE	181	n/a	n/a	n/a	n/a
213.0	1.5	REWARD	NONCATCH	PREP	181	n/a	n/a	n/a	n/a
214.5	1.5	REWARD	NONCATCH	RESPONSE	181	7	1	CORRECT	0.5
222.0	1.5	REWARD	NONCATCH	CUE	186	n/a	n/a	n/a	n/a
223.5	1.5	REWARD	NONCATCH	PREP	186	n/a	n/a	n/a	n/a
225.0	1.5	REWARD	NONCATCH	RESPONSE	186	633	1	CORRECT	0.4
228.0	1.5	REWARD	NONCATCH	CUE	183	n/a	n/a	n/a	n/a
229.5	1.5	REWARD	NONCATCH	PREP	183	n/a	n/a	n/a	n/a
231.0	1.5	REWARD	NONCATCH	RESPONSE	183	214	-1	DROP	-0.001
234.0	1.5	REWARD	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
235.5	1.5	REWARD	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
238.5	1.5	NEUTRAL	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
240.0	1.5	NEUTRAL	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
249.0	1.5	REWARD	NONCATCH	CUE	183	n/a	n/a	n/a	n/a
250.5	1.5	REWARD	NONCATCH	PREP	183	n/a	n/a	n/a	n/a
252.0	1.5	REWARD	NONCATCH	RESPONSE	183	214	-1	DROP	-0.001
259.5	1.5	NEUTRAL	NONCATCH	CUE	162	n/a	n/a	n/a	n/a
261.0	1.5	NEUTRAL	NONCATCH	PREP	162	n/a	n/a	n/a	n/a
262.5	1.5	NEUTRAL	NONCATCH	RESPONSE	162	108	2	ERROR_CORRECTED	0.4
276.0	1.5	REWARD	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
279.0	1.5	NEUTRAL	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
280.5	1.5	NEUTRAL	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
283.5	1.5	REWARD	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
285.0	1.5	REWARD	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
