onset	duration	trial_type	response	response_time	stim_id	stim_version	stim_events	stim_slides	trial_id	run_id	stim_redcross	subsequent_response_type
2.1145	n/a	n/a	n/a	n/a	80100	8	1	0	1	1	n/a	n/a
6.0811	3.5	genericItem	n/a	n/a	10101	1	1	1	2	1	n/a	n/a
10.0242	3.5	genericItem	1	0.766	10102	1	1	2	3	1	1	n/a
14.0248	3.5	genericItem	n/a	n/a	10103	1	1	3	4	1	n/a	n/a
18.0235	3.5	controlItem	n/a	n/a	10104	1	1	4	5	1	n/a	controlFoil1
22.0238	3.5	genericItem	n/a	n/a	10105	1	1	5	6	1	n/a	n/a
26.023	3.5	genericItem	n/a	n/a	10106	1	1	6	7	1	n/a	n/a
30.0231	3.5	controlItem	n/a	n/a	10107	1	1	7	8	1	n/a	controlTrue
34.0242	3.5	genericItem	n/a	n/a	10108	1	1	8	9	1	n/a	n/a
38.1038	3.5	genericItem	n/a	n/a	10109	1	1	9	10	1	n/a	n/a
42.0234	3.5	criticalItem	n/a	n/a	10110	1	1	10	11	1	n/a	criticalTrue
46.0241	3.5	genericItem	n/a	n/a	10111	1	1	11	12	1	n/a	n/a
50.0245	3.5	criticalItem	n/a	n/a	10112	1	1	12	13	1	n/a	criticalTrue
54.0238	3.5	genericItem	n/a	n/a	10113	1	1	13	14	1	n/a	n/a
58.0246	3.5	criticalItem	n/a	n/a	10114	1	1	14	15	1	n/a	criticalTrue
62.0241	3.5	genericItem	n/a	n/a	10115	1	1	15	16	1	n/a	n/a
66.0236	3.5	controlItem	n/a	n/a	10116	1	1	16	17	1	n/a	controlTrue
70.0244	3.5	criticalItem	n/a	n/a	10117	1	1	17	18	1	n/a	criticalTrue
74.0258	3.5	controlItem	n/a	n/a	10118	1	1	18	19	1	n/a	controlFoil1
78.0238	3.5	criticalItem	n/a	n/a	10119	1	1	19	20	1	n/a	criticalTrue
82.1309	3.5	genericItem	1	0.684	10120	1	1	20	21	1	1	n/a
86.1266	3.5	controlItem	n/a	n/a	10121	1	1	21	22	1	n/a	controlFoil1
90.024	3.5	criticalItem	n/a	n/a	10122	1	1	22	23	1	n/a	criticalTrue
94.0247	3.5	controlItem	n/a	n/a	10123	1	1	23	24	1	n/a	controlTrue
98.0885	3.5	controlItem	n/a	n/a	10124	1	1	24	25	1	n/a	controlFoil1
102.079	3.5	controlItem	n/a	n/a	10125	1	1	25	26	1	n/a	controlTrue
106.024	3.5	criticalItem	n/a	n/a	10126	1	1	26	27	1	n/a	criticalTrue
110.024	3.5	genericItem	n/a	n/a	10127	1	1	27	28	1	n/a	n/a
114.025	3.5	criticalItem	n/a	n/a	10128	1	1	28	29	1	n/a	criticalTrue
118.024	3.5	genericItem	n/a	n/a	10129	1	1	29	30	1	n/a	n/a
122.056	3.5	genericItem	n/a	n/a	10130	1	1	30	31	1	n/a	n/a
126.023	3.5	criticalItem	n/a	n/a	10131	1	1	31	32	1	n/a	n/a
130.024	3.5	controlItem	n/a	n/a	10132	1	1	32	33	1	n/a	controlTrue
134.037	3.5	genericItem	n/a	n/a	10133	1	1	33	34	1	n/a	n/a
138.023	3.5	genericItem	n/a	n/a	10134	1	1	34	35	1	n/a	n/a
142.023	3.5	genericItem	n/a	n/a	10135	1	1	35	36	1	n/a	n/a
146.024	3.5	criticalItem	n/a	n/a	10136	1	1	36	37	1	n/a	criticalFalse
150.024	3.5	genericItem	1	0.756	10137	1	1	37	38	1	1	n/a
154.024	3.5	genericItem	n/a	n/a	10138	1	1	38	39	1	n/a	n/a
158.024	3.5	genericItem	n/a	n/a	10139	1	1	39	40	1	n/a	n/a
162.023	3.5	controlItem	n/a	n/a	10140	1	1	40	41	1	n/a	controlFoil1
166.025	3.5	criticalItem	n/a	n/a	10141	1	1	41	42	1	n/a	criticalFalse
170.023	3.5	genericItem	n/a	n/a	10142	1	1	42	43	1	n/a	n/a
174.057	3.5	genericItem	n/a	n/a	10143	1	1	43	44	1	n/a	n/a
178.024	3.5	genericItem	n/a	n/a	10144	1	1	44	45	1	n/a	n/a
182.024	3.5	genericItem	n/a	n/a	10145	1	1	45	46	1	n/a	n/a
186.024	3.5	controlItem	n/a	n/a	10146	1	1	46	47	1	n/a	controlTrue
190.024	3.5	genericItem	n/a	n/a	10147	1	1	47	48	1	n/a	n/a
194.024	3.5	genericItem	n/a	n/a	10148	1	1	48	49	1	n/a	n/a
198.024	3.5	controlItem	n/a	n/a	10149	1	1	49	50	1	n/a	controlFoil2
202.023	3.5	criticalItem	n/a	n/a	10150	1	1	50	51	1	n/a	criticalFalse
206.092	n/a	n/a	n/a	n/a	90100	9	1	0	52	1	n/a	n/a
210.054	n/a	n/a	n/a	n/a	80200	8	2	0	53	1	n/a	n/a
214.025	3.5	genericItem	n/a	n/a	10201	1	2	1	54	1	n/a	n/a
218.061	3.5	genericItem	n/a	n/a	10202	1	2	2	55	1	n/a	n/a
222.051	3.5	genericItem	n/a	n/a	10203	1	2	3	56	1	n/a	n/a
226.024	3.5	controlItem	n/a	n/a	10204	1	2	4	57	1	n/a	controlTrue
230.096	3.5	controlItem	n/a	n/a	10205	1	2	5	58	1	n/a	controlTrue
234.023	3.5	genericItem	n/a	n/a	10206	1	2	6	59	1	n/a	n/a
238.077	3.5	controlItem	n/a	n/a	10207	1	2	7	60	1	n/a	controlFoil2
242.024	3.5	genericItem	1	0.535	10208	1	2	8	61	1	1	n/a
246.063	3.5	genericItem	n/a	n/a	10209	1	2	9	62	1	n/a	n/a
250.077	3.5	genericItem	n/a	n/a	10210	1	2	10	63	1	n/a	n/a
254.064	3.5	genericItem	n/a	n/a	10211	1	2	11	64	1	n/a	n/a
258.024	3.5	genericItem	n/a	n/a	10212	1	2	12	65	1	n/a	n/a
262.025	3.5	genericItem	n/a	n/a	10213	1	2	13	66	1	n/a	n/a
266.053	3.5	criticalItem	n/a	n/a	20214	2	2	14	67	1	n/a	criticalFalse
270.1	3.5	genericItem	n/a	n/a	10215	1	2	15	68	1	n/a	n/a
274.024	3.5	genericItem	n/a	n/a	10216	1	2	16	69	1	n/a	n/a
278.09	3.5	controlItem	n/a	n/a	10217	1	2	17	70	1	n/a	controlFoil1
282.024	3.5	genericItem	n/a	n/a	10218	1	2	18	71	1	n/a	n/a
286.09	3.5	criticalItem	n/a	n/a	20219	2	2	19	72	1	n/a	criticalTrue
290.082	3.5	genericItem	n/a	n/a	10220	1	2	20	73	1	n/a	n/a
294.115	3.5	genericItem	n/a	n/a	10221	1	2	21	74	1	n/a	n/a
298.083	3.5	controlItem	n/a	n/a	10222	1	2	22	75	1	n/a	controlTrue
302.056	3.5	criticalItem	n/a	n/a	20223	2	2	23	76	1	n/a	criticalFalse
306.058	3.5	genericItem	n/a	n/a	10224	1	2	24	77	1	n/a	n/a
310.024	3.5	criticalItem	n/a	n/a	20225	2	2	25	78	1	n/a	criticalTrue
314.023	3.5	genericItem	n/a	n/a	10226	1	2	26	79	1	n/a	n/a
318.025	3.5	genericItem	n/a	n/a	10227	1	2	27	80	1	n/a	n/a
322.076	3.5	criticalItem	n/a	n/a	20228	2	2	28	81	1	n/a	criticalFalse
326.04	3.5	genericItem	1	0.691	10229	1	2	29	82	1	1	n/a
330.024	3.5	controlItem	n/a	n/a	10230	1	2	30	83	1	n/a	controlTrue
334.09	3.5	criticalItem	n/a	n/a	20231	2	2	31	84	1	n/a	criticalTrue
338.058	3.5	controlItem	n/a	n/a	10232	1	2	32	85	1	n/a	controlTrue
342.025	3.5	genericItem	n/a	n/a	10233	1	2	33	86	1	n/a	n/a
346.075	3.5	criticalItem	n/a	n/a	20234	2	2	34	87	1	n/a	criticalTrue
350.103	3.5	controlItem	n/a	n/a	10235	1	2	35	88	1	n/a	controlTrue
354.087	3.5	criticalItem	n/a	n/a	20236	2	2	36	89	1	n/a	criticalFoil
358.05	3.5	controlItem	n/a	n/a	10237	1	2	37	90	1	n/a	controlFoil2
362.106	3.5	criticalItem	n/a	n/a	20238	2	2	38	91	1	n/a	criticalTrue
366.098	3.5	genericItem	n/a	n/a	10239	1	2	39	92	1	n/a	n/a
370.024	3.5	genericItem	n/a	n/a	10240	1	2	40	93	1	n/a	n/a
374.053	3.5	criticalItem	n/a	n/a	20241	2	2	41	94	1	n/a	criticalTrue
378.024	3.5	controlItem	n/a	n/a	10242	1	2	42	95	1	n/a	controlTrue
382.025	3.5	genericItem	n/a	n/a	10243	1	2	43	96	1	n/a	n/a
386.025	3.5	genericItem	1	1.011	10244	1	2	44	97	1	1	n/a
390.081	3.5	criticalItem	n/a	n/a	20245	2	2	45	98	1	n/a	criticalFalse
394.045	3.5	controlItem	n/a	n/a	10246	1	2	46	99	1	n/a	controlFoil1
398.097	3.5	genericItem	n/a	n/a	10247	1	2	47	100	1	n/a	n/a
402.024	3.5	controlItem	n/a	n/a	10248	1	2	48	101	1	n/a	controlFoil2
406.089	3.5	criticalItem	n/a	n/a	20249	2	2	49	102	1	n/a	criticalFalse
410.025	3.5	genericItem	n/a	n/a	10250	1	2	50	103	1	n/a	n/a
414.05	n/a	n/a	n/a	n/a	90200	9	2	0	104	1	n/a	n/a
418.025	n/a	n/a	n/a	n/a	90000	5	0	0	105	1	n/a	n/a
