onset	duration	trial_phase	trial	condition	perceived_liking	perceived_intensity
2.016345	1.411448	trialstart	1	neutral	61.864407	65.254237
5.516254	4.764009	liking	1	neutral	61.864407	65.254237
5.516254	2.254080	intensity	1	neutral	61.864407	65.254237
15.210846	4.686748	ITI	1	neutral	61.864407	65.254237
20.274893	1.420615	trialstart	2	neutral	62.711864	60.169492
23.788454	2.387072	liking	2	neutral	62.711864	60.169492
23.788454	1.180206	intensity	2	neutral	62.711864	60.169492
30.125664	8.039576	ITI	2	neutral	62.711864	60.169492
38.280538	1.428786	trialstart	3	empty	50.000000	12.711864
41.785745	4.902549	liking	3	empty	50.000000	12.711864
41.785745	2.228135	intensity	3	empty	50.000000	12.711864
51.677277	4.501760	ITI	3	empty	50.000000	12.711864
56.286124	1.425602	trialstart	4	empty	50.000000	12.711864
59.798426	1.838461	liking	4	empty	50.000000	12.711864
59.798426	1.931665	intensity	4	empty	50.000000	12.711864
66.513731	7.667729	ITI	4	empty	50.000000	12.711864
74.291786	1.416621	trialstart	5	neutral	54.237288	65.254237
77.796335	3.639989	liking	5	neutral	54.237288	65.254237
77.796335	3.772018	intensity	5	neutral	54.237288	65.254237
88.144764	4.033368	ITI	5	neutral	54.237288	65.254237
92.297425	1.423436	trialstart	6	neutral	61.864407	74.576271
95.802196	2.578746	liking	6	neutral	61.864407	74.576271
95.802196	4.251701	intensity	6	neutral	61.864407	74.576271
105.375394	4.815201	ITI	6	neutral	61.864407	74.576271
110.303137	1.424744	trialstart	7	neutral	64.406780	57.627119
113.815988	3.155423	liking	7	neutral	64.406780	57.627119
113.815988	2.027787	intensity	7	neutral	64.406780	57.627119
121.943858	6.253749	ITI	7	neutral	64.406780	57.627119
128.308836	1.434327	trialstart	8	neutral	61.016949	61.016949
131.812894	2.590221	liking	8	neutral	61.016949	61.016949
131.812894	6.582645	intensity	8	neutral	61.016949	61.016949
143.739997	2.472890	ITI	8	neutral	61.016949	61.016949
146.314567	1.433635	trialstart	9	neutral	34.745763	64.406780
149.820484	4.295007	liking	9	neutral	34.745763	64.406780
149.820484	6.530212	intensity	9	neutral	34.745763	64.406780
163.399044	0.818880	ITI	9	neutral	34.745763	64.406780
164.320450	1.423050	trialstart	10	neutral	46.610169	54.237288
167.821273	4.254612	liking	10	neutral	46.610169	54.237288
167.821273	2.187868	intensity	10	neutral	46.610169	54.237288
177.205501	5.007728	ITI	10	neutral	46.610169	54.237288
182.326247	1.428073	trialstart	11	neutral	50.000000	13.559322
185.828099	4.965722	liking	11	neutral	50.000000	13.559322
185.828099	3.860863	intensity	11	neutral	50.000000	13.559322
197.403305	2.820740	ITI	11	neutral	50.000000	13.559322
200.332040	1.431909	trialstart	12	neutral	50.000000	12.711864
203.834628	1.203248	liking	12	neutral	50.000000	12.711864
203.834628	2.147892	intensity	12	neutral	50.000000	12.711864
210.142518	8.091147	ITI	12	neutral	50.000000	12.711864
218.338048	1.422247	trialstart	13	neutral	55.932203	62.711864
221.850601	2.447931	liking	13	neutral	55.932203	62.711864
221.850601	1.044166	intensity	13	neutral	55.932203	62.711864
228.284357	7.945658	ITI	13	neutral	55.932203	62.711864
236.343896	1.414699	trialstart	14	neutral	60.169492	61.864407
239.854830	3.035704	liking	14	neutral	60.169492	61.864407
239.854830	3.028696	intensity	14	neutral	60.169492	61.864407
248.852974	5.375345	ITI	14	neutral	60.169492	61.864407
254.349805	1.415646	trialstart	15	neutral	50.000000	35.593220
257.880088	3.393958	liking	15	neutral	50.000000	35.593220
257.880088	2.580648	intensity	15	neutral	50.000000	35.593220
266.590269	5.644916	ITI	15	neutral	50.000000	35.593220
272.355749	1.418591	trialstart	16	neutral	50.000000	12.711864
275.867331	1.308475	liking	16	neutral	50.000000	12.711864
275.867331	1.443788	intensity	16	neutral	50.000000	12.711864
281.559973	8.684076	ITI	16	neutral	50.000000	12.711864
290.361813	1.429185	trialstart	17	neutral	50.000000	27.118644
293.868750	1.300711	liking	17	neutral	50.000000	27.118644
293.868750	1.940775	intensity	17	neutral	50.000000	27.118644
299.858991	8.401725	ITI	17	neutral	50.000000	27.118644
308.367807	1.431118	trialstart	18	neutral	50.000000	12.711864
311.868509	1.538956	liking	18	neutral	50.000000	12.711864
311.868509	1.740906	intensity	18	neutral	50.000000	12.711864
318.101236	8.167428	ITI	18	neutral	50.000000	12.711864
326.373794	1.426645	trialstart	19	neutral	50.000000	23.728814
329.883269	2.029661	liking	19	neutral	50.000000	23.728814
329.883269	2.179722	intensity	19	neutral	50.000000	23.728814
337.039108	7.231035	ITI	19	neutral	50.000000	23.728814
344.379795	1.421353	trialstart	20	neutral	45.762712	19.491525
347.880335	2.536149	liking	20	neutral	45.762712	19.491525
347.880335	2.619523	intensity	20	neutral	45.762712	19.491525
355.777916	6.492936	ITI	20	neutral	45.762712	19.491525
362.385930	1.407606	trialstart	21	neutral	39.830508	60.169492
365.901820	4.420929	liking	21	neutral	39.830508	60.169492
365.901820	2.579013	intensity	21	neutral	39.830508	60.169492
