onset	duration	trial_phase	trial	n_grips	rewarded_response	
0.549641	14.586310	trialstart	1	8	1	
15.132322	4.968623	ITI	1	8	1	
20.109629	14.397279	trialstart	2	13	1	
34.506889	5.633446	ITI	2	13	1	
40.145649	17.120198	trialstart	3	12	2	
57.265824	2.910514	ITI	3	12	2	
60.181921	17.177112	trialstart	4	12	2	
77.359010	3.353611	ITI	4	12	2	
80.718382	17.633519	trialstart	5	8	2	
98.351879	2.897198	ITI	5	8	2	
101.255077	14.490910	trialstart	6	14	1	
115.745965	5.539802	ITI	6	14	1	
121.292035	17.846065	trialstart	7	8	2	
139.138079	2.684734	ITI	7	8	2	
141.829279	14.602877	trialstart	8	7	1	
156.432133	5.427852	ITI	8	7	1	
161.866654	16.724677	trialstart	9	8	2	
178.591307	2.806034	ITI	9	8	2	
181.404286	17.746707	trialstart	10	11	2	
199.150969	2.784013	ITI	10	11	2	
201.942200	17.735135	trialstart	11	9	2	
219.677309	2.295584	ITI	11	9	2	
221.980191	17.490416	trialstart	12	5	2	
239.470583	2.040293	ITI	12	5	2	
241.518354	16.712540	trialstart	13	11	2	
258.230871	3.818198	ITI	13	11	2	
262.056733	17.383642	trialstart	14	14	2	
279.440352	2.647092	ITI	14	14	2	
282.095553	17.354690	trialstart	15	16	2	
299.450219	2.176028	ITI	15	16	2	
301.634509	17.275792	trialstart	16	9	2	
318.910269	2.255004	ITI	16	9	2	
321.173556	17.446700	trialstart	17	8	2	
338.620233	2.584030	ITI	17	8	2	
341.212788	17.234083	trialstart	18	13	2	
358.446847	2.296649	ITI	18	13	2	
360.752218	17.021410	trialstart	19	13	2	
377.773605	2.509323	ITI	19	13	2	
380.291883	16.875168	trialstart	20	8	2	
397.167027	3.655582	ITI	20	8	2	
400.831608	17.428258	trialstart	21	10	2	
418.259843	3.102467	ITI	21	10	2	
421.371498	16.914904	trialstart	22	17	2	
438.286377	3.615817	ITI	22	17	2	
441.911814	16.784326	trialstart	23	11	2	
458.696115	3.246405	ITI	23	11	2	
461.952310	17.320165	trialstart	24	11	2	
479.272451	2.210550	ITI	24	11	2	
