onset	duration	trial	condition	reaction_times	liking_ratings	accuracy	rounds
0	0	1	CSplus	0.467513	63.559322	1	1
0	0	2	CSplus	0.468101	63.559322	1	2
0	0	3	CSplus	0.391396	63.559322	1	3
0	0	4	CSminus	0.583485	58.474576	1	1
0	0	5	CSminus	0.512662	58.474576	1	2
0	0	6	CSminus	0.359259	58.474576	1	3
0	0	7	CSplus	0.413536	63.559322	1	1
0	0	8	CSplus	0.363271	63.559322	1	2
0	0	9	CSplus	0.509433	63.559322	1	3
0	0	10	CSminus	0.407155	58.474576	1	1
0	0	11	CSminus	0.347361	58.474576	1	2
0	0	12	CSminus	0.404970	58.474576	1	3
0	0	13	CSplus	0.283731	63.559322	1	1
0	0	14	CSplus	0.584690	63.559322	1	2
0	0	15	CSplus	0.526089	63.559322	1	3
0	0	16	CSminus	0.421160	58.474576	1	1
0	0	17	CSminus	0.370909	58.474576	1	2
0	0	18	CSminus	0.368583	58.474576	1	3
0	0	19	CSplus	0.476373	63.559322	1	1
0	0	20	CSplus	0.356013	63.559322	1	2
0	0	21	CSplus	0.364416	63.559322	1	3
0	0	22	CSminus	0.613423	58.474576	1	1
0	0	23	CSminus	0.480356	58.474576	1	2
0	0	24	CSminus	0.448259	58.474576	1	3
0	0	25	CSplus	0.342812	63.559322	1	1
0	0	26	CSplus	0.334215	63.559322	1	2
0	0	27	CSplus	0.384738	63.559322	1	3
0	0	28	CSminus	0.609130	58.474576	1	1
0	0	29	CSminus	0.403287	58.474576	1	2
0	0	30	CSminus	0.395739	58.474576	1	3
0	0	31	CSplus	0.422401	63.559322	1	1
0	0	32	CSplus	0.363536	63.559322	1	2
0	0	33	CSplus	0.364779	63.559322	1	3
0	0	34	CSminus	0.613972	58.474576	1	1
0	0	35	CSminus	0.344872	58.474576	1	2
0	0	36	CSminus	0.492003	58.474576	1	3
0	0	37	CSplus	0.356871	63.559322	1	1
0	0	38	CSplus	0.490904	63.559322	1	2
0	0	39	CSplus	0.528975	63.559322	1	3
0	0	40	CSminus	0.609654	58.474576	1	1
0	0	41	CSminus	0.434030	58.474576	1	2
0	0	42	CSminus	0.453154	58.474576	1	3
0	0	43	CSplus	0.298992	63.559322	1	1
0	0	44	CSplus	0.330188	63.559322	1	2
0	0	45	CSplus	0.508270	63.559322	1	3
0	0	46	CSminus	0.507842	58.474576	1	1
0	0	47	CSminus	0.468374	58.474576	1	2
0	0	48	CSminus	0.463743	58.474576	1	3
0	0	49	CSplus	0.457058	63.559322	1	1
0	0	50	CSplus	0.398990	63.559322	1	2
0	0	51	CSplus	0.424619	63.559322	1	3
0	0	52	CSminus	0.473427	58.474576	1	1
0	0	53	CSminus	0.486679	58.474576	1	2
0	0	54	CSminus	0.699699	58.474576	1	3
0	0	55	CSplus	0.325838	63.559322	1	1
0	0	56	CSplus	0.364874	63.559322	1	2
0	0	57	CSplus	0.687604	63.559322	1	3
0	0	58	CSminus	0.650127	58.474576	1	1
0	0	59	CSminus	0.545153	58.474576	1	2
0	0	60	CSminus	0.608462	58.474576	1	3
0	0	61	CSplus	0.390136	63.559322	1	1
0	0	62	CSplus	0.390416	63.559322	1	2
0	0	63	CSplus	0.451921	63.559322	1	3
0	0	64	CSminus	0.495981	58.474576	1	1
0	0	65	CSminus	0.441061	58.474576	1	2
0	0	66	CSminus	0.344347	58.474576	1	3
0	0	67	CSplus	0.463154	63.559322	1	1
0	0	68	CSplus	0.436623	63.559322	1	2
0	0	69	CSplus	0.650582	63.559322	1	3
0	0	70	CSminus	0.332768	58.474576	1	1
0	0	71	CSminus	0.412051	58.474576	1	2
0	0	72	CSminus	0.403306	58.474576	1	3
0	0	73	CSplus	0.327120	63.559322	1	1
0	0	74	CSplus	0.396121	63.559322	1	2
0	0	75	CSplus	0.507172	63.559322	1	3
0	0	76	CSminus	0.548432	58.474576	1	1
0	0	77	CSminus	0.521154	58.474576	1	2
0	0	78	CSminus	0.597279	58.474576	1	3
0	0	79	CSplus	0.315711	63.559322	1	1
0	0	80	CSplus	0.353703	63.559322	1	2
0	0	81	CSplus	0.440405	63.559322	1	3
0	0	82	CSminus	0.539942	58.474576	1	1
0	0	83	CSminus	0.403867	58.474576	1	2
0	0	84	CSminus	0.477412	58.474576	1	3
0	0	85	CSplus	0.416365	63.559322	1	1
0	0	86	CSplus	0.652130	63.559322	1	2
0	0	87	CSplus	0.410808	63.559322	1	3
0	0	88	CSminus	0.404483	58.474576	1	1
0	0	89	CSminus	0.543037	58.474576	1	2
0	0	90	CSminus	0.832886	58.474576	1	3
0	0	91	CSplus	0.444458	63.559322	1	1
0	0	92	CSplus	0.400644	63.559322	1	2
0	0	93	CSplus	0.333678	63.559322	1	3
0	0	94	CSminus	1.000000	58.474576	0	1
0	0	95	CSminus	0.346074	58.474576	1	2
0	0	96	CSminus	0.338770	58.474576	1	3
0	0	97	CSplus	0.500955	63.559322	1	1
0	0	98	CSplus	0.392580	63.559322	1	2
0	0	99	CSplus	0.323378	63.559322	1	3
0	0	100	CSminus	1.000000	58.474576	0	1
0	0	101	CSminus	0.400262	58.474576	1	2
0	0	102	CSminus	0.408680	58.474576	1	3
0	0	103	CSplus	0.388326	63.559322	1	1
0	0	104	CSplus	0.399203	63.559322	1	2
0	0	105	CSplus	0.354689	63.559322	1	3
0	0	106	CSminus	0.620030	58.474576	1	1
0	0	107	CSminus	0.401881	58.474576	1	2
0	0	108	CSminus	0.490566	58.474576	1	3
0	0	109	Baseline	NaN	44.915254	NaN	NaN
