melody_number	melody_part	hand	key_sequence	session
M1	1	BH	AEHT Q Q CFHR O O AEHM Q T	TP2
M1	2	BH	AEHT Q Q CFHR O O AEHM Q M	TP2
M1	1	RH	T Q Q R O O M Q T	TP2
M1	2	RH	T Q Q R O O M Q M	TP2
M2	1	BH	AM HO EQ HM AM HO EQ HM	TP2
M2	2	BH	AQ HR ET H AQ HR ET H	TP2
M2	3	BH	AT V HT R EQ HM AT V HT R EQ HM	TP2
M2	4	BH	AM H AM AM H AM	TP2
M2	1	RH	M O Q M M O Q M	TP2
M2	2	RH	Q R T Q R T	TP2
M2	3	RH	T V T R Q M T V T R Q M	TP2
M2	4	RH	M H M M H M	TP2
M3	1	BH	AHY T AHT R AHQ R AHT	TP2
M3	2	BH	AHY T AHT R AHQ O AHM	TP2
M3	3	BH	AHM O AHQ O AHQ R AHT	TP2
M3	4	BH	AHQ T AHT R AHQ O AHM	TP2
M3	1	RH	Y T T R Q R T	TP2
M3	2	RH	Y T T R Q O M	TP2
M3	3	RH	M O Q O Q R T	TP2
M3	4	RH	Q T T R Q O M	TP2
