melody_number	melody_part	hand	key_sequence	session
M1	1	BH	AEHT Q Q CFHR O O AEHM Q T	TP4
M1	2	BH	AEHT Q Q CFHR O O AEHM Q M	TP4
M1	1	RH	T Q Q R O O M Q T	TP4
M1	2	RH	T Q Q R O O M Q M	TP4
M2	1	BH	AM HO EQ HM AM HO EQ HM AQ HR ET H AQ HR ET H	TP4
M2	2	BH	AT V HT R EQ HM AT V HT R EQ HM AM H AM AM H AM	TP4
M2	1	RH	M O Q M M O Q M Q R T Q R T	TP4
M2	2	RH	T V T R Q M T V T R Q M M H M M H M	TP4
M3	1	BH	AHY T AHT R AHQ R AHT AHY T AHT R AHQ O AHM	TP4
M3	2	BH	AHM O AHQ O AHQ R AHT AHQ T AHT R AHQ O AHM	TP4
M3	1	RH	Y T T R Q R T Y T T R Q O M	TP4
M3	2	RH	M O Q O Q R T Q T T R Q O M	TP4
M4	1	BH	FJM R V T R Q R FJM R V T V Q R	TP4
M4	2	BH	FJM R V Y EHMW V T EHM Q T W FJM T R	TP4
M4	1	RH	M R V T R Q R M R V T R Q R	TP4
M4	2	RH	M R V Y W V T M Q T W V T R	TP4
M7	1	BH	Q T X X JS M QV Q PX L V T S Q M LX L	TP4
M7	2	BH	Q T X X JS M QV Q PX L V T S T M LQ H E	TP4
M7	1	RH	Q T X X S V X V T S Q X	TP4
M7	2	RH	Q T X X S V X V T S T Q	TP4
M8	1	BH	HW V T FV O O DT H J K M CO	TP4
M8	2	BH	LOR T R HP O MP JR P FO M KO DT FJM K	TP4
M8	1	RH	W V T V O O T H J K M O	TP4
M8	2	RH	R T R P O P R P O M O T M K	TP4
M6	1	BH	HQ LT S HQT LX Y EQX L HQ L CO LS Q HOS LT V COT L HO L	TP4
M6	2	BH	COX L GO LS CO L GO L COX J GO JV CO J GO J	TP4
M6	1	RH	T S T X Y X S Q S T V T	TP4
M6	2	RH	X S X V	TP4
M5	1	BH	FV JV EV J CV JV AV J FV JY ER JT CV J A J	TP4
M5	4	BH	AW KW EW KW FW JV AV JV AY HY EW HT FR	TP4
M5	1	RH	V V V V V V V Y R T V	TP4
M5	4	RH	W W W W W V V V Y Y W T R	TP4
