onset	duration	sample	trial_type	response_time	stim_file	value
790.9500000000	n/a	n/a	Standard Tone	n/a	n/a	S201
793.0560000000	n/a	n/a	Target Tone	n/a	n/a	S200
794.9680000000	n/a	n/a	Standard Tone	n/a	n/a	S201
797.0640000000	n/a	n/a	Standard Tone	n/a	n/a	S201
799.2660000000	n/a	n/a	Target Tone	n/a	n/a	S200
801.1660000000	n/a	n/a	Standard Tone	n/a	n/a	S201
803.2140000000	n/a	n/a	Standard Tone	n/a	n/a	S201
805.1940000000	n/a	n/a	Novel Tone	n/a	n/a	S202
807.1820000000	n/a	n/a	Standard Tone	n/a	n/a	S201
809.0660000000	n/a	n/a	Standard Tone	n/a	n/a	S201
811.0300000000	n/a	n/a	Novel Tone	n/a	n/a	S202
813.2040000000	n/a	n/a	Standard Tone	n/a	n/a	S201
815.3960000000	n/a	n/a	Standard Tone	n/a	n/a	S201
817.2300000000	n/a	n/a	Standard Tone	n/a	n/a	S201
819.0660000000	n/a	n/a	Standard Tone	n/a	n/a	S201
821.2420000000	n/a	n/a	Target Tone	n/a	n/a	S200
823.2560000000	n/a	n/a	Standard Tone	n/a	n/a	S201
825.1420000000	n/a	n/a	Standard Tone	n/a	n/a	S201
827.3400000000	n/a	n/a	Standard Tone	n/a	n/a	S201
829.1140000000	n/a	n/a	Standard Tone	n/a	n/a	S201
831.2100000000	n/a	n/a	Standard Tone	n/a	n/a	S201
833.2480000000	n/a	n/a	Target Tone	n/a	n/a	S200
835.4160000000	n/a	n/a	Standard Tone	n/a	n/a	S201
837.4820000000	n/a	n/a	Standard Tone	n/a	n/a	S201
839.7080000000	n/a	n/a	Novel Tone	n/a	n/a	S202
841.9860000000	n/a	n/a	Standard Tone	n/a	n/a	S201
844.1440000000	n/a	n/a	Standard Tone	n/a	n/a	S201
846.0660000000	n/a	n/a	Novel Tone	n/a	n/a	S202
848.3660000000	n/a	n/a	Standard Tone	n/a	n/a	S201
850.4920000000	n/a	n/a	Target Tone	n/a	n/a	S200
852.3400000000	n/a	n/a	Standard Tone	n/a	n/a	S201
854.4100000000	n/a	n/a	Standard Tone	n/a	n/a	S201
856.6000000000	n/a	n/a	Standard Tone	n/a	n/a	S201
858.5400000000	n/a	n/a	Target Tone	n/a	n/a	S200
860.6820000000	n/a	n/a	Standard Tone	n/a	n/a	S201
862.5740000000	n/a	n/a	Standard Tone	n/a	n/a	S201
864.8200000000	n/a	n/a	Standard Tone	n/a	n/a	S201
866.9100000000	n/a	n/a	Novel Tone	n/a	n/a	S202
869.1260000000	n/a	n/a	Standard Tone	n/a	n/a	S201
871.3620000000	n/a	n/a	Novel Tone	n/a	n/a	S202
873.2160000000	n/a	n/a	Standard Tone	n/a	n/a	S201
875.4360000000	n/a	n/a	Standard Tone	n/a	n/a	S201
877.5080000000	n/a	n/a	Standard Tone	n/a	n/a	S201
879.3820000000	n/a	n/a	Target Tone	n/a	n/a	S200
881.5320000000	n/a	n/a	Standard Tone	n/a	n/a	S201
883.3240000000	n/a	n/a	Standard Tone	n/a	n/a	S201
885.1880000000	n/a	n/a	Novel Tone	n/a	n/a	S202
887.2600000000	n/a	n/a	Standard Tone	n/a	n/a	S201
889.4400000000	n/a	n/a	Standard Tone	n/a	n/a	S201
891.5500000000	n/a	n/a	Target Tone	n/a	n/a	S200
893.4580000000	n/a	n/a	Standard Tone	n/a	n/a	S201
895.6420000000	n/a	n/a	Standard Tone	n/a	n/a	S201
897.4260000000	n/a	n/a	Target Tone	n/a	n/a	S200
899.2940000000	n/a	n/a	Standard Tone	n/a	n/a	S201
901.2860000000	n/a	n/a	Standard Tone	n/a	n/a	S201
903.3060000000	n/a	n/a	Novel Tone	n/a	n/a	S202
905.4720000000	n/a	n/a	Standard Tone	n/a	n/a	S201
907.6260000000	n/a	n/a	Standard Tone	n/a	n/a	S201
909.8960000000	n/a	n/a	Novel Tone	n/a	n/a	S202
