onset	duration	Scoring1
11.0000006854534	30	7
41.0000006854534	30	7
71.0000006854534	30	7
101.000000685453	30	7
131.000000685453	30	7
161.000000685453	30	7
191.000000685453	30	7
221.000000685453	30	7
251.000000685453	30	7
281.000000685453	30	7
311.000000685453	30	7
341.000000685453	30	7
371.000000685453	30	7
401.000000685453	30	7
431.000000685453	30	7
461.000000685453	30	7
491.000000685453	30	7
521.000000685453	30	7
551.000000685453	30	7
581.000000685453	30	7
611.000000685453	30	7
641.000000685453	30	7
671.000000685453	30	7
701.000000685453	30	7
731.000000685453	30	7
761.000000685453	30	7
791.000000685453	30	7
821.000000685453	30	7
851.000000685453	30	7
881.000000685453	30	7
911.000000685453	30	7
941.000000685453	30	7
971.000000685453	30	7
1001.00000068545	30	7
1031.00000068545	30	1
1061.00000068545	30	1
1091.00000068545	30	1
1121.00000068545	30	1
1151.00000068545	30	1
1181.00000068545	30	1
1211.00000068545	30	1
1241.00000068545	30	1
1271.00000068545	30	1
1301.00000068545	30	1
1331.00000068545	30	1
1361.00000068545	30	1
1391.00000068545	30	1
1421.00000068545	30	1
1451.00000068545	30	3
1481.00000068545	30	3
1511.00000068545	30	3
1541.00000068545	30	3
1571.00000068545	30	3
1601.00000068545	30	3
1631.00000068545	30	3
1661.00000068545	30	3
1691.00000068545	30	3
1721.00000068545	30	3
1751.00000068545	30	3
1781.00000068545	30	3
1811.00000068545	30	4
1841.00000068545	30	4
1871.00000068545	30	4
1901.00000068545	30	4
1931.00000068545	30	4
1961.00000068545	30	4
1991.00000068545	30	4
2021.00000068545	30	4
2051.00000068545	30	4
2081.00000068545	30	4
2111.00000068545	30	4
2141.00000068545	30	4
2171.00000068545	30	4
2201.00000068545	30	4
2231.00000068545	30	4
2261.00000068545	30	4
2291.00000068545	30	4
2321.00000068545	30	4
2351.00000068545	30	4
2381.00000068545	30	4
2411.00000068545	30	4
2441.00000068545	30	4
2471.00000068545	30	4
2501.00000068545	30	4
2531.00000068545	30	5
2561.00000068545	30	5
2591.00000068545	30	5
2621.00000068545	30	5
2651.00000068545	30	5
2681.00000068545	30	5
2711.00000068545	30	5
2741.00000068545	30	5
2771.00000068545	30	5
2801.00000068545	30	5
2831.00000068545	30	5
2861.00000068545	30	5
2891.00000068545	30	5
2921.00000068545	30	5
2951.00000068545	30	4
2981.00000068545	30	4
3011.00000068545	30	4
3041.00000068545	30	5
3071.00000068545	30	5
3101.00000068545	30	5
3131.00000068545	30	5
3161.00000068545	30	5
3191.00000068545	30	5
3221.00000068545	30	5
3251.00000068545	30	5
3281.00000068545	30	5
3311.00000068545	30	5
3341.00000068545	30	5
3371.00000068545	30	5
3401.00000068545	30	5
3431.00000068545	30	5
3461.00000068545	30	5
3491.00000068545	30	5
3521.00000068545	30	5
3551.00000068545	30	5
3581.00000068545	30	5
3611.00000068545	30	5
3641.00000068545	30	5
3671.00000068545	30	5
3701.00000068545	30	5
3731.00000068545	30	5
3761.00000068545	30	5
3791.00000068545	30	5
3821.00000068545	30	5
3851.00000068545	30	5
3881.00000068545	30	5
3911.00000068545	30	5
3941.00000068545	30	5
3971.00000068545	30	5
4001.00000068545	30	5
4031.00000068545	30	5
4061.00000068545	30	5
4091.00000068545	30	5
4121.00000068545	30	5
4151.00000068545	30	5
4181.00000068545	30	5
4211.00000068545	30	5
4241.00000068545	30	5
4271.00000068545	30	5
4301.00000068545	30	3
4331.00000068545	30	4
4361.00000068545	30	4
4391.00000068545	30	4
4421.00000068545	30	4
4451.00000068545	30	4
4481.00000068545	30	4
4511.00000068545	30	4
4541.00000068545	30	4
4571.00000068545	30	4
4601.00000068545	30	4
4631.00000068545	30	4
4661.00000068545	30	4
4691.00000068545	30	4
4721.00000068545	30	4
4751.00000068545	30	4
4781.00000068545	30	2
4811.00000068545	30	2
4841.00000068545	30	2
4871.00000068545	30	2
4901.00000068545	30	2
4931.00000068545	30	2
4961.00000068545	30	2
4991.00000068545	30	2
5021.00000068545	30	2
5051.00000068545	30	2
5081.00000068545	30	2
5111.00000068545	30	2
5141.00000068545	30	2
5171.00000068545	30	2
5201.00000068545	30	2
5231.00000068545	30	2
5261.00000068545	30	2
5291.00000068545	30	2
5321.00000068545	30	2
5351.00000068545	30	2
5381.00000068545	30	2
5411.00000068545	30	2
5441.00000068545	30	2
5471.00000068545	30	2
5501.00000068545	30	2
5531.00000068545	30	2
5561.00000068545	30	2
5591.00000068545	30	2
5621.00000068545	30	2
5651.00000068545	30	2
5681.00000068545	30	2
5711.00000068545	30	2
5741.00000068545	30	2
5771.00000068545	30	2
5801.00000068545	30	2
5831.00000068545	30	2
5861.00000068545	30	4
5891.00000068545	30	3
5921.00000068545	30	3
5951.00000068545	30	3
5981.00000068545	30	2
6011.00000068545	30	2
6041.00000068545	30	2
6071.00000068545	30	2
6101.00000068545	30	1
6131.00000068545	30	3
6161.00000068545	30	3
6191.00000068545	30	3
6221.00000068545	30	4
6251.00000068545	30	2
6281.00000068545	30	2
6311.00000068545	30	2
6341.00000068545	30	1
6371.00000068545	30	2
6401.00000068545	30	2
6431.00000068545	30	2
6461.00000068545	30	3
6491.00000068545	30	2
6521.00000068545	30	2
6551.00000068545	30	2
6581.00000068545	30	2
6611.00000068545	30	2
6641.00000068545	30	2
6671.00000068545	30	2
6701.00000068545	30	2
6731.00000068545	30	2
6761.00000068545	30	2
6791.00000068545	30	2
6821.00000068545	30	2
6851.00000068545	30	2
6881.00000068545	30	2
6911.00000068545	30	2
6941.00000068545	30	4
