onset	duration	trial_type	response
0.0229	10.0226	p_startup	other
10.0621	0.4226	cross	other
10.5681	1.5226	2_letters_different	other
12.0906	3.0227	cross	other
16.6133	1.5226	response	miss
18.1359	2.0226	blank2	other
20.1752	0.4226	cross	other
20.6978	1.5226	4_letters_different	other
22.2204	3.0227	cross	other
26.743	1.5226	response	miss
28.2656	1.5226	blank2	other
29.8048	0.4226	cross	other
30.3275	1.5226	2_letters_different	other
31.85	3.0227	cross	other
36.3726	1.5226	response	miss
37.8952	2.0226	blank2	other
39.9345	0.4226	cross	other
40.4404	1.5226	4_letters_different	other
41.963	3.0227	cross	other
46.4856	1.5226	response	miss
48.0082	3.0226	blank2	other
51.0475	0.4226	cross	other
51.5701	1.5226	6_letters_same	other
53.0927	3.0227	cross	other
57.6153	1.5226	response	miss
59.1379	4.0226	blank2	other
63.1771	0.4226	cross	other
63.6998	1.5226	4_letters_different	other
65.2224	3.0227	cross	other
69.7449	1.5226	response	miss
71.2675	4.0226	blank2	other
75.3068	0.4226	cross	other
75.8294	1.5226	2_letters_different	other
77.352	3.0227	cross	other
81.8746	1.5226	response	miss
83.3972	3.5226	blank2	other
86.9365	0.4226	cross	other
87.4591	1.5226	4_letters_same	other
88.9817	3.0227	cross	other
93.5043	1.5226	response	miss
95.0269	3.0226	blank2	other
98.0662	0.4226	cross	other
98.5888	1.5226	2_letters_different	other
100.1114	3.0227	cross	other
104.634	1.5226	response	miss
106.1566	1.0226	blank2	other
107.1958	0.4226	cross	other
107.7185	1.5226	2_letters_same	other
109.241	3.0227	cross	other
113.7636	1.5226	response	miss
115.2862	2.0226	blank2	other
117.3255	0.4226	cross	other
117.8481	1.5144	4_letters_same	other
119.3625	3.0227	cross	other
123.8851	1.5226	response	miss
125.4077	2.0226	blank2	other
127.4469	0.4226	cross	other
127.9696	1.5226	2_letters_same	other
129.4921	3.0227	cross	other
134.0147	1.5226	response	miss
135.5373	1.5226	blank2	other
137.0766	0.4226	cross	other
137.5992	1.5226	6_letters_same	other
139.1218	3.0227	cross	other
143.6444	1.5226	response	miss
145.167	5.0226	blank2	other
150.2063	0.4226	cross	other
150.7289	1.5226	2_letters_same	other
152.2516	3.0227	cross	other
156.7742	1.5226	response	miss
158.2968	3.0226	blank2	other
161.336	0.4226	cross	other
161.8586	1.5226	6_letters_different	other
163.3812	3.0226	cross	other
167.9038	1.5226	response	miss
169.4264	2.0226	blank2	other
171.4657	0.4227	cross	other
171.9884	1.5226	4_letters_same	other
173.5109	3.0227	cross	other
178.0335	1.5226	response	miss
179.5561	3.0226	blank2	other
182.5954	0.4226	cross	other
183.118	1.5226	6_letters_same	other
184.6406	3.0227	cross	other
189.1632	1.5226	response	miss
190.6858	1.5226	blank2	other
192.2251	0.4226	cross	other
192.7477	1.5226	6_letters_different	other
194.2703	3.0227	cross	other
198.7929	1.5226	response	miss
200.3154	1.5226	blank2	other
201.8547	0.4226	cross	other
202.3606	1.5226	2_letters_same	other
203.8832	3.0227	cross	other
208.4058	1.5226	response	miss
209.9284	2.0226	blank2	other
211.9677	0.4226	cross	other
212.4903	1.5226	6_letters_same	other
214.0129	3.0227	cross	other
218.5355	1.5226	response	miss
220.0581	1.5226	blank2	other
221.5973	0.4226	cross	other
222.12	1.5226	4_letters_different	other
223.6426	3.0227	cross	other
228.1652	1.5226	response	miss
229.6878	1.5226	blank2	other
231.227	0.4226	cross	other
231.7497	1.5226	6_letters_different	other
233.2723	3.0227	cross	other
237.7949	1.5226	response	miss
239.3175	1.0226	blank2	other
240.3567	0.4226	cross	other
240.8793	1.5226	6_letters_same	other
242.4019	3.0227	cross	other
246.9245	1.5226	response	miss
248.4471	3.0226	blank2	other
251.4864	0.4226	cross	other
252.009	1.5226	6_letters_different	other
253.5316	3.0227	cross	other
258.0541	1.5226	response	miss
259.5767	2.0226	blank2	other
261.616	0.4226	cross	other
262.1386	1.5226	4_letters_different	other
263.6612	3.0227	cross	other
268.1838	1.5226	response	miss
269.7064	2.0226	blank2	other
271.7456	0.4226	cross	other
272.2683	1.5226	2_letters_same	other
273.7909	3.0227	cross	other
278.3136	1.5226	response	miss
279.8362	4.0226	blank2	other
283.8754	0.4226	cross	other
284.398	1.5226	6_letters_same	other
285.9206	3.0227	cross	other
290.4432	1.5226	response	miss
291.9658	3.0226	blank2	other
295.005	0.4226	cross	other
295.5276	1.5226	4_letters_different	other
297.0502	3.0227	cross	other
301.5728	1.5226	response	miss
303.0954	4.0226	blank2	other
307.1346	0.4226	cross	other
307.6406	1.5226	2_letters_same	other
309.1632	3.0228	cross	other
313.6858	1.5226	response	miss
315.2083	1.5226	blank2	other
