onset	duration	trial_type	response
0.0228	10.0226	p_startup	other
10.0621	0.4226	cross	other
10.568	1.5226	6_letters_same	other
12.0906	3.0227	cross	other
16.6132	1.5226	response	hit
18.1358	1.5226	blank2	other
19.6751	0.4226	cross	other
20.1811	1.5226	4_letters_different	other
21.7037	3.0227	cross	other
26.2263	1.5226	response	miss
27.7489	2.5226	blank2	other
30.2882	0.4226	cross	other
30.8108	1.5226	6_letters_different	other
32.3334	3.0227	cross	other
36.856	1.5226	response	hit
38.3786	1.5226	blank2	other
39.9179	0.4226	cross	other
40.4405	1.5226	2_letters_different	other
41.9631	3.0228	cross	other
46.4857	1.5226	response	hit
48.0083	2.0226	blank2	other
50.0476	0.4226	cross	other
50.5702	1.5226	6_letters_different	other
52.0928	3.0227	cross	other
56.6154	1.5226	response	hit
58.138	4.5226	blank2	other
62.6773	0.4226	cross	other
63.1999	1.5226	2_letters_different	other
64.7225	3.0227	cross	other
69.2451	1.5226	response	hit
70.7677	3.5226	blank2	other
74.307	0.4226	cross	other
74.8296	1.5226	6_letters_same	other
76.3522	3.0227	cross	other
80.8749	1.5226	response	hit
82.3974	4.5226	blank2	other
86.9367	0.4226	cross	other
87.4594	1.5226	4_letters_same	other
88.9819	3.0228	cross	other
93.5045	1.5226	response	hit
95.0271	1.0226	blank2	other
96.0664	0.4226	cross	other
96.5891	1.5226	2_letters_different	other
98.1116	3.0227	cross	other
102.6342	1.5226	response	hit
104.1568	2.0226	blank2	other
106.1961	0.4226	cross	other
106.7187	1.5226	4_letters_same	other
108.2413	3.0227	cross	other
112.7639	1.5226	response	hit
114.2865	3.0226	blank2	other
117.3257	0.4226	cross	other
117.8317	1.5226	4_letters_different	other
119.3543	3.0227	cross	other
123.8769	1.5226	response	hit
125.3995	4.0226	blank2	other
129.4388	0.4226	cross	other
129.9615	1.5226	2_letters_same	other
131.4841	3.0227	cross	other
136.0067	1.5226	response	hit
137.5293	1.0226	blank2	other
138.5686	0.4226	cross	other
139.0913	1.5226	6_letters_different	other
140.6139	3.0227	cross	other
145.1364	1.5226	response	hit
146.6591	3.0226	blank2	other
149.6983	0.4226	cross	other
150.221	1.5226	6_letters_same	other
151.7436	3.0227	cross	other
156.2662	1.5226	response	hit
157.7888	1.5226	blank2	other
159.328	0.4226	cross	other
159.8507	1.5226	6_letters_same	other
161.3733	3.0227	cross	other
165.8959	1.5226	response	hit
167.4185	2.0226	blank2	other
169.4577	0.4226	cross	other
169.9804	1.5226	2_letters_different	other
171.5029	3.0227	cross	other
176.0256	1.5226	response	hit
177.5482	4.0226	blank2	other
181.5874	0.4226	cross	other
182.11	1.5226	2_letters_different	other
