onset	duration	trial_type	value	sample
69.917	0.001	Stimulus/S 10	11	69917
70.58	0.001	Stimulus/S101	19	70580
70.855	0.001	Stimulus/S222	21	70855
70.857	0.001	Stimulus/S 11	12	70857
71.582	0.001	Stimulus/S101	19	71582
71.883	0.001	Stimulus/S222	21	71883
71.886	0.001	Stimulus/S  4	5	71886
72.585	0.001	Stimulus/S101	19	72585
72.923	0.001	Stimulus/S222	21	72923
72.925	0.001	Stimulus/S  7	8	72925
73.587	0.001	Stimulus/S101	19	73587
73.842	0.001	Stimulus/S222	21	73842
73.844	0.001	Stimulus/S200	20	73844
74.338	0.001	Stimulus/S253	22	74338
75.19	0.001	Stimulus/S101	19	75190
75.527	0.001	Stimulus/S222	21	75527
75.529	0.001	Stimulus/S  5	6	75529
76.193	0.001	Stimulus/S101	19	76193
76.461	0.001	Stimulus/S222	21	76461
76.463	0.001	Stimulus/S  8	9	76463
77.195	0.001	Stimulus/S101	19	77195
77.538	0.001	Stimulus/S222	21	77538
77.54	0.001	Stimulus/S 13	14	77540
78.198	0.001	Stimulus/S101	19	78198
78.487	0.001	Stimulus/S222	21	78487
78.489	0.001	Stimulus/S  1	2	78489
79.2	0.001	Stimulus/S101	19	79200
79.525	0.001	Stimulus/S222	21	79525
79.527	0.001	Stimulus/S 15	16	79527
80.203	0.001	Stimulus/S101	19	80203
80.501	0.001	Stimulus/S222	21	80501
80.503	0.001	Stimulus/S200	20	80503
81.204	0.001	Stimulus/S253	22	81204
81.806	0.001	Stimulus/S101	19	81806
82.143	0.001	Stimulus/S222	21	82143
82.145	0.001	Stimulus/S  9	10	82145
82.808	0.001	Stimulus/S101	19	82808
83.143	0.001	Stimulus/S222	21	83143
83.145	0.001	Stimulus/S 12	13	83145
83.811	0.001	Stimulus/S101	19	83811
84.07	0.001	Stimulus/S222	21	84070
84.072	0.001	Stimulus/S  2	3	84072
84.813	0.001	Stimulus/S101	19	84813
85.071	0.001	Stimulus/S222	21	85071
85.073	0.001	Stimulus/S 16	17	85073
85.816	0.001	Stimulus/S101	19	85816
86.152	0.001	Stimulus/S222	21	86152
86.154	0.001	Stimulus/S  7	8	86154
86.819	0.001	Stimulus/S101	19	86819
87.13	0.001	Stimulus/S222	21	87130
87.132	0.001	Stimulus/S 14	15	87132
87.821	0.001	Stimulus/S101	19	87821
88.071	0.001	Stimulus/S222	21	88071
88.073	0.001	Stimulus/S200	20	88073
88.582	0.001	Stimulus/S253	22	88582
89.424	0.001	Stimulus/S101	19	89424
89.699	0.001	Stimulus/S222	21	89699
89.701	0.001	Stimulus/S  1	2	89701
90.427	0.001	Stimulus/S101	19	90427
90.696	0.001	Stimulus/S222	21	90696
90.698	0.001	Stimulus/S  6	7	90698
91.429	0.001	Stimulus/S101	19	91429
91.695	0.001	Stimulus/S222	21	91695
91.698	0.001	Stimulus/S  5	6	91698
92.432	0.001	Stimulus/S101	19	92432
92.716	0.001	Stimulus/S222	21	92716
92.718	0.001	Stimulus/S  3	4	92718
93.434	0.001	Stimulus/S101	19	93434
93.74	0.001	Stimulus/S222	21	93740
93.742	0.001	Stimulus/S 10	11	93742
94.437	0.001	Stimulus/S101	19	94437
94.709	0.001	Stimulus/S222	21	94709
94.711	0.001	Stimulus/S200	20	94711
95.175	0.001	Stimulus/S253	22	95175
96.04	0.001	Stimulus/S101	19	96040
96.358	0.001	Stimulus/S222	21	96358
96.36	0.001	Stimulus/S  4	5	96360
97.042	0.001	Stimulus/S101	19	97042
97.353	0.001	Stimulus/S222	21	97353
97.355	0.001	Stimulus/S 11	12	97355
98.045	0.001	Stimulus/S101	19	98045
98.338	0.001	Stimulus/S222	21	98338
98.34	0.001	Stimulus/S 13	14	98340
99.047	0.001	Stimulus/S101	19	99047
99.387	0.001	Stimulus/S222	21	99387
99.389	0.001	Stimulus/S 12	13	99389
100.05	0.001	Stimulus/S101	19	100050
100.306	0.001	Stimulus/S222	21	100306
100.308	0.001	Stimulus/S200	20	100308
100.791	0.001	Stimulus/S253	22	100791
101.653	0.001	Stimulus/S101	19	101653
101.957	0.001	Stimulus/S222	21	101957
101.959	0.001	Stimulus/S  9	10	101959
102.655	0.001	Stimulus/S101	19	102655
102.985	0.001	Stimulus/S222	21	102985
102.988	0.001	Stimulus/S  8	9	102988
103.658	0.001	Stimulus/S101	19	103658
103.959	0.001	Stimulus/S222	21	103959
103.962	0.001	Stimulus/S 15	16	103962
104.66	0.001	Stimulus/S101	19	104660
104.99	0.001	Stimulus/S222	21	104990
104.992	0.001	Stimulus/S  2	3	104992
105.663	0.001	Stimulus/S101	19	105663
105.929	0.001	Stimulus/S222	21	105929
105.932	0.001	Stimulus/S200	20	105932
106.825	0.001	Stimulus/S253	22	106825
107.266	0.001	Stimulus/S101	19	107266
107.514	0.001	Stimulus/S222	21	107514
107.516	0.001	Stimulus/S 16	17	107516
108.268	0.001	Stimulus/S101	19	108268
108.585	0.001	Stimulus/S222	21	108585
108.587	0.001	Stimulus/S  6	7	108587
109.271	0.001	Stimulus/S101	19	109271
109.612	0.001	Stimulus/S222	21	109612
109.614	0.001	Stimulus/S  9	10	109614
110.273	0.001	Stimulus/S101	19	110273
110.594	0.001	Stimulus/S222	21	110594
110.596	0.001	Stimulus/S 15	16	110596
111.276	0.001	Stimulus/S101	19	111276
111.597	0.001	Stimulus/S222	21	111597
111.599	0.001	Stimulus/S200	20	111599
111.995	0.001	Stimulus/S253	22	111995
112.879	0.001	Stimulus/S101	19	112879
113.153	0.001	Stimulus/S222	21	113153
113.155	0.001	Stimulus/S  3	4	113155
113.881	0.001	Stimulus/S101	19	113881
114.224	0.001	Stimulus/S222	21	114224
114.226	0.001	Stimulus/S 14	15	114226
114.884	0.001	Stimulus/S101	19	114884
115.153	0.001	Stimulus/S222	21	115153
115.155	0.001	Stimulus/S 13	14	115155
115.886	0.001	Stimulus/S101	19	115886
116.186	0.001	Stimulus/S222	21	116186
116.188	0.001	Stimulus/S  8	9	116188
116.889	0.001	Stimulus/S101	19	116889
117.155	0.001	Stimulus/S222	21	117155
117.157	0.001	Stimulus/S200	20	117157
117.773	0.001	Stimulus/S253	22	117773
118.492	0.001	Stimulus/S101	19	118492
118.817	0.001	Stimulus/S222	21	118817
118.819	0.001	Stimulus/S 10	11	118819
119.494	0.001	Stimulus/S101	19	119494
119.822	0.001	Stimulus/S222	21	119822
119.824	0.001	Stimulus/S  5	6	119824
120.497	0.001	Stimulus/S101	19	120497
120.833	0.001	Stimulus/S222	21	120833
120.835	0.001	Stimulus/S  4	5	120835
121.499	0.001	Stimulus/S101	19	121499
121.799	0.001	Stimulus/S222	21	121799
121.801	0.001	Stimulus/S  1	2	121801
122.502	0.001	Stimulus/S101	19	122502
122.83	0.001	Stimulus/S222	21	122830
122.832	0.001	Stimulus/S 12	13	122832
123.504	0.001	Stimulus/S101	19	123504
123.821	0.001	Stimulus/S222	21	123821
123.823	0.001	Stimulus/S200	20	123823
124.357	0.001	Stimulus/S253	22	124357
125.107	0.001	Stimulus/S101	19	125107
125.378	0.001	Stimulus/S222	21	125378
125.38	0.001	Stimulus/S 11	12	125380
126.11	0.001	Stimulus/S101	19	126110
126.373	0.001	Stimulus/S222	21	126373
126.375	0.001	Stimulus/S  7	8	126375
127.112	0.001	Stimulus/S101	19	127112
127.382	0.001	Stimulus/S222	21	127382
127.384	0.001	Stimulus/S  6	7	127384
128.115	0.001	Stimulus/S101	19	128115
128.388	0.001	Stimulus/S222	21	128388
128.39	0.001	Stimulus/S  2	3	128390
129.117	0.001	Stimulus/S101	19	129117
129.458	0.001	Stimulus/S222	21	129458
129.46	0.001	Stimulus/S200	20	129460
