onset	duration	modality	hand_ori	finger	touch_side	mov_num	target	run_num	block_num	trial_num_per_run	trial_num_per_block
67.4136	2.8023	1	1	2	1	9	1	1	1	1	1
70.0391	2.8023	1	1	2	1	8	1	1	1	2	2
72.6641	2.8023	1	1	1	2	11	1	1	1	3	3
75.2896	2.8023	1	1	2	1	19	2	1	1	4	4
77.915	2.8023	1	1	2	1	9	1	1	1	5	5
80.5405	2.8023	1	1	1	2	12	1	1	1	6	6
83.1655	2.8023	1	1	1	2	12	1	1	1	7	7
85.791	2.8023	1	1	1	2	10	1	1	1	8	8
88.416	2.8023	1	1	2	1	9	1	1	1	9	9
91.0415	2.8023	1	1	2	1	20	2	1	1	10	10
93.667	2.8023	1	1	1	2	11	1	1	1	11	11
95.5	2.8023	2	1	2	1	0	1	1	1	12	12
98.1255	2.8023	2	1	1	2	0	1	1	1	13	13
100.751	2.8023	2	1	2	1	0	1	1	1	14	14
103.376	2.8023	2	1	1	2	0	1	1	1	15	15
106.002	2.8023	2	1	1	2	0	1	1	1	16	16
108.627	2.8023	2	1	2	1	0	1	1	1	17	17
111.252	2.8023	2	1	1	2	0	1	1	1	18	18
113.8774	2.8023	2	1	1	2	0	1	1	1	19	19
116.5024	2.8023	2	1	1	2	0	2	1	1	20	20
119.1279	2.8023	2	1	1	2	0	1	1	1	21	21
122.5449	2.8023	1	1	1	2	10	1	1	1	22	22
125.1704	2.8023	1	1	1	2	10	1	1	1	23	23
127.7959	2.8023	1	1	1	2	11	1	1	1	24	24
130.4209	2.8023	1	1	2	1	9	1	1	1	25	25
133.0464	2.8023	1	1	1	2	10	1	1	1	26	26
135.6714	2.8023	1	1	1	2	12	1	1	1	27	27
138.2969	2.8023	1	1	1	2	10	1	1	1	28	28
140.9224	2.8023	1	1	2	1	9	1	1	1	29	29
143.5474	2.8023	1	1	2	1	8	1	1	1	30	30
145.3809	2.8023	2	1	1	2	0	1	1	1	31	31
148.0063	2.8023	2	1	1	2	0	1	1	1	32	32
150.6318	2.8023	2	1	2	1	0	1	1	1	33	33
153.2568	2.8023	2	1	2	1	0	1	1	1	34	34
155.8823	2.8023	2	1	1	2	0	1	1	1	35	35
158.5078	2.8023	2	1	1	2	0	1	1	1	36	36
161.1328	2.8023	2	1	2	1	0	2	1	1	37	37
163.7583	2.8023	2	1	2	1	0	1	1	1	38	38
