onset	duration	trial_type	cue_onset	cue_duration	cue_mean	cue_std	cue_sk	stim_onset	stim_duration	stim_level	stim_value	rating_onset	RT	rating
8.66499513749295	24	vision	8.68181012601781	1.5	0.3	0.05	1	15.6703105360721	2	2	0.6	22.6586050631631	1.43453590340869	82.6666666666667
32.6852973127279	22.5	vision	32.6994886929497	1.5	0.7	0.125	0	39.1876328508333	2	2	0.6	44.191326304157	2.06799393796246	82.3333333333333
55.2039606657781	23	vision	55.2160736232472	1.5	0.3	0.125	0	62.2045491531862	2	1	0.5	69.2097242174641	2.05150526261059	54
78.2228057991815	23	vision	78.2330092076918	1.5	0.7	0.125	1	85.2214082312712	2	1	0.5	93.2273841243041	2.76869888496731	53.6666666666667
101.241263735767	21	vision	101.24998584433	1.5	0.7	0.125	1	107.738000003603	2	2	0.6	114.74316418283	3.31915125213709	73.6666666666667
122.259977315553	19	vision	122.265305776196	1.5	0.3	0.125	1	126.268334308403	2	1	0.5	132.7565235615	2.68523386842935	46
141.311458009048	20.5	vision	141.329439564048	1.5	0.3	0.05	1	146.816805596281	2	1	0.5	151.820516154687	2.25160515628158	39.6666666666667
161.830462219699	19.5	vision	161.844429056862	1.5	0.3	0.125	1	165.830776403818	2	2	0.6	173.836686364542	3.05221061392149	63.3333333333333
181.349147653851	17.5	vision	181.358894201217	1.5	0.7	0.125	0	186.345900871267	2	1	0.5	191.349574109499	2.76869826296388	37
198.867831844	19.5	vision	198.871544341062	1.5	0.7	0.05	1	202.874733972025	2	1	0.5	210.863948130427	3.9528894990035	57.3333333333333
218.386265366971	24.5	vision	218.402824712299	1.5	0.3	0.125	0	225.39129060119	2	2	0.6	231.879120336602	2.03515995893395	67.3333333333333
242.90519960229	19.5	vision	242.920885966523	1.5	0.7	0.05	1	249.909372381513	2	2	0.6	254.913044686738	3.05208372532434	73.3333333333333
264.936925483118	19	pain	264.953764418755	1.5	0.3	0.05	1	270.428953458322	2	1	47	275.444782230119	2.58521486624522	78
283.956020972695	19.5	pain	283.967606782691	1.5	0.3	0.125	0	289.948095131615	2	1	47	294.959120485881	2.86882735967083	64
303.474573920226	19	pain	303.482105826206	1.5	0.7	0.125	0	307.466602672936	2	1	47	314.973901141217	2.33492431313061	65.3333333333333
322.493080062039	18.5	pain	322.512796383173	1.5	0.3	0.125	0	327.485121876809	2	2	48	333.487425195159	2.41855260542798	71
341.011108039107	25	pain	341.026402541502	1.5	0.3	0.125	1	347.503156229406	2	2	48	355.020009595512	2.88546998073798	73.6666666666667
366.02966145314	20	pain	366.044801076809	1.5	0.7	0.125	0	370.021689272846	2	2	48	376.035482851097	2.78535612310588	43.3333333333333
386.04788707164	20.5	pain	386.059519842853	1.5	0.3	0.125	1	390.039904628295	2	1	47	397.551301784802	2.9855658002889	43.6666666666667
406.567153767519	21.5	pain	406.574558784901	1.5	0.3	0.05	1	412.559214242374	2	2	48	420.568261627363	2.81860871009121	67.3333333333333
428.085673437894	18.5	pain	428.090253007023	1.5	0.7	0.05	1	433.077688506539	2	2	48	439.081870584701	2.46849353070502	79.3333333333333
446.603726606081	22.5	pain	446.620776400709	1.5	0.7	0.05	1	453.595768731851	2	1	47	460.097139512327	2.81895205570618	47
469.122389959131	22	pain	469.137420110284	1.5	0.7	0.125	1	475.114426797878	2	2	48	483.130956566965	2.66862794553163	72
491.140953947215	21.5	pain	491.153566062025	1.5	0.7	0.125	1	496.633020797603	2	1	47	504.646770524647	1.96814101055134	62
