onset	duration	trial_type	stim_level	stim_value
7.1711211642687	2	checkerboard	3	0.48
12.1914774537581	2	checkerboard	1	0.03
17.2118558243528	2	checkerboard	4	0.96
22.2155268855786	2	checkerboard	3	0.48
27.2358816200576	2	checkerboard	3	0.48
32.2563025978525	2	checkerboard	3	0.48
37.2563025978525	2	rest	n/a	n/a
42.2970170428453	2	checkerboard	2	0.12
47.3173767533517	2	checkerboard	1	0.03
52.3376832826107	2	checkerboard	2	0.12
57.34123616328	2	checkerboard	2	0.12
62.3617715896107	2	checkerboard	4	0.96
67.3821434291749	2	checkerboard	4	0.96
72.4024689295256	2	checkerboard	4	0.96
77.4024689295256	2	rest	n/a	n/a
82.4432160296637	2	checkerboard	1	0.03
87.4467707763397	2	checkerboard	2	0.12
92.4467707763397	2	rest	n/a	n/a
97.4467707763397	2	rest	n/a	n/a
102.524675086788	2	checkerboard	1	0.03
107.54501644821	2	checkerboard	4	0.96
112.565405703856	2	checkerboard	2	0.12
117.585762926356	2	checkerboard	4	0.96
122.606079718658	2	checkerboard	3	0.48
127.609638819355	2	checkerboard	3	0.48
132.630137858519	2	checkerboard	2	0.12
137.650380632476	2	checkerboard	4	0.96
142.650380632476	2	rest	n/a	n/a
147.691193664927	2	checkerboard	2	0.12
152.711561772478	2	checkerboard	2	0.12
157.715063648902	2	checkerboard	1	0.03
162.735675270596	2	checkerboard	3	0.48
167.755956608729	2	checkerboard	3	0.48
172.776339955351	2	checkerboard	4	0.96
177.779759727397	2	checkerboard	3	0.48
182.800364196046	2	checkerboard	4	0.96
187.820758738722	2	checkerboard	1	0.03
192.841121248239	2	checkerboard	2	0.12
197.841121248239	2	rest	n/a	n/a
202.841121248239	2	rest	n/a	n/a
207.841121248239	2	rest	n/a	n/a
212.841121248239	2	rest	n/a	n/a
217.992962112527	2	checkerboard	2	0.12
222.996557289393	2	checkerboard	3	0.48
228.016942813018	2	checkerboard	4	0.96
233.037247787273	2	checkerboard	1	0.03
238.074404064573	2	checkerboard	4	0.96
243.094753201025	2	checkerboard	1	0.03
248.115105447498	2	checkerboard	1	0.03
253.135516162249	2	checkerboard	4	0.96
258.155831088545	2	checkerboard	2	0.12
263.176190799051	2	checkerboard	1	0.03
268.196528739456	2	checkerboard	3	0.48
273.216683188999	2	checkerboard	1	0.03
278.216683188999	2	rest	n/a	n/a
283.216683188999	2	rest	n/a	n/a
288.294575681393	2	checkerboard	1	0.03
293.294575681393	2	rest	n/a	n/a
298.352094468217	2	checkerboard	2	0.12
303.372446403686	2	checkerboard	3	0.48
