onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
29.112	n/a	14556	seqLearning_start	91	n/a	n/a	8
35.386	n/a	17693	learningBlock_1	31	n/a	n/a	8
35.408	n/a	17704	dot_no1_ON	11	n/a	n/a	8
35.998	n/a	17999	dot_no1_OFF	21	n/a	n/a	8
37.318	n/a	18659	dot_no6_ON	16	n/a	n/a	8
37.898	n/a	18949	dot_no6_OFF	26	n/a	n/a	8
39.218	n/a	19609	dot_no4_ON	14	n/a	n/a	8
39.798	n/a	19899	dot_no4_OFF	24	n/a	n/a	8
41.118	n/a	20559	dot_no2_ON	12	n/a	n/a	8
41.698	n/a	20849	dot_no2_OFF	22	n/a	n/a	8
43.018	n/a	21509	dot_no7_ON	17	n/a	n/a	8
43.608	n/a	21804	dot_no7_OFF	27	n/a	n/a	8
44.928	n/a	22464	dot_no3_ON	13	n/a	n/a	8
45.508	n/a	22754	dot_no3_OFF	23	n/a	n/a	8
46.828	n/a	23414	dot_no8_ON	18	n/a	n/a	8
47.408	n/a	23704	dot_no8_OFF	28	n/a	n/a	8
48.728	n/a	24364	dot_no5_ON	15	n/a	n/a	8
49.308	n/a	24654	dot_no5_OFF	25	n/a	n/a	8
50.628	n/a	25314	dot_no2_ON	12	n/a	n/a	8
51.208	n/a	25604	dot_no2_OFF	22	n/a	n/a	8
52.528	n/a	26264	dot_no7_ON	17	n/a	n/a	8
53.108	n/a	26554	dot_no7_OFF	27	1-6-5-8-3-2-7-4-7-2	1-6-4-2-7-3-8-5-2-7	8
83.42	n/a	41710	learningBlock_2	32	n/a	n/a	8
83.428	n/a	41714	dot_no1_ON	11	n/a	n/a	8
84.008	n/a	42004	dot_no1_OFF	21	n/a	n/a	8
85.328	n/a	42664	dot_no6_ON	16	n/a	n/a	8
85.908	n/a	42954	dot_no6_OFF	26	n/a	n/a	8
87.228	n/a	43614	dot_no4_ON	14	n/a	n/a	8
87.808	n/a	43904	dot_no4_OFF	24	n/a	n/a	8
89.13	n/a	44565	dot_no2_ON	12	n/a	n/a	8
89.708	n/a	44854	dot_no2_OFF	22	n/a	n/a	8
91.028	n/a	45514	dot_no7_ON	17	n/a	n/a	8
91.608	n/a	45804	dot_no7_OFF	27	n/a	n/a	8
92.928	n/a	46464	dot_no3_ON	13	n/a	n/a	8
93.508	n/a	46754	dot_no3_OFF	23	n/a	n/a	8
94.828	n/a	47414	dot_no8_ON	18	n/a	n/a	8
95.408	n/a	47704	dot_no8_OFF	28	n/a	n/a	8
96.728	n/a	48364	dot_no5_ON	15	n/a	n/a	8
97.308	n/a	48654	dot_no5_OFF	25	n/a	n/a	8
98.628	n/a	49314	dot_no2_ON	12	n/a	n/a	8
99.21	n/a	49605	dot_no2_OFF	22	n/a	n/a	8
100.528	n/a	50264	dot_no7_ON	17	n/a	n/a	8
101.108	n/a	50554	dot_no7_OFF	27	1-5-2-7-3-8-6-4-5-7	1-6-4-2-7-3-8-5-2-7	8
143.932	n/a	71966	learningBlock_3	33	n/a	n/a	8
143.94	n/a	71970	dot_no1_ON	11	n/a	n/a	8
144.52	n/a	72260	dot_no1_OFF	21	n/a	n/a	8
145.84	n/a	72920	dot_no6_ON	16	n/a	n/a	8
146.42	n/a	73210	dot_no6_OFF	26	n/a	n/a	8
147.74	n/a	73870	dot_no4_ON	14	n/a	n/a	8
148.33	n/a	74165	dot_no4_OFF	24	n/a	n/a	8
149.65	n/a	74825	dot_no2_ON	12	n/a	n/a	8
150.23	n/a	75115	dot_no2_OFF	22	n/a	n/a	8
151.55	n/a	75775	dot_no7_ON	17	n/a	n/a	8
152.14	n/a	76070	dot_no7_OFF	27	n/a	n/a	8
153.46	n/a	76730	dot_no3_ON	13	n/a	n/a	8
154.04	n/a	77020	dot_no3_OFF	23	n/a	n/a	8
155.362	n/a	77681	dot_no8_ON	18	n/a	n/a	8
155.94	n/a	77970	dot_no8_OFF	28	n/a	n/a	8
157.26	n/a	78630	dot_no5_ON	15	n/a	n/a	8
