onset	duration	nEvent	EventType	channel
4.766	0.0115	1	FR	01-02
42.8835	0.016	2	FR	01-02
66.427	0.0095	3	FR	01-02
69.2335	0.0125	4	FR	01-02
141.562	0.014	5	FR	01-02
141.6575	0.0185	6	FR	01-02
170.516	0.0635	7	FR	01-02
177.067	0.0195	8	FR	01-02
178.524	0.012	9	FR	01-02
179.7585	0.011	10	FR	01-02
190.6265	0.0145	11	FR	01-02
198.8715	0.0165	12	FR	01-02
366.7235	0.0095	13	FR	01-02
367.858	0.015	14	FR	01-02
9.8695	0.015	15	FR	02-03
66.422	0.0135	16	FR	02-03
125.563	0.0115	17	FR	02-03
170.518	0.0615	18	FR	02-03
179.755	0.0125	19	FR	02-03
199.7875	0.0115	20	FR	02-03
239.6115	0.0105	21	FR	02-03
263.9855	0.0135	22	FR	02-03
265.024	0.014	23	FR	02-03
297.3045	0.0145	24	FR	02-03
347.238	0.0105	25	FR	02-03
368.5435	0.018	26	FR	02-03
371.61	0.017	27	FR	02-03
43.527	0.0115	28	FR	03-04
298.013	0.011	29	FR	03-04
81.383	0.0165	30	FR	04-05
84.5135	0.013	31	FR	05-06
277.551	0.015	32	FR	06-07
489.713	0.0135	33	FR	06-07
140.9675	0.0105	34	FR	09-10
170.5445	0.022	35	FR	09-10
365.871	0.0125	36	FR	09-10
372.5195	0.012	37	FR	09-10
53.9245	0.017	38	FR	10-11
170.5455	0.0115	39	FR	10-11
333.297	0.02	40	FR	10-11
141.1495	0.033	41	FR	13-14
343.35	0.0135	42	FR	13-14
74.6005	0.0105	43	FR	14-15
133.085	0.0195	44	FR	14-15
141.1595	0.018	45	FR	14-15
245.198	0.011	46	FR	14-15
277.5215	0.0125	47	FR	14-15
333.2995	0.0165	48	FR	14-15
343.3525	0.0105	49	FR	14-15
349.949	0.017	50	FR	14-15
410.469	0.024	51	FR	15-16
2.8385	0.013	52	FR	17-18
10.464	0.013	53	FR	17-18
15.6635	0.017	54	FR	17-18
23.8045	0.0115	55	FR	17-18
27.485	0.012	56	FR	17-18
34.682	0.032	57	FR	17-18
50.84	0.019	58	FR	17-18
53.671	0.01	59	FR	17-18
89.4785	0.012	60	FR	17-18
89.9205	0.015	61	FR	17-18
99.211	0.02	62	FR	17-18
139.7305	0.0145	63	FR	17-18
166.9055	0.0255	64	FR	17-18
305.5	0.0095	65	FR	17-18
318.7205	0.019	66	FR	17-18
327.938	0.0145	67	FR	17-18
342.5255	0.012	68	FR	17-18
357.951	0.017	69	FR	17-18
358.7175	0.0135	70	FR	17-18
372.525	0.0155	71	FR	17-18
375.538	0.0215	72	FR	17-18
388.641	0.011	73	FR	17-18
390.16	0.014	74	FR	17-18
429.3455	0.011	75	FR	17-18
431.495	0.013	76	FR	17-18
440.852	0.017	77	FR	17-18
474.9525	0.011	78	FR	17-18
478.563	0.016	79	FR	17-18
485.3955	0.0165	80	FR	17-18
487.6205	0.0115	81	FR	17-18
2.84	0.0125	82	FR	18-19
11.0165	0.013	83	FR	18-19
15.663	0.0175	84	FR	18-19
27.485	0.0115	85	FR	18-19
31.3945	0.0115	86	FR	18-19
34.683	0.0315	87	FR	18-19
36.153	0.012	88	FR	18-19
50.84	0.0175	89	FR	18-19
53.1185	0.018	90	FR	18-19
83.998	0.022	91	FR	18-19
89.92	0.0185	92	FR	18-19
99.2035	0.024	93	FR	18-19
106.5705	0.016	94	FR	18-19
132.19	0.0245	95	FR	18-19
132.6955	0.0135	96	FR	18-19
134.4275	0.0145	97	FR	18-19
140.9935	0.016	98	FR	18-19
166.585	0.0105	99	FR	18-19
170.535	0.023	100	FR	18-19
191.2255	0.0145	101	FR	18-19
194.334	0.011	102	FR	18-19
196.877	0.0125	103	FR	18-19
205.744	0.012	104	FR	18-19
224.2595	0.016	105	FR	18-19
236.427	0.0185	106	FR	18-19
237.225	0.0175	107	FR	18-19
239.5965	0.02	108	FR	18-19
240.4265	0.025	109	FR	18-19
242.828	0.0135	110	FR	18-19
243.3745	0.013	111	FR	18-19
245.285	0.0195	112	FR	18-19
252.761	0.0145	113	FR	18-19
263.3175	0.016	114	FR	18-19
300.077	0.02	115	FR	18-19
306.4065	0.011	116	FR	18-19
322.785	0.012	117	FR	18-19
327.9385	0.012	118	FR	18-19
342.526	0.023	119	FR	18-19
357.952	0.0155	120	FR	18-19
359.605	0.014	121	FR	18-19
367.1685	0.0145	122	FR	18-19
367.874	0.0225	123	FR	18-19
368.5745	0.011	124	FR	18-19
375.5435	0.023	125	FR	18-19
387.3935	0.0195	126	FR	18-19
390.1535	0.02	127	FR	18-19
431.4955	0.013	128	FR	18-19
440.8505	0.0185	129	FR	18-19
447.819	0.0105	130	FR	18-19
485.4035	0.0165	131	FR	18-19
53.8435	0.018	132	FR	19-20
53.935	0.017	133	FR	19-20
133.9285	0.0115	134	FR	19-20
242.8215	0.021	135	FR	19-20
11.02	0.0155	136	FR	20-21
51.0795	0.0125	137	FR	20-21
80.5405	0.015	138	FR	20-21
133.928	0.012	139	FR	20-21
189.3685	0.015	140	FR	20-21
375.545	0.019	141	FR	20-21
80.5415	0.0145	142	FR	21-22
324.8745	0.016	143	FR	21-22
213.1285	0.018	144	FR	23-24
301.053	0.013	145	FR	23-24
408.3485	0.0125	146	FR	23-24
4.3845	0.018	147	FR	25-26
9.874	0.01	148	FR	25-26
42.8925	0.0165	149	FR	25-26
51.0715	0.015	150	FR	25-26
54.489	0.011	151	FR	25-26
70.0505	0.0135	152	FR	25-26
80.5235	0.0145	153	FR	25-26
136.5415	0.0275	154	FR	25-26
169.6995	0.016	155	FR	25-26
170.528	0.037	156	FR	25-26
187.402	0.012	157	FR	25-26
196.672	0.0155	158	FR	25-26
197.028	0.0125	159	FR	25-26
242.8145	0.0155	160	FR	25-26
243.3705	0.0115	161	FR	25-26
246.1925	0.0115	162	FR	25-26
359.607	0.012	163	FR	25-26
366.7465	0.0175	164	FR	25-26
421.2685	0.014	165	FR	25-26
481.989	0.0105	166	FR	25-26
11.0395	0.0115	167	FR	27-28
13.6525	0.0115	168	FR	27-28
306.3725	0.013	169	FR	27-28
11.0395	0.011	170	FR	28-29
306.3725	0.013	171	FR	28-29
80.671	0.013	172	FR	29-30
127.48	0.0135	173	FR	29-30
224.5615	0.014	174	FR	29-30
365.741	0.0215	175	FR	29-30
