onset	duration	trial_phase	trial	condition	n_grips	rewarded_response	phase
0.012467	15.679980	trialstart	1	None	10	2	Reminder
15.690080	3.872269	ITI	1	None	10	2	Reminder
19.567738	17.064070	trialstart	2	None	12	2	Reminder
36.631760	2.966363	ITI	2	None	12	2	Reminder
39.602305	14.956675	trialstart	3	None	5	2	Reminder
54.558939	5.573736	ITI	3	None	5	2	Reminder
60.142496	11.929660	trialstart	1	None	13	1	Partial_Extinction
72.070388	7.609993	ITI	1	None	13	1	Partial_Extinction
79.684239	12.061871	trialstart	2	None	13	1	Partial_Extinction
91.746077	7.468421	ITI	2	None	13	1	Partial_Extinction
99.219013	11.437309	trialstart	3	None	14	1	Partial_Extinction
110.656269	9.092982	ITI	3	None	14	1	Partial_Extinction
119.753717	11.395509	trialstart	4	None	16	1	Partial_Extinction
131.149180	8.634772	ITI	4	None	16	1	Partial_Extinction
139.789323	11.402951	trialstart	5	None	15	1	Partial_Extinction
151.192231	8.627327	ITI	5	None	15	1	Partial_Extinction
159.824224	11.427797	trialstart	6	None	10	1	Partial_Extinction
171.251975	9.102502	ITI	6	None	10	1	Partial_Extinction
180.363030	8.788821	trialstart	1	CSminus	13	0	PIT
189.196293	10.711179	ITI	1	CSminus	13	0	PIT
199.907694	8.788469	trialstart	2	CSminus	10	0	PIT
208.739103	11.711531	ITI	2	CSminus	10	0	PIT
220.450714	8.789375	trialstart	3	CSminus	14	0	PIT
229.282022	11.210625	ITI	3	CSminus	14	0	PIT
240.496995	8.802082	trialstart	4	Baseline	12	0	PIT
249.341774	10.697918	ITI	4	Baseline	12	0	PIT
260.039773	8.802149	trialstart	5	Baseline	14	0	PIT
268.884993	11.697851	ITI	5	Baseline	14	0	PIT
280.582923	8.802035	trialstart	6	Baseline	8	0	PIT
289.427925	11.197965	ITI	6	Baseline	8	0	PIT
300.630415	8.797789	trialstart	7	CSplus	16	0	PIT
309.471011	10.702211	ITI	7	CSplus	16	0	PIT
320.173298	8.797567	trialstart	8	CSplus	14	0	PIT
329.014250	11.702433	ITI	8	CSplus	14	0	PIT
340.716759	8.797932	trialstart	9	CSplus	20	0	PIT
349.557168	11.202068	ITI	9	CSplus	20	0	PIT
360.768751	8.789114	trialstart	10	CSminus	17	0	PIT
369.600298	11.710886	ITI	10	CSminus	17	0	PIT
381.311263	8.788483	trialstart	11	CSminus	16	0	PIT
390.143236	10.711517	ITI	11	CSminus	16	0	PIT
400.854833	8.787946	trialstart	12	CSminus	19	0	PIT
409.686529	11.212054	ITI	12	CSminus	19	0	PIT
420.905527	8.797936	trialstart	13	Baseline	16	0	PIT
429.746242	11.702064	ITI	13	Baseline	16	0	PIT
441.448382	8.797919	trialstart	14	Baseline	18	0	PIT
450.289135	10.702081	ITI	14	Baseline	18	0	PIT
460.991295	8.798069	trialstart	15	Baseline	18	0	PIT
469.832455	11.201931	ITI	15	Baseline	18	0	PIT
481.041547	8.790141	trialstart	16	CSplus	10	0	PIT
489.875521	11.709859	ITI	16	CSplus	10	0	PIT
501.585461	8.790469	trialstart	17	CSplus	17	0	PIT
510.418433	10.709531	ITI	17	CSplus	17	0	PIT
521.128040	8.790655	trialstart	18	CSplus	19	0	PIT
529.961679	11.209345	ITI	18	CSplus	19	0	PIT
541.184910	8.793923	trialstart	19	CSminus	13	0	PIT
550.021402	10.706077	ITI	19	CSminus	13	0	PIT
560.727558	8.794362	trialstart	20	CSminus	13	0	PIT
569.564683	11.205638	ITI	20	CSminus	13	0	PIT
580.770404	8.794930	trialstart	21	CSminus	13	0	PIT
589.607766	11.705070	ITI	21	CSminus	13	0	PIT
601.319865	8.788627	trialstart	22	Baseline	12	0	PIT
610.150669	10.711373	ITI	22	Baseline	12	0	PIT
620.862124	8.789340	trialstart	23	Baseline	15	0	PIT
629.693994	11.210660	ITI	23	Baseline	15	0	PIT
640.904733	8.790061	trialstart	24	Baseline	15	0	PIT
649.737038	11.709939	ITI	24	Baseline	15	0	PIT
661.453880	8.800243	trialstart	25	CSplus	18	0	PIT
670.296655	10.699757	ITI	25	CSplus	18	0	PIT
680.996489	8.800837	trialstart	26	CSplus	16	0	PIT
689.839967	11.199163	ITI	26	CSplus	16	0	PIT
701.039232	8.801433	trialstart	27	CSplus	14	0	PIT
709.882953	11.698567	ITI	27	CSplus	14	0	PIT
721.602219	8.797957	trialstart	28	CSminus	13	0	PIT
730.442572	11.702043	ITI	28	CSminus	13	0	PIT
742.144697	8.797174	trialstart	29	CSminus	15	0	PIT
750.985445	11.202826	ITI	29	CSminus	15	0	PIT
762.188349	8.797205	trialstart	30	CSminus	13	0	PIT
771.028566	10.702795	ITI	30	CSminus	13	0	PIT
781.738612	8.791196	trialstart	31	CSplus	14	0	PIT
790.571889	11.708804	ITI	31	CSplus	14	0	PIT
802.280771	8.790695	trialstart	32	CSplus	15	0	PIT
811.114759	11.209305	ITI	32	CSplus	15	0	PIT
822.324144	8.791218	trialstart	33	CSplus	16	0	PIT
831.157844	10.708782	ITI	33	CSplus	16	0	PIT
