onset	duration	trial_phase	trial	condition	perceived_liking	perceived_intensity
2.008309	2.420847	trialstart	1	neutral	57.627119	70.338983
8.224862	6.557588	liking	1	neutral	57.627119	70.338983
15.275191	2.423792	intensity	1	neutral	57.627119	70.338983
17.698982	2.198337	ITI	1	neutral	57.627119	70.338983
20.252434	2.427865	trialstart	2	neutral	44.067797	66.949153
26.514997	1.538194	liking	2	neutral	44.067797	66.949153
28.553135	3.194263	intensity	2	neutral	44.067797	66.949153
31.747398	6.402800	ITI	2	neutral	44.067797	66.949153
38.256897	2.428823	trialstart	3	neutral	66.101695	70.338983
44.504790	3.479651	liking	3	neutral	66.101695	70.338983
48.484384	4.591818	intensity	3	neutral	66.101695	70.338983
53.076201	3.079409	ITI	3	neutral	66.101695	70.338983
56.261435	2.428830	trialstart	4	empty	67.796610	52.542373
62.512753	2.161010	liking	4	empty	67.796610	52.542373
65.173694	3.025027	intensity	4	empty	67.796610	52.542373
68.198721	5.961454	ITI	4	empty	67.796610	52.542373
74.266687	2.428764	trialstart	5	empty	50.000000	12.711864
80.519380	0.737869	liking	5	empty	50.000000	12.711864
81.757192	1.184579	intensity	5	empty	50.000000	12.711864
82.941771	9.223562	ITI	5	empty	50.000000	12.711864
92.271212	2.428835	trialstart	6	empty	50.000000	12.711864
98.727378	1.353438	liking	6	empty	50.000000	12.711864
100.580759	1.970942	intensity	6	empty	50.000000	12.711864
102.551702	7.618229	ITI	6	empty	50.000000	12.711864
110.275856	2.428711	trialstart	7	chocolate	83.898305	68.644068
116.536177	1.467796	liking	7	chocolate	83.898305	68.644068
118.503900	1.046301	intensity	7	chocolate	83.898305	68.644068
119.550202	8.624261	ITI	7	chocolate	83.898305	68.644068
128.280471	2.428865	trialstart	8	chocolate	80.508475	64.406780
134.544330	1.260076	liking	8	chocolate	80.508475	64.406780
136.304348	0.983032	intensity	8	chocolate	80.508475	64.406780
137.287380	8.891850	ITI	8	chocolate	80.508475	64.406780
146.285891	2.428921	trialstart	9	chocolate	81.355932	55.932203
152.751220	3.302226	liking	9	chocolate	81.355932	55.932203
156.553389	4.625539	intensity	9	chocolate	81.355932	55.932203
161.178928	3.005778	ITI	9	chocolate	81.355932	55.932203
164.290632	2.428867	trialstart	10	chocolate	77.118644	51.694915
170.538146	2.884489	liking	10	chocolate	77.118644	51.694915
173.922580	2.384513	intensity	10	chocolate	77.118644	51.694915
176.307094	5.882306	ITI	10	chocolate	77.118644	51.694915
182.295345	2.428901	trialstart	11	chocolate	73.728814	50.000000
188.546948	2.873291	liking	11	chocolate	73.728814	50.000000
191.920160	3.194433	intensity	11	chocolate	73.728814	50.000000
195.114592	5.079555	ITI	11	chocolate	73.728814	50.000000
200.300140	2.428949	trialstart	12	chocolate	72.033898	44.915254
206.554874	2.030329	liking	12	chocolate	72.033898	44.915254
209.085143	1.409127	intensity	12	chocolate	72.033898	44.915254
210.494270	7.704710	ITI	12	chocolate	72.033898	44.915254
218.309246	2.428850	trialstart	13	empty	50.000000	42.372881
224.761725	1.031743	liking	13	empty	50.000000	42.372881
226.293409	3.217391	intensity	13	empty	50.000000	42.372881
229.510801	6.697191	ITI	13	empty	50.000000	42.372881
236.313905	2.428733	trialstart	14	empty	50.000000	18.644068
242.570320	0.872279	liking	14	empty	50.000000	18.644068
243.942545	2.629679	intensity	14	empty	50.000000	18.644068
246.572224	7.640310	ITI	14	empty	50.000000	18.644068
254.318656	2.429020	trialstart	15	empty	50.000000	16.101695
260.579664	0.899624	liking	15	empty	50.000000	16.101695
261.979232	2.440086	intensity	15	empty	50.000000	16.101695
264.419318	7.798258	ITI	15	empty	50.000000	16.101695
272.323429	2.427817	trialstart	16	neutral	48.305085	80.508475
278.787247	3.467328	liking	16	neutral	48.305085	80.508475
282.754519	1.395272	intensity	16	neutral	48.305085	80.508475
284.149792	6.071352	ITI	16	neutral	48.305085	80.508475
290.328918	2.428847	trialstart	17	neutral	46.610169	77.966102
296.776058	1.975636	liking	17	neutral	46.610169	77.966102
299.251639	2.258620	intensity	17	neutral	46.610169	77.966102
301.510258	6.717407	ITI	17	neutral	46.610169	77.966102
308.333865	2.428911	trialstart	18	neutral	47.457627	59.322034
314.784002	2.532736	liking	18	neutral	47.457627	59.322034
317.816676	0.928598	intensity	18	neutral	47.457627	59.322034
318.745274	7.487335	ITI	18	neutral	47.457627	59.322034
326.338734	2.428814	trialstart	19	chocolate	81.355932	60.169492
332.790744	1.484418	liking	19	chocolate	81.355932	60.169492
334.775071	0.819726	intensity	19	chocolate	81.355932	60.169492
335.594797	8.642649	ITI	19	chocolate	81.355932	60.169492
