onset	duration	trial_type	image_number	presented_calories	actual_calories	text	food_rating
5	2.5	calorie image	0165.jpg	200	202	200 calories	2
7.5	2.5	calorie image	0110.jpg	360	310	360 calories	1
10	2.5	calorie image	0183.jpg	380	450	380 calories	1
12.5	2.5	calorie image	0087.jpg	430	505	430 calories	1
15	2.5	calorie image	0406.jpg	330	390	330 calories	2
20	2.5	calorie image	0060.jpg	550	648.9	550 calories	1
30	2.5	calorie image	0441.jpg	770	670	770 calories	1
32.5	2.5	calorie image	0282.jpg	110	128	110 calories	4
35	2.5	calorie image	0123.jpg	330	391	330 calories	2
37.5	2.5	calorie image	0423.jpg	100	90	100 calories	4
45	2.5	calorie image	0045.jpg	490	580	490 calories	1
47.5	2.5	calorie image	0470.jpg	830	980	830 calories	2
52.5	2.5	calorie image	0412.jpg	870	870	870 calories	1
55	2.5	calorie image	0004.jpg	100	97	100 calories	3
60	2.5	calorie image	0053.jpg	310	267	310 calories	1
62.5	2.5	calorie image	0180.jpg	100	86.25	100 calories	3
67.5	2.5	calorie image	0175.jpg	550	547.5	550 calories	3
72.5	2.5	calorie image	0422.jpg	750	880	750 calories	3
75	2.5	calorie image	0192.jpg	90	78	90 calories	4
77.5	2.5	calorie image	0469.jpg	910	790	910 calories	1
80	2.5	calorie image	0182.jpg	400	349	400 calories	2
82.5	2.5	calorie image	0166.jpg	210	212	210 calories	3
87.5	2.5	calorie image	0418.jpg	150	150	150 calories	1
90	2.5	calorie image	0475.jpg	250	252	250 calories	1
92.5	2.5	calorie image	0296.jpg	180	175	180 calories	3
95	2.5	calorie image	0437.jpg	400	470	400 calories	2
100	2.5	calorie image	0068.jpg	570	672	570 calories	1
102.5	2.5	calorie image	0069.jpg	530	460	530 calories	2
107.5	2.5	calorie image	0206.jpg	30	32	30 calories	4
112.5	2.5	calorie image	0104.jpg	120	119	120 calories	3
115	2.5	calorie image	0432.jpg	420	420	420 calories	3
120	2.5	calorie image	0484.jpg	700	704	700 calories	1
122.5	2.5	calorie image	0411.jpg	350	300	350 calories	2
