onset	duration	begsample	endsample	offset
12.5156	1.9	31290	36039	-2500
13.9888	1.9	34973	39722	-2500
15.564	1.9	38911	43660	-2500
17.296	1.9	43241	47990	-2500
19.0732	1.9	47684	52433	-2500
20.602	1.9	51506	56255	-2500
22.2372	1.9	55594	60343	-2500
23.9696	1.9	59925	64674	-2500
25.4984	1.9	63747	68496	-2500
27.2716	1.9	68180	72929	-2500
28.7956	1.9	71990	76739	-2500
30.528	1.9	76321	81070	-2500
32.0608	1.9	80153	84902	-2500
33.738	1.9	84346	89095	-2500
35.3632	1.9	88409	93158	-2500
36.8872	1.9	92219	96968	-2500
38.6692	1.9	96674	101423	-2500
40.1472	1.9	100369	105118	-2500
41.7224	1.9	104307	109056	-2500
43.5008	1.9	108753	113502	-2500
45.2316	1.9	113080	117829	-2500
46.964	1.9	117411	122160	-2500
48.6912	1.9	121729	126478	-2500
50.4232	1.9	126059	130808	-2500
52.196	1.9	130491	135240	-2500
53.6692	1.9	134174	138923	-2500
55.2996	1.9	138250	142999	-2500
57.0264	1.9	142567	147316	-2500
58.5508	1.9	146378	151127	-2500
60.1348	1.9	150338	155087	-2500
61.908	1.9	154771	159520	-2500
63.538	1.9	158846	163595	-2500
65.164	1.9	162911	167660	-2500
66.8912	1.9	167229	171978	-2500
68.5164	1.9	171292	176041	-2500
70.1512	1.9	175379	180128	-2500
71.6296	1.9	179075	183824	-2500
73.1076	1.9	182770	187519	-2500
74.7848	1.9	186963	191712	-2500
76.3588	1.9	190898	195647	-2500
77.9888	1.9	194973	199722	-2500
79.4668	1.9	198668	203417	-2500
80.9452	1.9	202364	207113	-2500
82.622	1.9	206556	211305	-2500
84.2472	1.9	210619	215368	-2500
85.8772	1.9	214694	219443	-2500
87.6504	1.9	219127	223876	-2500
89.3828	1.9	223458	228207	-2500
91.0076	1.9	227520	232269	-2500
92.5828	1.9	231458	236207	-2500
94.2128	1.9	235533	240282	-2500
95.986	1.9	239966	244715	-2500
97.5652	1.9	243914	248663	-2500
99.1912	1.9	247979	252728	-2500
100.8164	1.9	252042	256791	-2500
102.4416	1.9	256105	260854	-2500
104.0724	1.9	260182	264931	-2500
105.7028	1.9	264258	269007	-2500
107.2816	1.9	268205	272954	-2500
108.8568	1.9	272143	276892	-2500
110.3348	1.9	275838	280587	-2500
111.864	1.9	279661	284410	-2500
113.4892	1.9	283724	288473	-2500
115.2672	1.9	288169	292918	-2500
117.0444	1.9	292612	297361	-2500
118.6196	1.9	296550	301299	-2500
120.0976	1.9	300245	304994	-2500
121.8296	1.9	304575	309324	-2500
123.5056	1.9	308765	313514	-2500
125.1868	1.9	312968	317717	-2500
126.96	1.9	317401	322150	-2500
128.5392	1.9	321349	326098	-2500
130.114	1.9	325286	330035	-2500
131.6944	1.9	329237	333986	-2500
133.2684	1.9	333172	337921	-2500
135.0416	1.9	337605	342354	-2500
136.5148	1.9	341288	346037	-2500
138.0476	1.9	345120	349869	-2500
139.6228	1.9	349058	353807	-2500
141.248	1.9	353121	357870	-2500
142.9292	1.9	357324	362073	-2500
144.458	1.9	361146	365895	-2500
146.0332	1.9	365084	369833	-2500
147.6584	1.9	369147	373896	-2500
149.4316	1.9	373580	378329	-2500
150.9596	1.9	377400	382149	-2500
152.5856	1.9	381465	386214	-2500
154.2668	1.9	385668	390417	-2500
155.9428	1.9	389858	394607	-2500
157.518	1.9	393796	398545	-2500
159.0512	1.9	397629	402378	-2500
160.5292	1.9	401324	406073	-2500
162.2612	1.9	405654	410403	-2500
164.0344	1.9	410087	414836	-2500
165.6096	1.9	414025	418774	-2500
167.3864	1.9	418467	423216	-2500
168.9108	1.9	422278	427027	-2500
170.3836	1.9	425960	430709	-2500
172.116	1.9	430291	435040	-2500
173.6952	1.9	434239	438988	-2500
175.27	1.9	438176	442925	-2500
176.794	1.9	441986	446735	-2500
178.3232	1.9	445809	450558	-2500
179.8972	1.9	449744	454493	-2500
181.3656	1.9	453415	458164	-2500
183.0976	1.9	457745	462494	-2500
184.5756	1.9	461440	466189	-2500
186.1548	1.9	465388	470137	-2500
187.832	1.9	469581	474330	-2500
189.4568	1.9	473643	478392	-2500
191.1892	1.9	477974	482723	-2500
192.718	1.9	481796	486545	-2500
194.3484	1.9	485872	490621	-2500
195.8724	1.9	489682	494431	-2500
197.4004	1.9	493502	498251	-2500
199.1324	1.9	497832	502581	-2500
200.6616	1.9	501655	506404	-2500
202.2368	1.9	505593	510342	-2500
203.9636	1.9	509910	514659	-2500
205.7408	1.9	514353	519102	-2500
207.4232	1.9	518559	523308	-2500
209.0484	1.9	522622	527371	-2500
210.7804	1.9	526952	531701	-2500
212.3604	1.9	530902	535651	-2500
214.1376	1.9	535345	540094	-2500
215.9108	1.9	539778	544527	-2500
217.3836	1.9	543460	548209	-2500
219.1608	1.9	547903	552652	-2500
220.6848	1.9	551713	556462	-2500
222.26	1.9	555651	560400	-2500
223.7932	1.9	559484	564233	-2500
225.3172	1.9	563294	568043	-2500
226.7904	1.9	566977	571726	-2500
228.4204	1.9	571052	575801	-2500
230.0004	1.9	575002	579751	-2500
231.7736	1.9	579435	584184	-2500
233.404	1.9	583511	588260	-2500
235.1308	1.9	587828	592577	-2500
236.6552	1.9	591639	596388	-2500
238.1832	1.9	595459	600208	-2500
239.7632	1.9	599409	604158	-2500
241.4392	1.9	603599	608348	-2500
242.9632	1.9	607409	612158	-2500
244.5936	1.9	611485	616234	-2500
246.3664	1.9	615917	620666	-2500
248.1436	1.9	620360	625109	-2500
249.6228	1.9	624058	628807	-2500
251.1968	1.9	627993	632742	-2500
252.67	1.9	631676	636425	-2500
254.3972	1.9	635994	640743	-2500
261.0764	1.9	652692	657441	-2500
262.7016	1.9	656755	661504	-2500
264.3328	1.9	660833	665582	-2500
265.866	1.9	664666	669415	-2500
267.344	1.9	668361	673110	-2500
268.9752	1.9	672439	677188	-2500
270.4532	1.9	676134	680883	-2500
272.1344	1.9	680337	685086	-2500
273.7692	1.9	684424	689173	-2500
275.4004	1.9	688502	693251	-2500
277.0304	1.9	692577	697326	-2500
278.6108	1.9	696528	701277	-2500
280.0888	1.9	700223	704972	-2500
281.6128	1.9	704033	708782	-2500
283.086	1.9	707716	712465	-2500
284.868	1.9	712171	716920	-2500
286.5952	1.9	716489	721238	-2500
288.1704	1.9	720427	725176	-2500
289.8972	1.9	724744	729493	-2500
291.5736	1.9	728935	733684	-2500
293.1476	1.9	732870	737619	-2500
294.7228	1.9	736808	741557	-2500
296.302	1.9	740756	745505	-2500
297.78	1.9	744451	749200	-2500
299.304	1.9	748261	753010	-2500
301.0312	1.9	752579	757328	-2500
302.504	1.9	756261	761010	-2500
304.0284	1.9	760072	764821	-2500
305.5612	1.9	763904	768653	-2500
307.1924	1.9	767982	772731	-2500
308.8176	1.9	772045	776794	-2500
310.2908	1.9	775728	780477	-2500
311.9668	1.9	779918	784667	-2500
313.486	1.9	783716	788465	-2500
315.01	1.9	787526	792275	-2500
316.488	1.9	791221	795970	-2500
317.966	1.9	794916	799665	-2500
319.4444	1.9	798612	803361	-2500
321.1204	1.9	802802	807551	-2500
322.7504	1.9	806877	811626	-2500
324.4776	1.9	811195	815944	-2500
325.9508	1.9	814878	819627	-2500
327.728	1.9	819321	824070	-2500
329.2468	1.9	823118	827867	-2500
330.822	1.9	827056	831805	-2500
332.4012	1.9	831004	835753	-2500
334.1744	1.9	835437	840186	-2500
335.7532	1.9	839384	844133	-2500
337.5264	1.9	843817	848566	-2500
339.0504	1.9	847627	852376	-2500
340.7776	1.9	851945	856694	-2500
342.4588	1.9	856148	860897	-2500
343.9368	1.9	859843	864592	-2500
345.562	1.9	863906	868655	-2500
347.248	1.9	868121	872870	-2500
348.828	1.9	872071	876820	-2500
350.6012	1.9	876504	881253	-2500
352.074	1.9	880186	884935	-2500
353.5976	1.9	883995	888744	-2500
355.0756	1.9	887690	892439	-2500
356.7016	1.9	891755	896504	-2500
358.4788	1.9	896198	900947	-2500
360.1048	1.9	900263	905012	-2500
361.6328	1.9	904083	908832	-2500
363.116	1.9	907791	912540	-2500
364.7932	1.9	911984	916733	-2500
366.5752	1.9	916439	921188	-2500
368.2012	1.9	920504	925253	-2500
369.7756	1.9	924440	929189	-2500
371.3504	1.9	928377	933126	-2500
372.9808	1.9	932453	937202	-2500
374.454	1.9	936136	940885	-2500
375.978	1.9	939946	944695	-2500
377.6588	1.9	944148	948897	-2500
379.1832	1.9	947959	952708	-2500
380.716	1.9	951791	956540	-2500
382.4484	1.9	956122	960871	-2500
384.2216	1.9	960555	965304	-2500
385.6996	1.9	964250	968999	-2500
387.4316	1.9	968580	973329	-2500
389.1076	1.9	972770	977519	-2500
390.7888	1.9	976973	981722	-2500
392.2668	1.9	980668	985417	-2500
394.04	1.9	985101	989850	-2500
395.564	1.9	988911	993660	-2500
397.0372	1.9	992594	997343	-2500
398.7632	1.9	996909	1001658	-2500
400.3944	1.9	1000987	1005736	-2500
401.9784	1.9	1004947	1009696	-2500
403.5536	1.9	1008885	1013634	-2500
405.2856	1.9	1013215	1017964	-2500
406.866	1.9	1017166	1021915	-2500
408.3988	1.9	1020998	1025747	-2500
409.9232	1.9	1024809	1029558	-2500
411.604	1.9	1029011	1033760	-2500
413.3824	1.9	1033457	1038206	-2500
415.1092	1.9	1037774	1042523	-2500
416.8876	1.9	1042220	1046969	-2500
418.5636	1.9	1046410	1051159	-2500
420.0916	1.9	1050230	1054979	-2500
421.824	1.9	1054561	1059310	-2500
423.5008	1.9	1058753	1063502	-2500
425.2832	1.9	1063209	1067958	-2500
426.7612	1.9	1066904	1071653	-2500
428.2392	1.9	1070599	1075348	-2500
430.0172	1.9	1075044	1079793	-2500
431.6936	1.9	1079235	1083984	-2500
433.4664	1.9	1083667	1088416	-2500
434.9396	1.9	1087350	1092099	-2500
436.5696	1.9	1091425	1096174	-2500
438.2048	1.9	1095513	1100262	-2500
439.882	1.9	1099706	1104455	-2500
441.4152	1.9	1103539	1108288	-2500
442.944	1.9	1107361	1112110	-2500
444.6304	1.9	1111577	1116326	-2500
446.2664	1.9	1115667	1120416	-2500
447.9984	1.9	1119997	1124746	-2500
449.7256	1.9	1124315	1129064	-2500
451.2036	1.9	1128010	1132759	-2500
452.9356	1.9	1132340	1137089	-2500
459.5184	1.9	1148797	1153546	-2500
461.1992	1.9	1152999	1157748	-2500
462.6776	1.9	1156695	1161444	-2500
464.4096	1.9	1161025	1165774	-2500
