onset	duration	begsample	endsample	offset
12.164	1.9	30411	35160	-2500
13.84	1.9	34601	39350	-2500
15.5212	1.9	38804	43553	-2500
17.2944	1.9	43237	47986	-2500
18.8736	1.9	47185	51934	-2500
20.3516	1.9	50880	55629	-2500
21.9828	1.9	54958	59707	-2500
23.7608	1.9	59403	64152	-2500
25.2388	1.9	63098	67847	-2500
26.772	1.9	66931	71680	-2500
28.25	1.9	70626	75375	-2500
29.7284	1.9	74322	79071	-2500
31.5012	1.9	78754	83503	-2500
33.0764	1.9	82692	87441	-2500
34.7016	1.9	86755	91504	-2500
36.3776	1.9	90945	95694	-2500
38.1508	1.9	95378	100127	-2500
39.6288	1.9	99073	103822	-2500
41.102	1.9	102756	107505	-2500
42.63	1.9	106576	111325	-2500
44.154	1.9	110386	115135	-2500
45.6832	1.9	114209	118958	-2500
47.4604	1.9	118652	123401	-2500
48.9384	1.9	122347	127096	-2500
50.4176	1.9	126045	130794	-2500
51.8956	1.9	129740	134489	-2500
53.5208	1.9	133803	138552	-2500
55.0448	1.9	137613	142362	-2500
56.6188	1.9	141548	146297	-2500
58.092	1.9	145231	149980	-2500
59.824	1.9	149561	154310	-2500
61.5972	1.9	153994	158743	-2500
63.0752	1.9	157689	162438	-2500
64.5484	1.9	161372	166121	-2500
66.1736	1.9	165435	170184	-2500
67.7988	1.9	169498	174247	-2500
69.4288	1.9	173573	178322	-2500
71.0548	1.9	177638	182387	-2500
72.782	1.9	181956	186705	-2500
74.4072	1.9	186019	190768	-2500
75.8852	1.9	189714	194463	-2500
77.6584	1.9	194147	198896	-2500
79.1312	1.9	197829	202578	-2500
80.7056	1.9	201765	206514	-2500
82.3356	1.9	205840	210589	-2500
83.8648	1.9	209663	214412	-2500
85.5916	1.9	213980	218729	-2500
87.37	1.9	218426	223175	-2500
89.102	1.9	222756	227505	-2500
90.686	1.9	226716	231465	-2500
92.2612	1.9	230654	235403	-2500
93.9884	1.9	234972	239721	-2500
95.7204	1.9	239302	244051	-2500
97.4016	1.9	243505	248254	-2500
99.0776	1.9	247695	252444	-2500
100.6016	1.9	251505	256254	-2500
102.126	1.9	255316	260065	-2500
103.7508	1.9	259378	264127	-2500
105.2748	1.9	263188	267937	-2500
107.052	1.9	267631	272380	-2500
108.7384	1.9	271847	276596	-2500
110.5112	1.9	276279	281028	-2500
112.2384	1.9	280597	285346	-2500
113.9144	1.9	284787	289536	-2500
115.4896	1.9	288725	293474	-2500
117.2216	1.9	293055	297804	-2500
118.954	1.9	297386	302135	-2500
120.736	1.9	301841	306590	-2500
122.362	1.9	305906	310655	-2500
123.8952	1.9	309739	314488	-2500
125.4244	1.9	313562	318311	-2500
127.0504	1.9	317627	322376	-2500
128.7824	1.9	321957	326706	-2500
130.3568	1.9	325893	330642	-2500
132.0328	1.9	330083	334832	-2500
133.6636	1.9	334160	338909	-2500
135.192	1.9	337981	342730	-2500
136.9192	1.9	342299	347048	-2500
138.692	1.9	346731	351480	-2500
140.1704	1.9	350427	355176	-2500
141.7444	1.9	354362	359111	-2500
143.2276	1.9	358070	362819	-2500
144.9044	1.9	362262	367011	-2500
146.4376	1.9	366095	370844	-2500
148.2108	1.9	370528	375277	-2500
149.684	1.9	374211	378960	-2500
151.314	1.9	378286	383035	-2500
152.8892	1.9	382224	386973	-2500
