onset	duration	trial_idx	condition	day	rep	tested	wordID	picID	word	pic	run	real_onsest	pic_rating	rating_RT	cat_group	exp_phase	rounded_onset
0.0086751	4	OLD3_R_09	OLD3_R	O	3	R	word38	object22	qqdive	qqPaintbrush_A	2	0.0086751	1	1.8711	OFS	D1S	0
10.1421	4	OLD3_R_18	OLD3_R	O	3	R	word13	object33	qqbuy	qqTraffic_Cone_A	2	10.1421	1	1.6274	OFS	D1S	10
20.1454	4	OLD3_R_13	OLD3_R	O	3	R	word65	object32	qqimitate	qqToothbrush_A	2	20.1454	1	2.1184	OFS	D1S	20
30.133	4	OLD1_R_14	OLD1_R	O	1	R	word80	face30	qqmarry	qqKanye_West_A	2	30.133	1	2.3343	OFS	D1S	30
40.132	4	OLD3_R_06	OLD3_R	O	3	R	word86	object27	qqnurture	qqRolling_Pin_A	2	40.132	1	1.9917	OFS	D1S	40
50.1387	4	OLD3_R_13	OLD3_R	O	3	R	word65	object32	qqimitate	qqToothbrush_A	2	50.1387	1	1.5981	OFS	D1S	50
60.1296	4	OLD3_R_07	OLD3_R	O	3	R	word74	object15	qqkiss	qqIron_A	2	60.1296	1	1.7091	OFS	D1S	60
70.146	4	OLD3_R_01	OLD3_R	O	3	R	word25	object36	qqcrave	qqWater_Gun_A	2	70.146	1	2.3056	OFS	D1S	70
80.1325	4	OLD3_R_17	OLD3_R	O	3	R	word21	object19	qqcommand	qqMegaphone_A	2	80.1325	4	2.2066	OFS	D1S	80
90.1315	4	OLD3_R_18	OLD3_R	O	3	R	word13	object33	qqbuy	qqTraffic_Cone_A	2	90.1315	1	1.1609	OFS	D1S	90
100.1263	4	OLD1_R_11	OLD1_R	O	1	R	word143	face15	qqyell	qqSofia_Vergara_A	2	100.1263	2	3.3434	OFS	D1S	100
110.1427	4	OLD3_R_10	OLD3_R	O	3	R	word14	object28	qqcarve	qqScrew_A	2	110.1427	3	2.347	OFS	D1S	110
120.1445	4	OLD3_R_16	OLD3_R	O	3	R	word58	object20	qqgrill	qqMicrophone_A	2	120.1445	1	1.682	OFS	D1S	120
130.1444	4	OLD3_R_14	OLD3_R	O	3	R	word91	object34	qqpinch	qqWalkie_Talkie_A	2	130.1444	1	1.7293	OFS	D1S	130
140.1441	4	OLD3_R_08	OLD3_R	O	3	R	word132	object14	qqupdate	qqiPhone_A	2	140.1441	3	2.3934	OFS	D1S	140
150.1423	4	OLD1_R_02	OLD1_R	O	1	R	word53	face06	qqfly	qqJulianne_Moore_A	2	150.1423	1	2.1838	OFS	D1S	150
160.1453	4	OLD3_R_08	OLD3_R	O	3	R	word132	object14	qqupdate	qqiPhone_A	2	160.1453	3	2.474	OFS	D1S	160
170.1315	4	OLD1_R_04	OLD1_R	O	1	R	word27	face26	qqcritique	qqGeorge_Clooney_A	2	170.1315	2	2.6377	OFS	D1S	170
180.1432	4	OLD3_R_18	OLD3_R	O	3	R	word13	object33	qqbuy	qqTraffic_Cone_A	2	180.1432	1	1.1715	OFS	D1S	180
190.144	4	OLD3_R_16	OLD3_R	O	3	R	word58	object20	qqgrill	qqMicrophone_A	2	190.144	1	1.2465	OFS	D1S	190
200.1423	4	OLD3_R_05	OLD3_R	O	3	R	word140	object12	qqwipe	qqHand_Cuffs_A	2	200.1423	1	2.1686	OFS	D1S	200
210.1458	4	OLD3_R_01	OLD3_R	O	3	R	word25	object36	qqcrave	qqWater_Gun_A	2	210.1458	1	2.058	OFS	D1S	210
220.1492	4	OLD1_R_03	OLD1_R	O	1	R	word134	face32	qqvote	qqMatt_Damon_A	2	220.1492	2	2.5801	OFS	D1S	220
230.1428	4	OLD3_R_11	OLD3_R	O	3	R	word126	object04	qqthrow	qqBottle_A	2	230.1428	2	2.6144	OFS	D1S	230
240.1444	4	OLD1_R_10	OLD1_R	O	1	R	word37	face23	qqdiscover	qqBruce_Willis_A	2	240.1444	2	2.658	OFS	D1S	240
250.1424	4	OLD3_R_05	OLD3_R	O	3	R	word140	object12	qqwipe	qqHand_Cuffs_A	2	250.1424	1	1.2136	OFS	D1S	250
260.1457	4	OLD3_R_10	OLD3_R	O	3	R	word14	object28	qqcarve	qqScrew_A	2	260.1457	3	2.7644	OFS	D1S	260
270.1435	4	OLD3_R_07	OLD3_R	O	3	R	word74	object15	qqkiss	qqIron_A	2	270.1435	1	1.4172	OFS	D1S	270
280.1487	4	OLD1_R_01	OLD1_R	O	1	R	word31	face24	qqdebate	qqDaniel_Radcliffe_A	2	280.1487	1	2.7986	OFS	D1S	280
290.1303	4	OLD3_R_04	OLD3_R	O	3	R	word33	object26	qqdecorate	qqRazor_A	2	290.1303	2	3.4949	OFS	D1S	290
300.1422	4	OLD1_R_13	OLD1_R	O	1	R	word02	face05	qqactivate	qqJennifer_Lopez_A	2	300.1422	3	3.7466	OFS	D1S	300
310.1292	4	OLD3_R_05	OLD3_R	O	3	R	word140	object12	qqwipe	qqHand_Cuffs_A	2	310.1292	1	1.7727	OFS	D1S	310
