onset	duration	trial_idx	condition	day	rep	tested	wordID	picID	word	pic	run	real_onsest	pic_rating	rating_RT	cat_group	exp_phase	rounded_onset
0.10537	4	OLD3_T_10	OLD3_T	O	3	TRUE	word96	object07	qqpublicize	qqCrowbar_A	1	0.10537	1	3.3354	OFS	D1S	0
10.124	4	OLD3_T_05	OLD3_T	O	3	TRUE	word32	object24	qqdecay	qqPipe_A	1	10.124	2	2.4327	OFS	D1S	10
20.1224	4	OLD3_T_09	OLD3_T	O	3	TRUE	word92	object29	qqpolish	qqSewing_Machine_A	1	20.1224	1	2.9076	OFS	D1S	20
30.1231	4	OLD3_T_03	OLD3_T	O	3	TRUE	word124	object03	qqswipe	qqBasketball_A	1	30.1231	1	3.3321	OFS	D1S	30
40.1228	4	OLD3_T_14	OLD3_T	O	3	TRUE	word75	object23	qqlaunch	qqUmbrella_A	1	40.1228	2	3.0847	OFS	D1S	40
50.1235	4	OLD1_T_02	OLD1_T	O	1	TRUE	word49	face25	qqfaint	qqDr._Phil_A	1	50.1235	2	3.539	OFS	D1S	50
60.1224	4	OLD1_T_08	OLD1_T	O	1	TRUE	word10	face03	qqboost	qqEmma_Stone_A	1	60.1224	3	3.4695	OFS	D1S	60
70.1218	4	OLD3_T_15	OLD3_T	O	3	TRUE	word51	object11	qqflaunt	qqFrying_Pan_A	1	70.1218	1	3.1429	OFS	D1S	70
80.1223	4	OLD1_T_15	OLD1_T	O	1	TRUE	word76	face31	qqlick	qqLeonardo_Dicaprio_A	1	80.1223	4	3.7123	OFS	D1S	80
90.147	4	OLD3_T_04	OLD3_T	O	3	TRUE	word121	object35	qqsurprise	qqWallet_A	1	90.147	4	3.9409	OFS	D1S	90
100.1374	4	OLD3_T_13	OLD3_T	O	3	TRUE	word60	object18	qqhaunt	qqMakeup_Brush_A	1	100.1374	1	2.3127	OFS	D1S	100
110.1246	4	OLD3_T_18	OLD3_T	O	3	TRUE	word129	object13	qqtravel	qqHandbag_A	1	110.1246	3	3.388	OFS	D1S	110
120.1353	4	OLD1_T_14	OLD1_T	O	1	TRUE	word120	face36	qqstretch	qqTom_Hanks_A	1	120.1353	1	3.2071	OFS	D1S	120
130.1212	4	OLD3_T_11	OLD3_T	O	3	TRUE	word114	object21	qqsnap	qqMug_A	1	130.1212	1	3.41	OFS	D1S	130
140.1346	4	OLD1_T_12	OLD1_T	O	1	TRUE	word115	face01	qqsnore	qqAdele_A	1	140.1346	1	3.0253	OFS	D1S	140
150.138	4	OLD3_T_10	OLD3_T	O	3	TRUE	word96	object07	qqpublicize	qqCrowbar_A	1	150.138	1	2.7508	OFS	D1S	150
160.1238	4	OLD1_T_07	OLD1_T	O	1	TRUE	word19	face34	qqclean	qqOwen_Wilson_A	1	160.1238	0	0	OFS	D1S	160
170.1275	4	OLD3_T_14	OLD3_T	O	3	TRUE	word75	object23	qqlaunch	qqUmbrella_A	1	170.1275	2	1.9495	OFS	D1S	170
180.1374	4	OLD3_T_17	OLD3_T	O	3	TRUE	word141	object25	qqwrestle	qqPlunger_A	1	180.1374	2	2.7171	OFS	D1S	180
190.1473	4	OLD3_T_10	OLD3_T	O	3	TRUE	word96	object07	qqpublicize	qqCrowbar_A	1	190.1473	1	1.4261	OFS	D1S	190
200.1507	4	OLD3_T_05	OLD3_T	O	3	TRUE	word32	object24	qqdecay	qqPipe_A	1	200.1507	2	1.7613	OFS	D1S	200
210.1378	4	OLD3_T_01	OLD3_T	O	3	TRUE	word54	object31	qqforgive	qqTeapot_A	1	210.1378	1	2.8241	OFS	D1S	210
220.1377	4	OLD1_T_18	OLD1_T	O	1	TRUE	word24	face13	qqcram	qqReese_Witherspoon_A	1	220.1377	1	3.4433	OFS	D1S	220
230.1314	4	OLD3_T_16	OLD3_T	O	3	TRUE	word99	object09	qqrefuse	qqFork_A	1	230.1314	0	0	OFS	D1S	230
240.1345	4	OLD3_T_06	OLD3_T	O	3	TRUE	word133	object02	qqvisit	qqBasket_A	1	240.1345	2	2.6369	OFS	D1S	240
250.1499	4	OLD3_T_13	OLD3_T	O	3	TRUE	word60	object18	qqhaunt	qqMakeup_Brush_A	1	250.1499	1	3.0447	OFS	D1S	250
260.1403	4	OLD3_T_03	OLD3_T	O	3	TRUE	word124	object03	qqswipe	qqBasketball_A	1	260.1403	1	2.4193	OFS	D1S	260
270.137	4	OLD1_T_09	OLD1_T	O	1	TRUE	word138	face21	qqwobble	qqBen_Affleck_A	1	270.137	1	2.5567	OFS	D1S	270
280.1313	4	OLD3_T_13	OLD3_T	O	3	TRUE	word60	object18	qqhaunt	qqMakeup_Brush_A	1	280.1313	1	2.2359	OFS	D1S	280
290.1346	4	OLD3_T_17	OLD3_T	O	3	TRUE	word141	object25	qqwrestle	qqPlunger_A	1	290.1346	2	2.2606	OFS	D1S	290
300.1361	4	OLD1_T_05	OLD1_T	O	1	TRUE	word103	face22	qqrescue	qqBradley_Cooper_A	1	300.1361	1	2.8968	OFS	D1S	300
310.1366	4	OLD3_T_15	OLD3_T	O	3	TRUE	word51	object11	qqflaunt	qqFrying_Pan_A	1	310.1366	1	2.1774	OFS	D1S	310
320.1441	4	OLD3_T_04	OLD3_T	O	3	TRUE	word121	object35	qqsurprise	qqWallet_A	1	320.1441	3	2.8166	OFS	D1S	320
330.131	4	OLD3_T_08	OLD3_T	O	3	TRUE	word102	object05	qqrepel	qqBucket_A	1	330.131	1	4.1382	OFS	D1S	330
340.1346	4	OLD3_T_18	OLD3_T	O	3	TRUE	word129	object13	qqtravel	qqHandbag_A	1	340.1346	4	2.9804	OFS	D1S	340
350.1362	4	OLD3_T_06	OLD3_T	O	3	TRUE	word133	object02	qqvisit	qqBasket_A	1	350.1362	3	2.5253	OFS	D1S	350
360.1355	4	OLD1_T_06	OLD1_T	O	1	TRUE	word29	face16	qqcustomize	qqTaylor_Swift_A	1	360.1355	1	3.0443	OFS	D1S	360
370.1361	4	OLD3_T_07	OLD3_T	O	3	TRUE	word23	object01	qqconnect	qqBaseball_Bat_A	1	370.1361	2	3.4854	OFS	D1S	370
380.1356	4	OLD3_T_02	OLD3_T	O	3	TRUE	word85	object10	qqnegotiate	qqFrisbee_A	1	380.1356	2	3.3476	OFS	D1S	380
390.1335	4	OLD3_T_12	OLD3_T	O	3	TRUE	word20	object17	qqclimb	qqLighter_A	1	390.1335	1	2.4393	OFS	D1S	390
400.136	4	OLD3_T_01	OLD3_T	O	3	TRUE	word54	object31	qqforgive	qqTeapot_A	1	400.136	1	1.3402	OFS	D1S	400
410.1525	4	OLD3_T_16	OLD3_T	O	3	TRUE	word99	object09	qqrefuse	qqFork_A	1	410.1525	1	2.1943	OFS	D1S	410
420.135	4	OLD3_T_11	OLD3_T	O	3	TRUE	word114	object21	qqsnap	qqMug_A	1	420.135	1	1.8589	OFS	D1S	420
430.1357	4	OLD1_T_10	OLD1_T	O	1	TRUE	word69	face17	qqinspire	qqTina_Fey_A	1	430.1357	4	3.0863	OFS	D1S	430
440.1512	4	OLD3_T_04	OLD3_T	O	3	TRUE	word121	object35	qqsurprise	qqWallet_A	1	440.1512	3	3.4448	OFS	D1S	440
450.1372	4	OLD3_T_17	OLD3_T	O	3	TRUE	word141	object25	qqwrestle	qqPlunger_A	1	450.1372	3	3.4827	OFS	D1S	450
460.1407	4	OLD3_T_09	OLD3_T	O	3	TRUE	word92	object29	qqpolish	qqSewing_Machine_A	1	460.1407	1	2.3308	OFS	D1S	460
470.1441	4	OLD3_T_18	OLD3_T	O	3	TRUE	word129	object13	qqtravel	qqHandbag_A	1	470.1441	3	1.9918	OFS	D1S	470
480.1478	4	OLD3_T_02	OLD3_T	O	3	TRUE	word85	object10	qqnegotiate	qqFrisbee_A	1	480.1478	2	2.3885	OFS	D1S	480
490.1512	4	OLD3_T_09	OLD3_T	O	3	TRUE	word92	object29	qqpolish	qqSewing_Machine_A	1	490.1512	1	1.0516	OFS	D1S	490
500.1376	4	OLD3_T_12	OLD3_T	O	3	TRUE	word20	object17	qqclimb	qqLighter_A	1	500.1376	1	1.5759	OFS	D1S	500
510.1412	4	OLD3_T_07	OLD3_T	O	3	TRUE	word23	object01	qqconnect	qqBaseball_Bat_A	1	510.1412	2	3.374	OFS	D1S	510
520.1445	4	OLD3_T_01	OLD3_T	O	3	TRUE	word54	object31	qqforgive	qqTeapot_A	1	520.1445	1	1.1971	OFS	D1S	520
530.1478	4	OLD3_T_08	OLD3_T	O	3	TRUE	word102	object05	qqrepel	qqBucket_A	1	530.1478	2	2.28	OFS	D1S	530
540.1509	4	OLD3_T_02	OLD3_T	O	3	TRUE	word85	object10	qqnegotiate	qqFrisbee_A	1	540.1509	2	1.7384	OFS	D1S	540
550.1508	4	OLD3_T_08	OLD3_T	O	3	TRUE	word102	object05	qqrepel	qqBucket_A	1	550.1508	2	2.6506	OFS	D1S	550
560.1405	4	OLD3_T_05	OLD3_T	O	3	TRUE	word32	object24	qqdecay	qqPipe_A	1	560.1405	2	2.71	OFS	D1S	560
570.144	4	OLD3_T_07	OLD3_T	O	3	TRUE	word23	object01	qqconnect	qqBaseball_Bat_A	1	570.144	2	1.7211	OFS	D1S	570
