onset	duration	Stimuli	HL
0.1	1	100	/image_M_4
1.2	1	100	/image_M_3
2.3	1	100	/image_M_2
3.4	1	100	/image_M_1
4.5	1	100	/image_F_4
5.6	1	100	/image_F_3
6.7	1	100	/image_F_2
7.8	1	100	/image_F_1
8.9	1	96.95	239_nadine
10.0	1	93.44	195_Kodomoroid
11.1	1	93.26	1_jia_jia_robot
12.2	1	92.6	198_Geminoid-H1-4
13.3	1	89.75	242_gazeroid
14.4	1	89.6	197_Erica
15.5	1	88.74	196_Ontonaroid
16.6	1	78.88	62_Sophia
17.7	1	77.04	25_han
18.8	1	75.95	205_kaspar
19.9	1	73.04	61_BINA48
21.0	1	66.43	228_kengoro
22.1	1	65.74	29_topio
23.2	1	65.19	224_waseda
24.3	1	64.52	6_cb2-humanoid
25.4	1	63.72	26_albert-hubo
26.5	1	63.43	47_furhat
27.6	1	63.43	150_Milo
28.7	1	62.34	244_seer
29.8	1	62.22	19_romeo
30.9	1	61.84	24_zeno
32.0	1	61.3	7_alter-humanoid
33.1	1	59.77	250_kojiro
34.2	1	59	31_inmoov
35.3	1	58.7	248_charli
36.4	1	57.91	51_robothespian
37.5	1	57.73	209_commu
38.6	1	56.77	211_Ibuki
39.7	1	56.57	57_iCub
40.8	1	54.93	208_ipal
41.9	1	54.48	229_myon
43.0	1	53.84	161_Roboy
44.1	1	53.58	235_lynx
45.2	1	53.57	80_REEM-C-2
46.3	1	53.13	28_telenoid
47.4	1	52.72	157_Humanoid-2
48.5	1	52.08	222_toro
49.6	1	52.02	217_thr3
50.7	1	51.76	105_Surena-III
51.8	1	51.47	225_telexistence
52.9	1	51.26	17_kirobo
54.0	1	51.09	68_SociBot-mini
55.1	1	51.09	204_chico
56.2	1	50.74	117_Posy
57.3	1	50.7	200_Surena-Mini
58.4	1	50.64	35_valkyrie
59.5	1	50.61	155_E-Nuvo
60.6	1	50.57	191_HRP2-Promet
61.7	1	50.39	30_discorobo
62.8	1	50.3	192_Johnny-Five
63.9	1	48.2	63_Igus
65.0	1	48	77_TALOS
66.1	1	47.65	158_Mahru
67.2	1	47.52	126_Ira
68.3	1	47.48	178_Meccano-MeccaNoid
69.4	1	47.12	92_Kobian-1
70.5	1	47.04	23_robonaut
71.6	1	46.57	88_manoi-pf01
72.7	1	46.48	226_edgar
73.8	1	46.32	65_Flobi
