onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
131.0502	1	132.0698	Tortit	53	0	0	NaN	NaN
134.0536	1	135.0881	DoritosGrill	11	1	1	650.1096	1003.402
138.0414	1	139.0604	Kitkat	12	0	1	NaN	NaN
140.0435	1	141.0808	HispusimShatiah	8	1	1	600.0408	942.3943
142.0458	1	143.0651	ClickXLwhite4	39	0	0	NaN	NaN
146.0504	1	147.0697	CrunchBisquitWhite2	45	0	0	NaN	NaN
148.0525	1	149.072	Twix	5	0	1	NaN	NaN
153.0414	1	154.0598	ChocolateParaCookies5	22	0	1	NaN	NaN
155.0437	1	156.0622	Keifli	40	0	0	NaN	NaN
158.0471	1	159.0656	Mekupelet	42	0	0	NaN	NaN
161.0504	1	162.0689	BisliBbq	21	0	1	NaN	NaN
165.055	1	166.0737	Loacker	18	0	1	NaN	NaN
168.0416	1	169.0783	KashitSour	9	1	1	616.712	980.5814
170.0439	1	171.0626	Hit	58	0	0	NaN	NaN
173.0472	1	174.0649	ChocolateParaMilk3	57	0	0	NaN	NaN
177.0517	1	178.0698	KinderJoy	47	0	0	NaN	NaN
180.0551	1	181.0736	Apropo	19	0	1	NaN	NaN
182.0403	1	183.0586	GumiSnakes3	6	0	1	NaN	NaN
184.0428	1	185.0609	PesekZman	56	0	0	NaN	NaN
189.0485	1	190.0852	ChocolateParaSucariotKoftzot2	51	1	0	650.068	899.6232
193.0529	1	194.0721	ChocolateParaMarir2	20	0	1	NaN	NaN
197.0403	1	198.0588	SkittlesSour4	4	0	1	NaN	NaN
203.0474	1	204.0665	ClickBlackWhite3	44	0	0	NaN	NaN
205.0496	1	206.0683	CrunchShokoVanil	50	0	0	NaN	NaN
207.0521	1	208.0714	Mentos	3	0	1	NaN	NaN
209.0542	1	210.0732	BabyDoll	10	0	1	NaN	NaN
211.0394	1	212.0774	Shugi	48	1	0	666.7156	1004.902
215.0442	1	216.0788	SkittlesFruits2	16	1	1	633.3921	948.8808
217.0465	1	218.0657	Tictac	55	0	0	NaN	NaN
221.0509	1	222.07	Snickers	7	0	1	NaN	NaN
223.0532	1	224.0716	ClickBalls5	52	0	0	NaN	NaN
225.0553	1	226.0926	HappyHippo	17	1	1	650.0519	995.7119
227.0411	1	228.0753	Twist	54	1	0	616.7123	1012.675
232.0465	1	233.0655	CrunchBisquitBrown3	41	0	0	NaN	NaN
234.0488	1	235.0856	KifkefMaklot2	46	1	0	566.7086	980.1443
236.051	1	237.0854	KinderBuenoWhite2	43	1	0	583.3834	924.3249
239.0545	1	240.0736	DoritosSourSpicy	15	0	1	NaN	NaN
246.0456	1	247.0651	DoritosNatural	13	0	1	NaN	NaN
250.05	1	251.087	BisliOnion	49	1	0	600.0587	943.4148
257.0409	1	258.0784	Dubonim	14	1	1	666.7115	1018.07
