onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
1449.177	1	1450.212	HappyHippo	17	1	1	616.731	874.2054
1452.18	1	1453.198	BisliBbq	21	0	1	NaN	NaN
1454.166	1	1455.186	Keifli	40	0	0	NaN	NaN
1456.168	1	1457.186	Twix	5	0	1	NaN	NaN
1458.17	1	1459.188	Kitkat	12	0	1	NaN	NaN
1461.174	1	1462.192	ChocolateParaCookies5	22	0	1	NaN	NaN
1463.176	1	1464.194	PesekZman	56	0	0	NaN	NaN
1467.18	1	1468.198	GumiSnakes3	6	0	1	NaN	NaN
1469.166	1	1470.204	Twist	54	1	0	616.7255	1080.025
1474.172	1	1475.191	ChocolateParaMilk3	57	0	0	NaN	NaN
1476.174	1	1477.193	Loacker	18	0	1	NaN	NaN
1480.178	1	1481.197	KinderJoy	47	0	0	NaN	NaN
1482.181	1	1483.218	HispusimShatiah	8	1	1	633.3743	1048.319
1485.167	1	1486.185	Mentos	3	0	1	NaN	NaN
1490.173	1	1491.191	ClickBlackWhite3	44	0	0	NaN	NaN
1492.175	1	1493.193	CrunchBisquitBrown3	41	0	0	NaN	NaN
1494.177	1	1495.214	KashitSour	9	1	1	583.3824	796.9991
1498.182	1	1499.2	CrunchShokoVanil	50	0	0	NaN	NaN
1502.17	1	1503.188	Tictac	55	0	0	NaN	376.4267
1506.174	1	1507.192	SkittlesSour4	4	0	1	NaN	NaN
1508.176	1	1509.213	KifkefMaklot2	46	1	0	566.7208	951.151
1510.178	1	1511.215	Dubonim	14	1	1	600.0411	963.0064
1512.181	1	1513.218	BisliOnion	49	1	0	583.3794	940.86
1514.166	1	1515.188	CrunchBisquitWhite2	45	0	0	NaN	NaN
1520.173	1	1521.191	Tortit	53	0	0	NaN	NaN
1523.177	1	1524.194	ClickBalls5	52	0	0	NaN	NaN
1525.178	1	1526.215	Shugi	48	1	0	600.0748	926.1663
1527.181	1	1528.218	SkittlesFruits2	16	1	1	616.712	960.1837
1530.168	1	1531.204	KinderBuenoWhite2	43	1	0	616.71	920.8615
1532.17	1	1533.188	Snickers	7	0	1	NaN	NaN
1534.172	1	1535.19	ClickXLwhite4	39	0	0	NaN	NaN
1536.174	1	1537.192	DoritosSourSpicy	15	0	1	NaN	NaN
1539.178	1	1540.196	BabyDoll	10	0	1	NaN	NaN
1541.18	1	1542.217	DoritosGrill	11	1	1	633.3717	922.7636
1543.182	1	1544.22	ChocolateParaSucariotKoftzot2	51	1	0	633.3846	990.7031
1545.168	1	1546.186	DoritosNatural	13	0	1	NaN	NaN
1547.17	1	1548.188	ChocolateParaMarir2	20	0	1	NaN	NaN
1553.177	1	1554.196	Mekupelet	42	0	0	NaN	NaN
1556.18	1	1557.198	Hit	58	0	0	NaN	NaN
1560.168	1	1561.186	Apropo	19	0	1	NaN	NaN
