onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
2192.193	1	2193.211	ClickXLwhite4	39	0	0	NaN	NaN
2195.196	1	2196.214	ClickBalls5	52	0	0	NaN	NaN
2197.199	1	2198.216	SkittlesSour4	4	0	1	NaN	NaN
2199.184	1	2200.205	Mekupelet	42	0	0	NaN	NaN
2201.187	1	2202.207	DoritosNatural	13	0	1	NaN	NaN
2204.19	1	2205.224	Shugi	48	1	0	583.405	726.0141
2206.192	1	2207.227	KifkefMaklot2	46	1	0	600.0498	883.8965
2210.197	1	2211.215	Mentos	3	0	1	NaN	NaN
2212.199	1	2213.217	Tortit	53	0	0	NaN	NaN
2217.188	1	2218.205	Apropo	19	0	1	NaN	NaN
2219.19	1	2220.227	KinderBuenoWhite2	43	1	0	616.7169	970.3638
2223.195	1	2224.215	Tictac	55	0	0	NaN	NaN
2225.197	1	2226.233	Twist	54	1	0	633.3898	1027.446
2228.183	1	2229.22	BisliOnion	49	1	0	583.3867	932.4953
2233.189	1	2234.207	CrunchShokoVanil	50	0	0	NaN	NaN
2235.191	1	2236.212	ChocolateParaMarir2	20	0	1	NaN	NaN
2237.194	1	2238.214	ChocolateParaCookies5	22	0	1	NaN	NaN
2241.198	1	2242.219	Keifli	40	0	0	NaN	NaN
2245.186	1	2246.224	DoritosGrill	11	1	1	650.0632	1041.924
2249.19	1	2250.227	HappyHippo	17	1	1	600.0376	851.3093
2251.193	1	2252.21	Loacker	18	0	1	NaN	NaN
2253.195	1	2254.215	Twix	5	0	1	NaN	NaN
2255.197	1	2256.215	Snickers	7	0	1	NaN	NaN
2257.199	1	2258.217	CrunchBisquitBrown3	41	0	0	NaN	NaN
2263.189	1	2264.21	KinderJoy	47	0	0	NaN	NaN
2266.193	1	2267.213	Hit	58	0	0	NaN	NaN
2268.195	1	2269.231	SkittlesFruits2	16	1	1	616.7125	848.8767
2270.197	1	2271.232	Dubonim	14	1	1	633.3831	1006.756
2273.184	1	2274.204	ClickBlackWhite3	44	0	0	NaN	NaN
2275.186	1	2276.223	ChocolateParaSucariotKoftzot2	51	1	0	600.0572	788.0198
2277.189	1	2278.209	BabyDoll	10	0	1	NaN	NaN
2279.191	1	2280.211	BisliBbq	21	0	1	NaN	NaN
2282.194	1	2283.214	ChocolateParaMilk3	57	0	0	NaN	NaN
2284.196	1	2285.216	DoritosSourSpicy	15	0	1	NaN	NaN
2286.199	1	2287.233	KashitSour	9	1	1	583.3808	542.4444
2288.184	1	2289.204	Kitkat	12	0	1	NaN	NaN
2290.186	1	2291.207	CrunchBisquitWhite2	45	0	0	NaN	NaN
2296.193	1	2297.213	GumiSnakes3	6	0	1	NaN	NaN
2299.196	1	2300.233	HispusimShatiah	8	1	1	600.0475	853.8758
2303.184	1	2304.204	PesekZman	56	0	0	NaN	NaN
