onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
2068.421	1	2069.442	CrunchBisquitBrown3	41	0	0	NaN	NaN
2070.407	1	2071.424	Tictac	55	0	0	NaN	NaN
2074.411	1	2075.429	ClickBlackWhite3	44	0	0	NaN	NaN
2077.415	1	2078.432	Kitkat	12	0	1	NaN	NaN
2079.417	1	2080.434	PesekZman	56	0	0	NaN	NaN
2082.403	1	2083.421	KinderJoy	47	0	0	NaN	NaN
2086.408	1	2087.444	HispusimShatiah	8	1	1	616.7286	872.6411
2090.412	1	2091.43	Loacker	18	0	1	NaN	NaN
2092.415	1	2093.432	ChocolateParaMilk3	57	0	0	NaN	NaN
2097.404	1	2098.421	Snickers	7	0	1	NaN	NaN
2099.406	1	2100.426	Hit	58	0	0	NaN	NaN
2101.408	1	2102.429	ClickXLwhite4	39	0	0	NaN	NaN
2107.415	1	2108.451	KifkefMaklot2	46	1	0	616.7335	780.3795
2109.417	1	2110.435	Mekupelet	42	0	0	NaN	NaN
2111.402	1	2112.423	GumiSnakes3	6	0	1	NaN	NaN
2113.405	1	2114.442	Shugi	48	1	0	633.3881	854.425
2117.409	1	2118.427	Mentos	3	0	1	NaN	NaN
2121.414	1	2122.432	BisliBbq	21	0	1	NaN	NaN
2124.417	1	2125.435	SkittlesSour4	4	0	1	NaN	NaN
2128.405	1	2129.442	Twist	54	1	0	650.0531	817.4969
2131.408	1	2132.426	CrunchBisquitWhite2	45	0	0	NaN	NaN
2133.411	1	2134.447	DoritosGrill	11	1	1	633.3721	908.3549
2137.415	1	2138.433	DoritosSourSpicy	15	0	1	NaN	NaN
2139.417	1	2140.438	ClickBalls5	52	0	0	NaN	NaN
2141.403	1	2142.439	KashitSour	9	1	1	650.0574	498.7144
2145.407	1	2146.445	KinderBuenoWhite2	43	1	0	666.7212	1062.045
2147.41	1	2148.43	DoritosNatural	13	0	1	NaN	NaN
2151.414	1	2152.468	HappyHippo	17	1	1	666.7145	916.9155
2155.402	1	2156.422	Twix	5	0	1	NaN	NaN
2158.405	1	2159.426	Keifli	40	0	0	NaN	NaN
2164.412	1	2165.432	CrunchShokoVanil	50	0	0	NaN	NaN
2166.414	1	2167.451	Dubonim	14	1	1	683.3868	1048.662
2170.402	1	2171.439	ChocolateParaSucariotKoftzot2	51	1	0	616.722	1010.217
2172.404	1	2173.422	Tortit	53	0	0	NaN	NaN
2174.407	1	2175.427	BabyDoll	10	0	1	NaN	NaN
2176.409	1	2177.429	Apropo	19	0	1	NaN	NaN
2181.414	1	2182.432	ChocolateParaCookies5	22	0	1	NaN	NaN
2183.417	1	2184.453	BisliOnion	49	1	0	566.7187	888.4104
2185.402	1	2186.422	ChocolateParaMarir2	20	0	1	NaN	NaN
2188.406	1	2189.441	SkittlesFruits2	16	1	1	633.3783	917.0972
