onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
2736.103	1	2737.121	Tortit	53	0	0	NaN	NaN
2741.092	1	2742.112	BabyDoll	10	0	1	NaN	NaN
2743.094	1	2744.114	GumiSnakes3	6	0	1	NaN	NaN
2745.096	1	2746.117	CrunchBisquitBrown3	41	0	0	NaN	NaN
2751.086	1	2752.106	Mekupelet	42	0	0	NaN	818.5286
2753.089	1	2754.109	Kitkat	12	0	1	NaN	NaN
2756.092	1	2757.112	CrunchBisquitWhite2	45	0	0	NaN	NaN
2758.094	1	2759.112	ClickBalls5	52	0	0	NaN	NaN
2762.099	1	2763.135	KifkefMaklot2	46	1	0	650.0727	899.3055
2764.084	1	2765.121	HispusimShatiah	8	1	1	650.0734	871.592
2769.09	1	2770.126	ChocolateParaSucariotKoftzot2	51	1	0	666.7303	568.3577
2776.098	1	2777.132	KashitSour	9	1	1	666.7121	907.1159
2778.1	1	2779.137	Shugi	48	1	0	683.3723	896.2304
2781.087	1	2782.107	Tictac	55	0	0	NaN	NaN
2784.09	1	2785.127	BisliOnion	49	1	0	700.06	1195.203
2788.095	1	2789.115	PesekZman	56	0	0	NaN	NaN
2792.099	1	2793.119	Twix	5	0	1	NaN	NaN
2796.087	1	2797.107	DoritosSourSpicy	15	0	1	NaN	NaN
2799.09	1	2800.11	BisliBbq	21	0	1	NaN	NaN
2805.097	1	2806.133	Dubonim	14	1	1	683.3879	855.4973
2807.099	1	2808.136	DoritosGrill	11	1	1	700.057	934.6567
2810.086	1	2811.106	Keifli	40	0	0	NaN	NaN
2812.088	1	2813.108	Mentos	3	0	1	NaN	NaN
2814.09	1	2815.111	ChocolateParaMarir2	20	0	1	NaN	NaN
2816.093	1	2817.129	Twist	54	1	0	650.0559	851.6038
2819.096	1	2820.116	Hit	58	0	0	NaN	NaN
2823.1	1	2824.121	KinderJoy	47	0	0	NaN	NaN
2825.086	1	2826.106	CrunchShokoVanil	50	0	0	NaN	NaN
2827.088	1	2828.108	Loacker	18	0	1	NaN	NaN
2829.09	1	2830.111	ChocolateParaMilk3	57	0	0	NaN	NaN
2831.093	1	2832.113	Snickers	7	0	1	NaN	NaN
2833.095	1	2834.132	HappyHippo	17	1	1	716.7168	544.983
2837.099	1	2838.12	ClickXLwhite4	39	0	0	NaN	NaN
2841.087	1	2842.124	SkittlesFruits2	16	1	1	733.3794	956.8344
2843.089	1	2844.11	Apropo	19	0	1	NaN	NaN
2845.092	1	2846.112	DoritosNatural	13	0	1	NaN	NaN
2847.094	1	2848.114	ChocolateParaCookies5	22	0	1	NaN	NaN
2849.096	1	2850.116	ClickBlackWhite3	44	0	0	NaN	NaN
2855.086	1	2856.122	KinderBuenoWhite2	43	1	0	666.7157	885.9139
2857.088	1	2858.109	SkittlesSour4	4	0	1	NaN	NaN
