onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
572.094	1	573.112	ClickBlackWhite3	44	0	0	NaN	NaN
575.0975	1	576.1163	Hit	58	0	0	NaN	NaN
577.0828	1	578.1008	CrunchBisquitWhite2	45	0	0	NaN	NaN
579.0852	1	580.1216	BisliOnion	49	1	0	616.7337	918.3465
581.0875	1	582.1062	DoritosSourSpicy	15	0	1	NaN	NaN
584.0908	1	585.1094	BabyDoll	10	0	1	NaN	NaN
586.093	1	587.1296	Dubonim	14	1	1	616.7269	987.0693
590.0976	1	591.1162	KinderJoy	47	0	0	NaN	NaN
592.0827	1	593.136	HispusimShatiah	8	1	1	633.3764	915.1247
597.0887	1	598.1251	SkittlesFruits2	16	1	1	650.0439	870.642
599.091	1	600.1277	HappyHippo	17	1	1	666.7206	994.7501
603.0954	1	604.1141	Snickers	7	0	1	NaN	NaN
605.0977	1	606.117	GumiSnakes3	6	0	1	NaN	NaN
608.0841	1	609.1026	Tortit	53	0	0	NaN	NaN
613.09	1	614.1266	ChocolateParaSucariotKoftzot2	51	1	0	633.4184	980.0918
615.0922	1	616.1107	SkittlesSour4	4	0	1	NaN	NaN
617.0944	1	618.1125	ChocolateParaMilk3	57	0	0	NaN	NaN
621.0989	1	622.117	DoritosNatural	13	0	1	NaN	NaN
625.0868	1	626.1055	ChocolateParaMarir2	20	0	1	NaN	NaN
629.0912	1	630.1095	Tictac	55	0	0	NaN	NaN
631.0934	1	632.1117	Mekupelet	42	0	0	NaN	NaN
633.0957	1	634.1149	Kitkat	12	0	1	NaN	NaN
635.098	1	636.1364	DoritosGrill	11	1	1	683.3808	1068.131
637.0833	1	638.1023	CrunchShokoVanil	50	0	0	NaN	NaN
643.0903	1	644.1092	ClickBalls5	52	0	0	NaN	NaN
646.0937	1	647.1123	ClickXLwhite4	39	0	0	NaN	NaN
648.0958	1	649.1149	Mentos	3	0	1	NaN	NaN
650.098	1	651.1167	PesekZman	56	0	0	NaN	NaN
653.0848	1	654.1035	Apropo	19	0	1	NaN	NaN
655.0871	1	656.1234	Shugi	48	1	0	650.0529	1026.2
657.0893	1	658.108	Twix	5	0	1	NaN	NaN
659.0915	1	660.1294	KinderBuenoWhite2	43	1	0	600.0414	1004.605
662.0949	1	663.1321	Twist	54	1	0	550.0528	858.6953
664.0973	1	665.1334	KashitSour	9	1	1	633.387	870.1793
666.0823	1	667.1004	ChocolateParaCookies5	22	0	1	NaN	NaN
668.0849	1	669.103	Loacker	18	0	1	NaN	NaN
670.0872	1	671.1052	Keifli	40	0	0	NaN	NaN
676.0938	1	677.1118	CrunchBisquitBrown3	41	0	0	NaN	NaN
679.0973	1	680.1316	KifkefMaklot2	46	1	0	566.7078	957.0913
683.0851	1	684.1033	BisliBbq	21	0	1	NaN	NaN
