onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
1014.54	1	1015.576	HappyHippo	17	1	1	650.0603	870.0811
1017.543	1	1018.561	Keifli	40	0	0	NaN	NaN
1019.528	1	1020.547	ChocolateParaMarir2	20	0	1	NaN	NaN
1021.531	1	1022.55	Twix	5	0	1	NaN	NaN
1023.533	1	1024.552	DoritosSourSpicy	15	0	1	NaN	NaN
1026.537	1	1027.555	ChocolateParaMilk3	57	0	0	NaN	NaN
1028.539	1	1029.557	BisliBbq	21	0	1	NaN	NaN
1032.543	1	1033.562	Kitkat	12	0	1	NaN	NaN
1034.529	1	1035.548	ChocolateParaCookies5	22	0	1	NaN	NaN
1039.535	1	1040.553	CrunchShokoVanil	50	0	0	NaN	NaN
1041.537	1	1042.556	CrunchBisquitWhite2	45	0	0	NaN	NaN
1045.541	1	1046.56	PesekZman	56	0	0	NaN	NaN
1047.543	1	1048.562	ClickBalls5	52	0	0	NaN	NaN
1050.53	1	1051.549	Snickers	7	0	1	NaN	NaN
1055.536	1	1056.57	HispusimShatiah	8	1	1	666.7203	893.403
1057.538	1	1058.572	KifkefMaklot2	46	1	0	650.0642	938.8347
1059.54	1	1060.574	SkittlesFruits2	16	1	1	683.3824	995.3688
1063.528	1	1064.549	Mekupelet	42	0	0	NaN	NaN
1067.533	1	1068.551	Tictac	55	0	0	NaN	NaN
1071.537	1	1072.555	Mentos	3	0	1	NaN	NaN
1073.539	1	1074.557	CrunchBisquitBrown3	41	0	0	NaN	NaN
1075.542	1	1076.579	ChocolateParaSucariotKoftzot2	51	1	0	666.715	1048.597
1077.544	1	1078.581	KashitSour	9	1	1	700.0543	992.7602
1079.529	1	1080.548	BabyDoll	10	0	1	NaN	NaN
1085.536	1	1086.573	Twist	54	1	0	616.7128	1033.326
1088.539	1	1089.558	Hit	58	0	0	NaN	NaN
1090.542	1	1091.578	KinderBuenoWhite2	43	1	0	566.731	966.6721
1092.544	1	1093.565	KinderJoy	47	0	0	NaN	NaN
1095.531	1	1096.569	DoritosGrill	11	1	1	716.7174	1051.776
1097.533	1	1098.552	GumiSnakes3	6	0	1	NaN	NaN
1099.535	1	1100.553	Loacker	18	0	1	NaN	NaN
1101.537	1	1102.555	DoritosNatural	13	0	1	NaN	NaN
1104.541	1	1105.559	SkittlesSour4	4	0	1	NaN	NaN
1106.543	1	1107.561	ClickBlackWhite3	44	0	0	NaN	NaN
1108.528	1	1109.547	ClickXLwhite4	39	0	0	NaN	NaN
1110.531	1	1111.549	Tortit	53	0	0	NaN	NaN
1112.533	1	1113.567	Dubonim	14	1	1	666.7099	970.1313
1118.54	1	1119.559	Apropo	19	0	1	NaN	NaN
1121.543	1	1122.58	Shugi	48	1	0	583.3775	803.0046
1125.531	1	1126.568	BisliOnion	49	1	0	600.0496	989.1149
