onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
1144.452	1	1145.47	Tortit	53	0	0	NaN	NaN
1146.454	1	1147.472	Hit	58	0	0	NaN	NaN
1150.442	1	1151.46	Snickers	7	0	1	NaN	NaN
1153.445	1	1154.463	Apropo	19	0	1	NaN	NaN
1155.448	1	1156.482	ChocolateParaSucariotKoftzot2	51	1	0	616.7307	964.8839
1158.451	1	1159.487	Dubonim	14	1	1	683.3925	1044.131
1162.456	1	1163.492	HispusimShatiah	8	1	1	633.379	988.5305
1166.443	1	1167.463	CrunchBisquitWhite2	45	0	0	NaN	NaN
1168.446	1	1169.464	SkittlesSour4	4	0	1	NaN	NaN
1173.451	1	1174.47	KinderJoy	47	0	0	NaN	NaN
1175.454	1	1176.472	ChocolateParaMilk3	57	0	0	NaN	NaN
1177.456	1	1178.474	ClickBalls5	52	0	0	NaN	NaN
1183.446	1	1184.465	ChocolateParaMarir2	20	0	1	NaN	NaN
1185.448	1	1186.485	KashitSour	9	1	1	650.0436	857.2539
1187.45	1	1188.469	Mentos	3	0	1	NaN	NaN
1189.453	1	1190.472	Twix	5	0	1	NaN	NaN
1193.457	1	1194.476	ChocolateParaCookies5	22	0	1	NaN	NaN
1197.445	1	1198.482	KifkefMaklot2	46	1	0	633.3852	909.652
1200.448	1	1201.467	BabyDoll	10	0	1	NaN	NaN
1204.453	1	1205.487	Shugi	48	1	0	650.0502	1057.255
1207.456	1	1208.476	DoritosNatural	13	0	1	NaN	NaN
1209.441	1	1210.477	SkittlesFruits2	16	1	1	666.711	1007.683
1213.446	1	1214.465	Kitkat	12	0	1	NaN	NaN
1215.448	1	1216.467	ClickBlackWhite3	44	0	0	NaN	NaN
1217.451	1	1218.487	HappyHippo	17	1	1	616.7158	986.1169
1221.455	1	1222.493	Twist	54	1	0	600.0458	1043.003
1223.457	1	1224.477	Tictac	55	0	0	NaN	NaN
1227.445	1	1228.463	ClickXLwhite4	39	0	0	NaN	NaN
1231.45	1	1232.468	Mekupelet	42	0	0	NaN	NaN
1234.453	1	1235.471	Loacker	18	0	1	NaN	NaN
1240.443	1	1241.477	DoritosGrill	11	1	1	633.3802	978.5473
1242.445	1	1243.482	KinderBuenoWhite2	43	1	0	550.0536	821.3284
1246.45	1	1247.469	GumiSnakes3	6	0	1	NaN	NaN
1248.452	1	1249.47	CrunchShokoVanil	50	0	0	NaN	NaN
1250.454	1	1251.472	BisliBbq	21	0	1	NaN	NaN
1252.457	1	1253.474	PesekZman	56	0	0	NaN	NaN
1257.445	1	1258.465	CrunchBisquitBrown3	41	0	0	NaN	NaN
1259.448	1	1260.465	DoritosSourSpicy	15	0	1	NaN	NaN
1261.45	1	1262.484	BisliOnion	49	1	0	566.7122	908.8438
1264.453	1	1265.472	Keifli	40	0	0	NaN	NaN
