onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
899.7778	1	900.8144	BisliOnion	49	1	0	683.4036	944.24
902.7812	1	903.7996	ClickBalls5	52	0	0	NaN	NaN
904.7835	1	905.8015	DoritosSourSpicy	15	0	1	NaN	NaN
906.7688	1	907.7871	CrunchBisquitBrown3	41	0	0	NaN	NaN
908.7713	1	909.7901	ChocolateParaMarir2	20	0	1	NaN	NaN
911.7747	1	912.7926	ClickXLwhite4	39	0	0	NaN	NaN
913.7769	1	914.7948	ChocolateParaCookies5	22	0	1	NaN	NaN
917.7813	1	918.8177	SkittlesFruits2	16	1	1	616.7411	964.0384
919.7836	1	920.8017	BabyDoll	10	0	1	NaN	NaN
924.7725	1	925.8097	Twist	54	1	0	700.0491	925.6928
926.7747	1	927.793	Hit	58	0	0	NaN	NaN
930.7793	1	931.7979	SkittlesSour4	4	0	1	NaN	307.9255
932.7815	1	933.7994	PesekZman	56	0	0	NaN	NaN
935.7679	1	936.8063	KinderBuenoWhite2	43	1	0	716.7096	1090.813
940.7739	1	941.7914	Loacker	18	0	1	NaN	NaN
942.776	1	943.7943	Mentos	3	0	1	NaN	NaN
944.7783	1	945.7973	KinderJoy	47	0	0	NaN	NaN
948.7828	1	949.8193	HispusimShatiah	8	1	1	633.3789	845.244
952.7706	1	953.7898	CrunchBisquitWhite2	45	0	0	NaN	NaN
956.7752	1	957.7945	CrunchShokoVanil	50	0	0	NaN	NaN
958.7774	1	959.7954	Snickers	7	0	1	NaN	NaN
960.7795	1	961.7977	Keifli	40	0	0	NaN	NaN
962.7819	1	963.8	BisliBbq	21	0	1	NaN	NaN
964.7672	1	965.7856	Kitkat	12	0	1	NaN	NaN
970.7741	1	971.793	Mekupelet	42	0	0	NaN	NaN
973.7775	1	974.8156	Shugi	48	1	0	666.716	1062.959
975.7797	1	976.8165	Dubonim	14	1	1	650.0553	950.8072
977.7819	1	978.8204	HappyHippo	17	1	1	666.7225	1029.939
980.7687	1	981.7878	Apropo	19	0	1	NaN	NaN
982.7709	1	983.789	Tortit	53	0	0	NaN	NaN
984.7731	1	985.81	KifkefMaklot2	46	1	0	616.7128	890.3657
986.7753	1	987.8124	ChocolateParaSucariotKoftzot2	51	1	0	633.3781	935.7366
989.7787	1	990.8153	DoritosGrill	11	1	1	616.7168	947.4925
991.7809	1	992.8022	GumiSnakes3	6	0	1	NaN	NaN
993.7832	1	994.8014	Twix	5	0	1	NaN	NaN
995.7688	1	996.7869	Tictac	55	0	0	NaN	NaN
997.771	1	998.7887	DoritosNatural	13	0	1	NaN	NaN
1003.778	1	1004.796	ClickBlackWhite3	44	0	0	NaN	NaN
1006.781	1	1007.799	ChocolateParaMilk3	57	0	0	NaN	NaN
1010.769	1	1011.806	KashitSour	9	1	1	633.3754	849.491
