onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
1.255432	1	2.290267	KifkefMaklot2	46	1	0	750.0656	1079.151
4.241639	1	5.261046	Mentos	3	0	1	NaN	NaN
8.246133	1	9.284447	HispusimShatiah	8	1	1	750.064	1153.81
10.23143	1	11.26843	DoritosGrill	11	1	1	700.0483	1069.805
12.23392	1	13.25164	ChocolateParaMarir2	20	0	1	NaN	NaN
16.23845	1	17.25715	DoritosNatural	13	0	1	NaN	NaN
18.24068	1	19.25883	KinderJoy	47	0	0	NaN	NaN
23.24624	1	24.26479	CrunchShokoVanil	50	0	0	NaN	NaN
25.2315	1	26.24962	PesekZman	56	0	0	NaN	NaN
28.23519	1	29.25341	ChocolateParaMilk3	57	0	0	NaN	NaN
31.23853	1	32.27286	Twist	54	1	0	700.0455	988.64
35.24297	1	36.26199	Hit	58	0	0	NaN	NaN
38.24631	1	39.26446	ChocolateParaCookies5	22	0	1	NaN	NaN
40.23162	1	41.24971	SkittlesSour4	4	0	1	NaN	NaN
43.2353	1	44.25332	BabyDoll	10	0	1	NaN	NaN
47.23968	1	48.27451	KinderBuenoWhite2	43	1	0	716.7137	985.7107
50.24308	1	51.26143	BisliBbq	21	0	1	NaN	NaN
52.24535	1	53.2649	CrunchBisquitWhite2	45	0	0	NaN	NaN
54.24762	1	55.26631	Tictac	55	0	0	NaN	NaN
59.23654	1	60.25613	Twix	5	0	1	NaN	NaN
63.24093	1	64.25934	Kitkat	12	0	1	NaN	NaN
67.2454	1	68.26348	ClickBalls5	52	0	0	NaN	NaN
73.23549	1	74.25355	Snickers	7	0	1	NaN	NaN
75.23766	1	76.25614	CrunchBisquitBrown3	41	0	0	NaN	NaN
77.24003	1	78.276	KashitSour	9	1	1	650.047	1001.828
79.2422	1	80.26033	Keifli	40	0	0	NaN	NaN
81.24446	1	82.28306	BisliOnion	49	1	0	733.3794	1114.995
85.23193	1	86.25095	Apropo	19	0	1	NaN	NaN
87.23452	1	88.27123	Shugi	48	1	0	683.3814	986.5269
91.23898	1	92.2734	HappyHippo	17	1	1	600.0482	897.1609
93.2412	1	94.26068	Tortit	53	0	0	NaN	NaN
95.24345	1	96.26295	DoritosSourSpicy	15	0	1	NaN	NaN
97.24568	1	98.26439	ClickBlackWhite3	44	0	0	NaN	NaN
102.2346	1	103.253	Mekupelet	42	0	0	NaN	NaN
104.2369	1	105.2565	Loacker	18	0	1	NaN	NaN
106.2391	1	107.2735	Dubonim	14	1	1	616.7113	950.2188
109.2425	1	110.2604	ClickXLwhite4	39	0	0	NaN	NaN
116.2337	1	117.2522	GumiSnakes3	6	0	1	NaN	NaN
120.2381	1	121.2752	SkittlesFruits2	16	1	1	633.3874	991.9411
127.246	1	128.2841	ChocolateParaSucariotKoftzot2	51	1	0	700.0425	1049.339
