onset	duration	fixation_onset	item_name	item_rank	is_go	is_HV	cue_onset	RT
418.6221	1	419.6402	Keifli	40	0	0	NaN	NaN
423.6278	1	424.6645	SkittlesFruits2	16	1	1	583.3977	1017.421
425.6133	1	426.6477	KashitSour	9	1	1	533.383	933.1815
427.6155	1	428.6344	Snickers	7	0	1	NaN	NaN
433.6223	1	434.6408	ChocolateParaCookies5	22	0	1	NaN	NaN
435.6246	1	436.6429	CrunchBisquitBrown3	41	0	0	NaN	NaN
438.6279	1	439.6457	Tictac	55	0	0	NaN	NaN
440.6136	1	441.6507	HispusimShatiah	8	1	1	550.055	851.1181
444.6179	1	445.6366	KinderJoy	47	0	0	NaN	NaN
446.6202	1	447.6388	GumiSnakes3	6	0	1	NaN	NaN
451.6258	1	452.6626	HappyHippo	17	1	1	566.7058	853.0952
458.6169	1	459.6361	Mentos	3	0	1	NaN	NaN
460.6192	1	461.6563	KifkefMaklot2	46	1	0	650.0693	938.85
463.6227	1	464.6421	Tortit	53	0	0	NaN	NaN
466.6259	1	467.6441	PesekZman	56	0	0	NaN	NaN
470.6138	1	471.648	KinderBuenoWhite2	43	1	0	666.7141	934.7777
474.6181	1	475.6374	BisliBbq	21	0	1	NaN	NaN
478.6227	1	479.6409	DoritosNatural	13	0	1	NaN	NaN
481.6261	1	482.6448	Mekupelet	42	0	0	NaN	NaN
487.6161	1	488.6504	Twist	54	1	0	683.3849	1134.538
489.6184	1	490.6363	ClickBlackWhite3	44	0	0	NaN	NaN
492.6216	1	493.6406	ClickXLwhite4	39	0	0	NaN	NaN
494.624	1	495.6425	Kitkat	12	0	1	NaN	NaN
496.6262	1	497.6444	Apropo	19	0	1	NaN	NaN
498.6114	1	499.6294	ChocolateParaMarir2	20	0	1	NaN	NaN
501.615	1	502.6533	BisliOnion	49	1	0	633.3884	1041.178
505.6195	1	506.639	DoritosSourSpicy	15	0	1	NaN	NaN
507.6219	1	508.659	Dubonim	14	1	1	583.3845	862.1735
509.6241	1	510.6425	BabyDoll	10	0	1	NaN	NaN
511.6263	1	512.6631	Shugi	48	1	0	583.3825	817.934
513.6117	1	514.63	Loacker	18	0	1	NaN	NaN
515.614	1	516.6334	Hit	58	0	0	NaN	NaN
519.6186	1	520.6376	ChocolateParaMilk3	57	0	0	NaN	NaN
523.6231	1	524.6578	ChocolateParaSucariotKoftzot2	51	1	0	600.0447	971.6063
525.6254	1	526.6469	CrunchShokoVanil	50	0	0	NaN	NaN
527.6108	1	528.6289	Twix	5	0	1	NaN	NaN
529.6131	1	530.6313	SkittlesSour4	4	0	1	NaN	NaN
531.6153	1	532.6333	ClickBalls5	52	0	0	NaN	NaN
537.6221	1	538.6591	DoritosGrill	11	1	1	600.0526	979.4998
539.6244	1	540.6426	CrunchBisquitWhite2	45	0	0	NaN	NaN
