onset	duration	trial_type	stim_type	button_press
0.037	20.033	rest block	n/a	n/a
20.070	21.350	active block	n/a	n/a
20.070	0.500	stimulus display	1	n/a
20.586	0.500	stimulus display	2	n/a
20.779	0.000	button pressed	n/a	g
21.102	0.500	stimulus display	3	n/a
21.155	0.000	button pressed	n/a	f
21.618	0.500	stimulus display	4	n/a
21.923	0.000	button pressed	n/a	b
22.134	0.500	stimulus display	1	n/a
22.411	0.000	button pressed	n/a	g
22.650	0.500	stimulus display	2	n/a
22.891	0.000	button pressed	n/a	f
23.166	0.500	stimulus display	3	n/a
23.355	0.000	button pressed	n/a	v
23.682	0.500	stimulus display	4	n/a
23.811	0.000	button pressed	n/a	b
24.198	0.500	stimulus display	1	n/a
24.531	0.000	button pressed	n/a	g
24.714	0.500	stimulus display	2	n/a
25.035	0.000	button pressed	n/a	f
25.230	0.500	stimulus display	3	n/a
25.547	0.000	button pressed	n/a	v
25.746	0.500	stimulus display	4	n/a
26.043	0.000	button pressed	n/a	b
26.262	0.500	stimulus display	1	n/a
26.659	0.000	button pressed	n/a	g
26.778	0.500	stimulus display	2	n/a
27.203	0.000	button pressed	n/a	f
27.294	0.500	stimulus display	3	n/a
27.762	0.000	button pressed	n/a	v
27.810	0.500	stimulus display	4	n/a
28.291	0.000	button pressed	n/a	b
28.326	0.500	stimulus display	1	n/a
28.842	0.500	stimulus display	2	n/a
28.843	0.000	button pressed	n/a	g
29.358	0.500	stimulus display	3	n/a
29.378	0.000	button pressed	n/a	f
29.874	0.500	stimulus display	4	n/a
29.891	0.000	button pressed	n/a	v
30.390	0.500	stimulus display	1	n/a
30.410	0.000	button pressed	n/a	b
30.906	0.500	stimulus display	2	n/a
30.947	0.000	button pressed	n/a	g
31.422	0.500	stimulus display	3	n/a
31.483	0.000	button pressed	n/a	f
31.938	0.500	stimulus display	4	n/a
31.970	0.000	button pressed	n/a	v
32.454	0.500	stimulus display	1	n/a
32.970	0.500	stimulus display	2	n/a
33.218	0.000	button pressed	n/a	g
33.486	0.500	stimulus display	3	n/a
33.602	0.000	button pressed	n/a	f
