onset	duration	trial_type	stimulus	response_time	correct
0.046	0.5	frequent	O	n/a	1
2.08	0.5	frequent	O	n/a	1
5.116	0.5	distractor	S	n/a	1
9.153	0.5	frequent	O	n/a	1
13.69	0.5	frequent	O	n/a	1
15.224	0.5	frequent	O	n/a	1
16.759	0.5	frequent	O	n/a	1
18.294	0.5	frequent	O	n/a	1
21.329	0.5	frequent	O	n/a	1
24.365	0.5	frequent	O	n/a	1
27.901	0.5	frequent	O	n/a	1
30.937	0.5	frequent	O	n/a	1
35.474	0.5	frequent	O	n/a	1
37.009	0.5	frequent	O	n/a	1
40.044	0.5	frequent	O	n/a	1
44.581	0.5	frequent	O	n/a	1
47.617	0.5	frequent	O	n/a	1
49.652	0.5	frequent	O	n/a	1
51.687	0.5	target	X	0.586	1
55.223	0.5	frequent	O	n/a	1
57.258	0.5	distractor	Z	n/a	1
58.793	0.5	frequent	O	n/a	1
60.828	0.5	distractor	R	n/a	1
62.863	0.5	frequent	O	n/a	1
65.899	0.5	frequent	O	n/a	1
67.934	0.5	frequent	O	n/a	1
69.468	0.5	frequent	O	n/a	1
71.503	0.5	frequent	O	n/a	1
73.038	0.5	frequent	O	n/a	1
76.574	0.5	distractor	P	n/a	1
80.61	0.5	frequent	O	n/a	1
85.147	0.5	frequent	O	n/a	1
87.683	0.5	distractor	C	n/a	1
91.719	0.5	frequent	O	n/a	1
95.256	0.5	frequent	O	n/a	1
96.79	0.5	frequent	O	n/a	1
101.327	0.5	distractor	Y	n/a	1
104.863	0.5	frequent	O	n/a	1
106.398	0.5	target	X	0.483	1
110.935	0.5	frequent	O	n/a	1
114.972	0.5	frequent	O	n/a	1
118.007	0.5	frequent	O	n/a	1
120.042	0.5	frequent	O	n/a	1
123.578	0.5	target	X	0.503	1
128.115	0.5	frequent	O	n/a	1
129.65	0.5	distractor	V	n/a	1
133.186	0.5	target	X	0.479	1
135.221	0.5	frequent	O	n/a	1
137.757	0.5	frequent	O	n/a	1
140.292	0.5	frequent	O	n/a	1
144.329	0.5	frequent	O	n/a	1
145.863	0.5	target	X	0.498	1
147.398	0.5	frequent	O	n/a	1
151.935	0.5	distractor	G	n/a	1
154.47	0.5	frequent	O	n/a	1
156.005	0.5	frequent	O	n/a	1
159.541	0.5	frequent	O	n/a	1
164.078	0.5	frequent	O	n/a	1
166.113	0.5	frequent	O	n/a	1
168.648	0.5	frequent	O	n/a	1
170.683	0.5	frequent	O	n/a	1
172.718	0.5	frequent	O	n/a	1
176.755	0.5	distractor	U	n/a	1
179.29	0.5	frequent	O	n/a	1
182.826	0.5	frequent	O	n/a	1
184.861	0.5	target	X	0.492	1
187.897	0.5	frequent	O	n/a	1
189.432	0.5	target	X	0.489	1
191.967	0.5	frequent	O	n/a	1
