onset	duration	trial_type	stim_type	button_press
0.034	20.033	rest block	n/a	n/a
20.067	21.350	active block	n/a	n/a
20.067	0.500	stimulus display	1	n/a
20.583	0.500	stimulus display	2	n/a
20.836	0.000	button pressed	n/a	g
21.099	0.500	stimulus display	3	n/a
21.332	0.000	button pressed	n/a	f
21.615	0.500	stimulus display	4	n/a
21.821	0.000	button pressed	n/a	v
22.131	0.500	stimulus display	1	n/a
22.236	0.000	button pressed	n/a	b
22.647	0.500	stimulus display	2	n/a
22.884	0.000	button pressed	n/a	g
23.163	0.500	stimulus display	3	n/a
23.300	0.000	button pressed	n/a	f
23.679	0.500	stimulus display	4	n/a
23.788	0.000	button pressed	n/a	v
24.195	0.500	stimulus display	1	n/a
24.221	0.000	button pressed	n/a	b
24.711	0.500	stimulus display	2	n/a
24.716	0.000	button pressed	n/a	g
25.227	0.500	stimulus display	3	n/a
25.676	0.000	button pressed	n/a	v
25.743	0.500	stimulus display	4	n/a
26.124	0.000	button pressed	n/a	b
26.259	0.500	stimulus display	1	n/a
26.775	0.500	stimulus display	2	n/a
26.780	0.000	button pressed	n/a	g
27.291	0.500	stimulus display	3	n/a
27.756	0.000	button pressed	n/a	v
27.807	0.500	stimulus display	4	n/a
28.323	0.500	stimulus display	1	n/a
28.839	0.500	stimulus display	2	n/a
28.988	0.000	button pressed	n/a	g
29.355	0.500	stimulus display	3	n/a
29.396	0.000	button pressed	n/a	f
29.871	0.500	stimulus display	4	n/a
29.924	0.000	button pressed	n/a	v
30.387	0.500	stimulus display	1	n/a
30.428	0.000	button pressed	n/a	b
30.903	0.500	stimulus display	2	n/a
31.020	0.000	button pressed	n/a	g
31.419	0.500	stimulus display	3	n/a
31.420	0.000	button pressed	n/a	f
31.935	0.500	stimulus display	4	n/a
32.332	0.000	button pressed	n/a	b
32.451	0.500	stimulus display	1	n/a
32.967	0.500	stimulus display	2	n/a
33.132	0.000	button pressed	n/a	g
33.483	0.500	stimulus display	3	n/a
33.612	0.000	button pressed	n/a	f
33.999	0.500	stimulus display	4	n/a
34.213	0.000	button pressed	n/a	v
34.515	0.500	stimulus display	1	n/a
34.620	0.000	button pressed	n/a	b
35.031	0.500	stimulus display	2	n/a
35.308	0.000	button pressed	n/a	g
35.547	0.500	stimulus display	3	n/a
35.852	0.000	button pressed	n/a	f
36.063	0.500	stimulus display	4	n/a
36.332	0.000	button pressed	n/a	v
36.579	0.500	stimulus display	1	n/a
36.828	0.000	button pressed	n/a	b
37.095	0.500	stimulus display	2	n/a
37.388	0.000	button pressed	n/a	g
37.611	0.500	stimulus display	3	n/a
37.836	0.000	button pressed	n/a	f
38.127	0.500	stimulus display	4	n/a
38.284	0.000	button pressed	n/a	v
38.643	0.500	stimulus display	1	n/a
38.828	0.000	button pressed	n/a	b
39.159	0.500	stimulus display	2	n/a
39.556	0.000	button pressed	n/a	g
39.675	0.500	stimulus display	3	n/a
40.052	0.000	button pressed	n/a	f
40.191	0.500	stimulus display	4	n/a
40.572	0.000	button pressed	n/a	v
41.417	30.024	rest block	n/a	n/a
71.441	21.351	active block	n/a	n/a
71.441	0.500	stimulus display	1	n/a
71.957	0.500	stimulus display	2	n/a
72.123	0.000	button pressed	n/a	g
72.473	0.500	stimulus display	3	n/a
72.907	0.000	button pressed	n/a	v
72.989	0.500	stimulus display	4	n/a
