onset	duration	trial_type	stimulus	response_time	correct
0.038	0.5	distractor	N	n/a	1
4.575	0.5	target	X	0.526	1
9.112	0.5	frequent	O	n/a	1
11.647	0.5	frequent	O	n/a	1
13.682	0.5	target	X	0.443	1
16.718	0.5	frequent	O	n/a	1
21.255	0.5	target	X	0.454	1
24.791	0.5	distractor	I	n/a	1
28.327	0.5	frequent	O	n/a	1
30.863	0.5	distractor	Z	n/a	1
33.398	0.5	frequent	O	n/a	1
37.435	0.5	distractor	A	n/a	1
41.471	0.5	frequent	O	n/a	1
46.008	0.5	frequent	O	n/a	1
50.045	0.5	frequent	O	n/a	1
51.579	0.5	frequent	O	n/a	1
53.614	0.5	frequent	O	n/a	1
56.15	0.5	distractor	B	n/a	1
57.684	0.5	target	X	0.521	1
59.219	0.5	frequent	O	n/a	1
63.756	0.5	frequent	O	n/a	1
65.29	0.5	target	X	0.507	1
66.825	0.5	distractor	P	n/a	1
69.861	0.5	frequent	O	n/a	1
71.395	0.5	frequent	O	n/a	1
75.432	0.5	frequent	O	n/a	1
78.968	0.5	frequent	O	n/a	1
80.503	0.5	frequent	O	n/a	1
83.038	0.5	frequent	O	n/a	1
85.073	0.5	frequent	O	n/a	1
88.609	0.5	target	X	0.492	1
91.645	0.5	target	X	0.408	1
95.682	0.5	frequent	O	n/a	1
97.717	0.5	target	X	0.464	1
100.252	0.5	frequent	O	n/a	1
103.288	0.5	frequent	O	n/a	1
107.825	0.5	frequent	O	n/a	1
110.36	0.5	distractor	G	n/a	1
113.396	0.5	frequent	O	n/a	1
116.932	0.5	frequent	O	n/a	1
118.967	0.5	frequent	O	n/a	1
121.503	0.5	frequent	O	n/a	1
125.039	0.5	distractor	M	n/a	1
128.074	0.5	frequent	O	n/a	1
132.611	0.5	distractor	H	n/a	1
135.147	0.5	frequent	O	n/a	1
137.682	0.5	distractor	V	n/a	1
141.218	0.5	frequent	O	n/a	1
145.755	0.5	frequent	O	n/a	1
149.292	0.5	frequent	O	n/a	1
153.829	0.5	frequent	O	n/a	1
155.363	0.5	frequent	O	n/a	1
159.4	0.5	frequent	O	n/a	1
160.934	0.5	frequent	O	n/a	1
164.47	0.5	frequent	O	n/a	1
167.006	0.5	distractor	T	n/a	1
170.042	0.5	frequent	O	n/a	1
174.579	0.5	distractor	D	n/a	1
176.614	0.5	frequent	O	n/a	1
180.15	0.5	frequent	O	n/a	1
184.687	0.5	distractor	J	n/a	1
188.223	0.5	frequent	O	n/a	1
190.258	0.5	frequent	O	n/a	1
193.794	0.5	frequent	O	n/a	1
196.83	0.5	frequent	O	n/a	1
201.367	0.5	frequent	O	n/a	1
203.402	0.5	frequent	O	n/a	1
205.937	0.5	frequent	O	n/a	1
207.472	0.5	target	X	0.580	1
210.508	0.5	frequent	O	n/a	1
215.045	0.5	frequent	O	n/a	1
219.081	0.5	frequent	O	n/a	1
222.617	0.5	frequent	O	n/a	1
225.153	0.5	frequent	O	n/a	1
228.689	0.5	frequent	O	n/a	1
231.725	0.5	frequent	O	n/a	1
234.76	0.5	frequent	O	n/a	1
236.795	0.5	frequent	O	n/a	1
239.831	0.5	frequent	O	n/a	1
242.367	0.5	frequent	O	n/a	1
244.402	0.5	target	X	0.514	1
248.939	0.5	frequent	O	n/a	1
250.974	0.5	frequent	O	n/a	1
253.009	0.5	frequent	O	n/a	1
255.043	0.5	frequent	O	n/a	1
259.08	0.5	frequent	O	n/a	1
262.116	0.5	frequent	O	n/a	1
263.65	0.5	distractor	Y	n/a	1
267.687	0.5	distractor	W	n/a	1
269.722	0.5	frequent	O	n/a	1
273.759	0.5	frequent	O	n/a	1
277.295	0.5	frequent	O	n/a	1
281.331	0.5	frequent	O	n/a	1
285.368	0.5	distractor	C	n/a	1
288.404	0.5	frequent	O	n/a	1
289.938	0.5	frequent	O	n/a	1
293.975	0.5	frequent	O	n/a	1
298.011	0.5	distractor	S	n/a	1
300.046	0.5	frequent	O	n/a	1
304.583	0.5	target	X	0.621	1
309.12	0.5	distractor	U	n/a	1
312.657	0.5	distractor	F	n/a	1
316.693	0.5	frequent	O	n/a	1
320.73	0.5	frequent	O	n/a	1
323.766	0.5	frequent	O	n/a	1
326.301	0.5	frequent	O	n/a	1
330.338	0.5	target	X	0.385	1
331.872	0.5	frequent	O	n/a	1
335.408	0.5	frequent	O	n/a	1
339.945	0.5	target	X	0.490	1
342.981	0.5	frequent	O	n/a	1
347.518	0.5	frequent	O	n/a	1
349.053	0.5	distractor	K	n/a	1
352.088	0.5	frequent	O	n/a	1
356.625	0.5	distractor	L	n/a	1
359.161	0.5	target	X	0.402	1
363.698	0.5	frequent	O	n/a	1
365.232	0.5	distractor	R	n/a	1
366.767	0.5	target	X	0.396	1
370.804	0.5	frequent	O	n/a	1
374.84	0.5	frequent	O	n/a	1
378.376	0.5	frequent	O	n/a	1
382.913	0.5	target	X	0.378	1
385.449	0.5	target	X	0.442	1
387.484	0.5	target	X	0.263	1
391.52	0.5	frequent	O	n/a	1
394.056	0.5	frequent	O	n/a	1
397.592	0.5	frequent	O	n/a	1
399.627	0.5	frequent	O	n/a	1
401.161	0.5	frequent	O	n/a	1
403.697	0.5	frequent	O	n/a	1
405.732	0.5	frequent	O	n/a	1
410.269	0.5	target	X	0.390	1
413.304	0.5	frequent	O	n/a	1
414.839	0.5	frequent	O	n/a	1
417.374	0.5	frequent	O	n/a	1
419.409	0.5	target	X	0.338	1
421.444	0.5	frequent	O	n/a	1
423.98	0.5	frequent	O	n/a	1
428.016	0.5	frequent	O	n/a	1
432.053	0.5	frequent	O	n/a	1
434.088	0.5	frequent	O	n/a	1
436.623	0.5	frequent	O	n/a	1
438.158	0.5	frequent	O	n/a	1
441.694	0.5	frequent	O	n/a	1
444.73	0.5	target	X	0.385	1
446.264	0.5	frequent	O	n/a	1
448.299	0.5	frequent	O	n/a	1
451.835	0.5	frequent	O	n/a	1
455.872	0.5	frequent	O	n/a	1
460.409	0.5	frequent	O	n/a	1
463.945	0.5	target	X	0.458	1
468.482	0.5	target	X	0.393	1
471.518	0.5	distractor	E	n/a	1
475.054	0.5	distractor	F	n/a	1
478.09	0.5	frequent	O	n/a	1
481.126	0.5	distractor	L	n/a	1
484.662	0.5	frequent	O	n/a	1
487.698	0.5	frequent	O	n/a	1
489.232	0.5	distractor	V	n/a	1
491.768	0.5	frequent	O	n/a	1
