onset	duration	trial_type	response	response_time	outcome	outcome_time
0	3	4	0	NaN	0	NaN
10.85	3	2	1	1.157	0	NaN
21.405999999999999	3	4	0	NaN	0	NaN
32.667000000000002	3	2	1	1.0600000000000001	0	NaN
43.283999999999999	3	4	0	NaN	0	NaN
54.478999999999999	3	6	1	1.923	0	NaN
65.781000000000006	3	4	0	NaN	0	NaN
77.132000000000005	3	4	0	NaN	0	NaN
88.435000000000002	3	2	1	1.5029999999999999	0	NaN
99.747	3	4	0	NaN	0	NaN
111.146	3	4	0	NaN	0	NaN
122.379	3	3	0	NaN	0	NaN
133.97499999999999	3	4	0	NaN	0	NaN
144.68299999999999	3	2	1	1.179	0	NaN
155.304	3	2	1	1.407	0	NaN
166.66200000000001	3	4	0	NaN	0	NaN
178.05199999999999	3	2	1	1.1359999999999999	0	NaN
188.881	3	4	0	NaN	0	NaN
200.197	3	6	1	1.571	0	NaN
210.96299999999999	3	5	0	NaN	0	NaN
221.994	3	2	1	1.107	0	NaN
232.554	3	2	1	1.0369999999999999	0	NaN
243.292	3	6	1	2.7829999999999999	0	NaN
253.673	3	2	1	1.119	0	NaN
264.505	3	6	0	NaN	1	270.83800000000002
275.637	3	6	1	0.79800000000000004	0	NaN
286.97300000000001	3	2	1	0.93000000000000005	0	NaN
297.89600000000002	3	6	1	1.3660000000000001	0	NaN
309.09300000000002	3	4	0	NaN	0	NaN
320.108	3	6	1	1.004	0	NaN
330.91500000000002	3	4	0	NaN	0	NaN
342.38299999999998	3	6	1	1.079	0	NaN
353.72899999999998	3	2	1	0.87	0	NaN
364.61000000000001	3	2	1	0.78500000000000003	0	NaN
375.89400000000001	3	6	1	0.95599999999999996	0	NaN
386.97000000000003	3	6	1	1.0189999999999999	0	NaN
397.887	3	4	0	NaN	0	NaN
409.49299999999999	3	4	0	NaN	0	NaN
