onset	duration	trial_type	response	response_time	outcome	outcome_time
0	3	6	0	NaN	0	NaN
11.555	3	4	0	NaN	0	NaN
22.763999999999999	3	6	1	1.2190000000000001	0	NaN
33.384	3	4	0	NaN	0	NaN
44.851999999999997	3	6	1	1.5349999999999999	0	NaN
55.259999999999998	3	6	1	1.1819999999999999	0	NaN
66.075999999999993	3	4	0	NaN	0	NaN
77.450000000000003	3	5	0	NaN	0	NaN
88.409000000000006	3	4	0	NaN	0	NaN
99.474999999999994	3	4	0	NaN	0	NaN
110.642	3	6	1	1.266	0	NaN
121.881	3	6	1	1.2350000000000001	0	NaN
133.00999999999999	3	6	1	0.94299999999999995	0	NaN
143.43000000000001	3	1	0	NaN	0	NaN
154.31200000000001	3	4	0	NaN	0	NaN
165.33199999999999	3	4	0	NaN	0	NaN
176.83600000000001	3	2	1	1.0760000000000001	0	NaN
187.61199999999999	3	2	1	1.0469999999999999	0	NaN
198.20500000000001	3	2	0	NaN	1	204.536
209.59800000000001	3	7	0	NaN	0	NaN
220.714	3	6	1	1.306	0	NaN
231.965	3	4	0	NaN	0	NaN
243.53200000000001	3	6	1	1.3069999999999999	0	NaN
254.70400000000001	3	4	0	NaN	0	NaN
266.06	3	7	0	NaN	0	NaN
277.45400000000001	3	2	1	1.2090000000000001	0	NaN
288.70400000000001	3	4	0	NaN	0	NaN
299.39499999999998	3	5	1	1.6830000000000001	0	NaN
310.08100000000002	3	2	1	1.869	0	NaN
320.43400000000003	3	2	1	1.413	0	NaN
331.61200000000002	3	6	1	1.3819999999999999	0	NaN
342.47300000000001	3	6	1	0.86299999999999999	0	NaN
353.197	3	6	1	1.014	0	NaN
363.77100000000002	3	4	0	NaN	0	NaN
374.952	3	2	1	1.329	0	NaN
385.59100000000001	3	1	1	1.3300000000000001	0	NaN
396.01499999999999	3	2	0	NaN	1	402.334
406.91000000000003	3	4	0	NaN	0	NaN
