onset	duration	trial_type	response	response_time	outcome	outcome_time
0	3	6	1	1.4810000000000001	0	NaN
10.766	3	4	0	NaN	0	NaN
21.471	3	1	0	NaN	0	NaN
32.567	3	2	1	1.1020000000000001	0	NaN
43.819000000000003	3	5	1	1.498	0	NaN
54.523000000000003	3	2	1	1.0600000000000001	0	NaN
64.995000000000005	3	6	1	1.1319999999999999	0	NaN
75.915000000000006	3	2	1	1.629	0	NaN
87.147000000000006	3	6	1	1.244	0	NaN
97.850999999999999	3	4	0	NaN	0	NaN
108.514	3	6	1	0.99399999999999999	0	NaN
119.01000000000001	3	4	0	NaN	0	NaN
129.721	3	5	1	2.5720000000000001	0	NaN
140.80600000000001	3	3	1	1.849	0	NaN
151.61000000000001	3	1	0	NaN	0	NaN
162.93700000000001	3	2	1	1.0489999999999999	0	NaN
173.99000000000001	3	2	1	1.1759999999999999	0	NaN
184.90799999999999	3	1	0	NaN	0	NaN
196.197	3	7	0	NaN	0	NaN
207.70400000000001	3	4	0	NaN	0	NaN
219.00899999999999	3	1	0	NaN	0	NaN
230.5	3	6	1	1.024	0	NaN
241.32900000000001	3	2	1	0.93799999999999994	0	NaN
251.82599999999999	3	2	1	0.93200000000000005	0	NaN
262.255	3	6	1	1.147	0	NaN
273.32299999999998	3	4	0	NaN	0	NaN
284.25599999999997	3	5	0	NaN	0	NaN
295.553	3	5	0	NaN	0	NaN
306.83300000000003	3	2	1	1.0600000000000001	0	NaN
317.71600000000001	3	2	1	1.1120000000000001	0	NaN
328.786	3	4	0	NaN	0	NaN
339.96699999999998	3	6	1	1.0569999999999999	0	NaN
350.80900000000003	3	6	1	0.91200000000000003	0	NaN
361.66199999999998	3	6	1	1.1020000000000001	0	NaN
372.94900000000001	3	3	1	1.389	0	NaN
383.68799999999999	3	6	1	1.1559999999999999	0	NaN
394.16000000000003	3	6	1	1.026	0	NaN
404.755	3	6	1	0.88600000000000001	0	NaN
