onset	duration	trial_type	response	response_time	outcome	outcome_time
0	3	4	0	NaN	0	NaN
11.667	3	4	0	NaN	0	NaN
22.931000000000001	3	2	1	1.3100000000000001	0	NaN
33.677	3	3	0	NaN	0	NaN
44.774000000000001	3	3	0	NaN	0	NaN
56.323999999999998	3	6	1	1.0940000000000001	0	NaN
66.685000000000002	3	7	0	NaN	0	NaN
77.481999999999999	3	3	0	NaN	0	NaN
88.579999999999998	3	2	0	NaN	0	NaN
99.751999999999995	3	2	0	NaN	1	106.09699999999999
110.64700000000001	3	6	1	1.3049999999999999	0	NaN
121.66500000000001	3	2	1	1.4790000000000001	0	NaN
132.90899999999999	3	2	1	2.5880000000000001	0	NaN
143.381	3	1	0	NaN	0	NaN
154.45699999999999	3	6	1	1.1619999999999999	0	NaN
165.09899999999999	3	5	0	NaN	0	NaN
176.74100000000001	3	4	0	NaN	0	NaN
187.98500000000001	3	2	1	1.647	0	NaN
198.59299999999999	3	2	1	1.089	0	NaN
209.08199999999999	3	4	0	NaN	0	NaN
220.27600000000001	3	2	1	1.446	0	NaN
231.452	3	3	0	NaN	0	NaN
242.922	3	1	1	1.4710000000000001	0	NaN
254.11799999999999	3	4	0	NaN	0	NaN
264.96699999999998	3	7	1	2.2799999999999998	0	NaN
275.863	3	3	0	NaN	0	NaN
287.35899999999998	3	4	0	NaN	0	NaN
298.12	3	2	1	0.98299999999999998	0	NaN
309.32499999999999	3	7	1	1.474	0	NaN
320.57499999999999	3	2	1	0.93000000000000005	0	NaN
331.142	3	2	1	0.84999999999999998	0	NaN
341.56999999999999	3	4	0	NaN	0	NaN
352.69499999999999	3	4	0	NaN	0	NaN
364.17899999999997	3	2	1	1.165	0	NaN
374.99900000000002	3	4	0	NaN	0	NaN
386.05099999999999	3	3	0	NaN	0	NaN
397.209	3	3	0	NaN	0	NaN
407.96300000000002	3	2	1	1.1180000000000001	0	NaN
