onset	duration	trial_type	response	response_time	outcome	outcome_time
0	3	5	0	NaN	0	NaN
11.581	3	2	0	NaN	0	NaN
22.661999999999999	3	6	0	NaN	1	28.959
34.234999999999999	3	1	0	NaN	0	NaN
44.973999999999997	3	4	0	NaN	0	NaN
56.462000000000003	3	2	0	NaN	1	62.787999999999997
67.302000000000007	3	7	1	1.573	0	NaN
78.552999999999997	3	6	1	1.0920000000000001	0	NaN
89.802999999999997	3	6	1	1.4299999999999999	0	NaN
100.66500000000001	3	1	0	NaN	0	NaN
111.42400000000001	3	7	1	1.9730000000000001	0	NaN
121.961	3	4	0	NaN	0	NaN
133.304	3	6	0	NaN	1	139.61000000000001
144.93600000000001	3	6	1	0.89200000000000002	0	NaN
155.31899999999999	3	2	0	NaN	1	161.626
166.851	3	2	1	1.1830000000000001	0	NaN
178.15799999999999	3	4	0	NaN	0	NaN
189.13999999999999	3	4	0	NaN	0	NaN
200.40799999999999	3	6	1	0.97699999999999998	0	NaN
211.113	3	6	1	1.1299999999999999	0	NaN
221.679	3	6	1	1.0669999999999999	0	NaN
232.822	3	2	1	1.2909999999999999	0	NaN
243.89099999999999	3	6	1	0.96599999999999997	0	NaN
254.511	3	4	0	NaN	0	NaN
265.72800000000001	3	6	1	0.91900000000000004	0	NaN
276.49599999999998	3	6	1	0.96699999999999997	0	NaN
286.93900000000002	3	4	0	NaN	0	NaN
297.59800000000001	3	4	0	NaN	0	NaN
308.70999999999998	3	5	0	NaN	0	NaN
319.63900000000001	3	4	0	NaN	0	NaN
330.63999999999999	3	2	1	2.21	0	NaN
341.28800000000001	3	6	1	1.3660000000000001	0	NaN
351.81799999999998	3	2	1	1.6930000000000001	0	NaN
362.56200000000001	3	4	0	NaN	0	NaN
373.89400000000001	3	7	1	1.284	0	NaN
384.44200000000001	3	6	1	2.8999999999999999	0	NaN
395.52600000000001	3	2	1	1.232	0	NaN
406.32400000000001	3	7	0	NaN	0	NaN
