onset	duration	trial_type	value	sample	trial	number_trial	EEG_trigger	stim_file
21.559161020974475	60	click	0	215597	0	0	1	click/click000.wav
81.72115697107573	60	click	0	817232	1	1	1	click/click001.wav
141.91115222119447	60	click	0	1419147	2	2	1	click/click002.wav
202.08714782130448	60	click	0	2020922	3	3	1	click/click003.wav
262.27724306892327	60	click	0	2622838	4	4	1	click/click004.wav
322.47923801904955	60	click	0	3224873	5	5	1	click/click005.wav
382.715232119197	60	click	0	3827248	6	6	1	click/click006.wav
442.87332816679583	60	click	0	4428844	7	7	1	click/click007.wav
503.04732381690457	60	click	0	5030599	8	8	1	click/click008.wav
563.2173195670108	60	click	0	5632314	9	9	1	click/click009.wav
658.2813429664259	12	chn_aud	7	6582978	10	35	1	chn_aud/chn_aud035.wav
670.7993300167495	12	eng_aud	8	6708161	11	4	1	eng_aud/eng_aud004.wav
683.3134171645709	12	acoustic	1	6833305	12	0	1	acoustic/acoustic000.wav
695.8314042148946	12	classical	2	6958488	13	2	1	classical/classical002.wav
708.3493912652184	12	news	11	7083671	14	25	1	news/news025.wav
720.8633784155396	12	talk	12	7208814	15	18	1	talk/talk018.wav
733.3793655158621	12	interview	9	7333977	16	21	1	interview/interview021.wav
753.9453513662158	12	lecture	10	7539642	17	1	1	lecture/lecture001.wav
766.4614384640385	12	metal	5	7664806	18	3	1	metal/metal003.wav
778.9754256143597	12	hiphop	3	7789949	19	16	1	hiphop/hiphop016.wav
791.4954126146846	12	jazz	4	7915152	20	36	1	jazz/jazz036.wav
804.0093997650059	12	pop	6	8040295	21	20	1	pop/pop020.wav
816.5233869153271	12	classical	2	8165438	22	18	1	classical/classical018.wav
829.0353741156471	12	interview	9	8290561	23	22	1	interview/interview022.wav
844.1113972150696	12	pop	6	8441325	24	35	1	pop/pop035.wav
856.6273843153921	12	jazz	4	8566488	25	6	1	jazz/jazz006.wav
869.1434714132147	12	chn_aud	7	8691652	26	23	1	chn_aud/chn_aud023.wav
881.6574585635359	12	eng_aud	8	8816795	27	22	1	eng_aud/eng_aud022.wav
894.1714457138571	12	news	11	8941938	28	35	1	news/news035.wav
926.8774280642984	12	acoustic	1	9269006	29	27	1	acoustic/acoustic027.wav
939.3974150646234	12	metal	5	9394209	30	10	1	metal/metal010.wav
951.9175020624484	12	hiphop	3	9519413	31	10	1	hiphop/hiphop010.wav
964.4314892127696	12	talk	12	9644556	32	26	1	talk/talk026.wav
976.9514762130948	12	lecture	10	9769759	33	23	1	lecture/lecture023.wav
989.4674633134172	12	news	11	9894922	34	17	1	news/news017.wav
1001.987450313742	12	classical	2	10020125	35	6	1	classical/classical006.wav
1017.9594510137248	12	lecture	10	10179849	36	30	1	lecture/lecture030.wav
1030.4714382140446	12	metal	5	10304972	37	17	1	metal/metal017.wav
1042.9895252618685	12	hiphop	3	10430156	38	4	1	hiphop/hiphop004.wav
1055.507512312192	12	jazz	4	10555339	39	19	1	jazz/jazz019.wav
1068.0234994125146	12	eng_aud	8	10680502	40	14	1	eng_aud/eng_aud014.wav
1085.159471013225	12	acoustic	1	10851866	41	23	1	acoustic/acoustic023.wav
1097.6754581135472	12	talk	12	10977029	42	33	1	talk/talk033.wav
1110.187545311367	12	interview	9	11102153	43	37	1	interview/interview037.wav
