onset	duration	trial_type	value	sample	stimulus	is_word	response	correct
26.135	0.0	1Suff RealStemNW	15	26135	polit	0.0	1.0	False
27.493	0.0	2Suff PseudoStemNW	24	27493	pafleurization	0.0	1.0	False
28.577	0.0	2Suff w/o Lat.	22	28577	faithfully	1.0	0.0	False
29.544	0.0	2Suff PseudoStemNW	24	29544	instrovtional	0.0	1.0	False
30.461	0.0	0Suff w/o Lat.	2	30461	grace	1.0	0.0	False
31.428	0.0	0Suff w/o Lat.	2	31428	design	1.0	0.0	False
32.387	0.0	2Suff PseudoStemNW	24	32387	segnonistic	0.0	1.0	False
33.287	0.0	1Suff w/o Lat.	12	33287	ritualist	1.0	0.0	False
34.212	0.0	2Suff RealStemNW	25	34212	characterional	0.0	1.0	False
35.271	0.0	0Suff w/o Lat.	2	35271	man	1.0	0.0	False
36.188	0.0	1Suff w/o Lat.	12	36188	protection	1.0	0.0	False
37.171	0.0	2Suff PseudoStemNW	24	37171	worchlessness	0.0	1.0	False
38.13	0.0	0Suff NW	4	38130	etil	0.0	1.0	False
39.014	0.0	2Suff w/o Lat.	22	39014	delightfully	1.0	0.0	False
39.981	0.0	0Suff w/o Lat.	2	39981	part	1.0	0.0	False
40.964	0.0	2Suff Composite	23	40964	mechanistic	1.0	0.0	False
42.531	0.0	2Suff PseudoStemNW	24	42531	paftiality	0.0	1.0	False
43.532	0.0	2Suff PseudoStemNW	24	43532	perburbation	0.0	1.0	False
44.615	0.0	1Suff w/o Lat.	12	44615	essential	1.0	0.0	False
45.641	0.0	1Suff w/o Lat.	12	45641	soulful	1.0	1.0	True
47.341	0.0	2Suff w/ Lat.	21	47341	exhibitionism	1.0	0.0	False
48.558	0.0	0Suff w/ Lat.	1	48558	progress	1.0	0.0	False
49.459	0.0	1Suff w/ Lat.	11	49459	persistent	1.0	0.0	False
50.417	0.0	1Suff RealStemNW	15	50417	restable	0.0	1.0	False
51.484	0.0	2Suff RealStemNW	25	51484	ritualional	0.0	1.0	False
52.685	0.0	2Suff w/o Lat.	22	52685	manliness	1.0	0.0	False
53.685	0.0	1Suff RealStemNW	15	53685	isolatate	0.0	1.0	False
54.919	0.0	1Suff w/o Lat.	12	54919	originate	1.0	0.0	False
56.111	0.0	0Suff NW	4	56111	gulbs	0.0	1.0	False
57.119	0.0	0Suff NW	4	57119	avold	0.0	1.0	False
58.228	0.0	2Suff w/o Lat.	22	58228	intensively	1.0	0.0	False
59.32	0.0	2Suff PseudoStemNW	24	59320	dehonitive	0.0	1.0	False
60.278	0.0	2Suff PseudoStemNW	24	60278	snightfully	0.0	1.0	False
61.295	0.0	2Suff PseudoStemNW	24	61295	hodelessness	0.0	1.0	False
62.262	0.0	1Suff PseudoStemNW	14	62262	uteless	0.0	1.0	False
63.196	0.0	0Suff NW	4	63196	rumic	0.0	1.0	False
64.055	0.0	0Suff NW	4	64055	reut	0.0	1.0	False
64.905	0.0	1Suff RealStemNW	15	64905	deadic	0.0	1.0	False
65.789	0.0	2Suff Composite	23	65789	canonical	1.0	0.0	False
67.522	0.0	2Suff PseudoStemNW	24	67522	avoldability	0.0	1.0	False
68.681	0.0	2Suff PseudoStemNW	24	68681	vimidation	0.0	1.0	False
69.923	0.0	0Suff NW	4	69923	stitile	0.0	1.0	False
70.84	0.0	1Suff RealStemNW	15	70840	basly	0.0	1.0	False
71.757	0.0	0Suff NW	4	71757	sork	0.0	1.0	False
72.666	0.0	2Suff PseudoStemNW	24	72666	stumialize	0.0	1.0	False
73.608	0.0	2Suff w/o Lat.	22	73608	fastener	1.0	0.0	False
74.791	0.0	0Suff NW	4	74791	figic	0.0	1.0	False
75.758	0.0	2Suff RealStemNW	25	75758	guiltioner	0.0	1.0	False
76.767	0.0	2Suff RealStemNW	25	76767	executarity	0.0	1.0	False
77.909	0.0	0Suff w/o Lat.	2	77909	immune	1.0	0.0	False
79.026	0.0	0Suff NW	4	79026	isotent	0.0	1.0	False
80.051	0.0	2Suff w/o Lat.	22	80051	considerably	1.0	0.0	False
81.702	0.0	1Suff RealStemNW	15	81702	protectate	0.0	1.0	False
83.777	0.0	2Suff w/o Lat.	22	83777	successfully	1.0	0.0	False
85.078	0.0	1Suff w/o Lat.	12	85078	relative	1.0	0.0	False
86.27	0.0	1Suff w/o Lat.	12	86270	substantial	1.0	0.0	False
87.245	0.0	0Suff NW	4	87245	prowert	0.0	1.0	False
88.204	0.0	2Suff RealStemNW	25	88204	decorural	0.0	1.0	False
89.312	0.0	0Suff NW	4	89312	arx	0.0	1.0	False
90.163	0.0	1Suff w/o Lat.	12	90163	isolation	1.0	0.0	False
91.155	0.0	2Suff PseudoStemNW	24	91155	vefation	0.0	1.0	False
92.155	0.0	2Suff w/o Lat.	22	92155	distinctively	1.0	0.0	False
93.514	0.0	2Suff RealStemNW	25	93514	impressliness	0.0	1.0	False
94.772	0.0	1Suff RealStemNW	15	94772	heroal	0.0	1.0	False
95.748	0.0	1Suff w/o Lat.	12	95748	ceremonial	1.0	0.0	False
96.823	0.0	1Suff w/o Lat.	12	96823	partial	1.0	0.0	False
98.015	0.0	2Suff w/o Lat.	22	98015	speedily	1.0	0.0	False
